,Report_Date,Sao Tome and Principe_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
37,2020-02-28,0,91.59136626861311,3.8075661107333802,False,38,0.13043324135949583,0.021267595994007987
38,2020-02-29,0,91.59136626861311,3.8075661107333802,False,39,0.14048282560685188,0.021267595994007987
39,2020-03-01,0,91.59136626861311,3.8075661107333802,False,40,0.15129105626692818,0.021267595994007987
40,2020-03-02,0,91.59136626861311,3.8075661107333802,False,41,0.16291270850989464,0.021267595994007987
41,2020-03-03,0,91.59136626861311,3.8075661107333802,False,42,0.17540611565009448,0.021267595994007987
42,2020-03-04,0,91.59136626861311,3.8075661107333802,False,43,0.1888333366562189,0.021267595994007987
43,2020-03-05,0,91.59136626861311,3.8075661107333802,False,44,0.20326032077530995,0.021267595994007987
44,2020-03-06,0,91.59136626861311,3.8075661107333802,False,45,0.21875706694391528,0.021267595994007987
45,2020-03-07,0,91.59136626861311,3.8075661107333802,False,46,0.23539777525101283,0.021267595994007987
46,2020-03-08,0,91.59136626861311,3.8075661107333802,False,47,0.2532609872645581,0.021267595994007987
47,2020-03-09,0,91.59136626861311,3.8075661107333802,False,48,0.2724297115361228,0.021267595994007987
48,2020-03-10,0,91.59136626861311,3.8075661107333802,False,49,0.29299153005675294,0.021267595994007987
49,2020-03-11,0,91.59136626861311,3.8075661107333802,False,50,0.31503868085411646,0.021267595994007987
50,2020-03-12,0,91.59136626861311,3.8075661107333802,False,51,0.3386681113005362,0.021267595994007987
51,2020-03-13,0,91.59136626861311,3.8075661107333802,False,52,0.36398149605042907,0.021267595994007987
52,2020-03-14,0,91.59136626861311,3.8075661107333802,False,53,0.39108521285392317,0.021267595994007987
53,2020-03-15,0,91.59136626861311,3.8075661107333802,False,54,0.4200902688146626,0.021267595994007987
54,2020-03-16,0,91.59136626861311,3.8075661107333802,False,55,0.45111216899202816,0.021267595994007987
55,2020-03-17,0,91.59136626861311,3.8075661107333802,False,56,0.484270718614282,0.021267595994007987
56,2020-03-18,0,91.59136626861311,3.8075661107333802,False,57,0.5196897495981745,0.021267595994007987
57,2020-03-19,0,91.59136626861311,3.8075661107333802,False,58,0.557496761597313,0.021267595994007987
58,2020-03-20,0,91.59136626861311,3.8075661107333802,False,59,0.5978224674676448,0.021267595994007987
59,2020-03-21,0,91.59136626861311,3.8075661107333802,False,60,0.640800232892192,0.021267595994007987
60,2020-03-22,0,91.59136626861311,3.8075661107333802,False,61,0.6865654000037765,0.021267595994007987
61,2020-03-23,0,91.59136626861311,3.8075661107333802,False,62,0.7352544852450414,0.021267595994007987
62,2020-03-24,0,91.59136626861311,3.8075661107333802,False,63,0.7870042424757208,0.021267595994007987
63,2020-03-25,0,91.59136626861311,3.8075661107333802,False,64,0.8419505835467478,0.021267595994007987
64,2020-03-26,0,91.59136626861311,3.8075661107333802,False,65,0.9002273502787342,0.021267595994007987
65,2020-03-27,0,91.59136626861311,3.8075661107333802,False,66,0.961964934074075,0.021267595994007987
66,2020-03-28,0,91.59136626861311,3.8075661107333802,False,67,1.0272887423146555,0.021267595994007987
67,2020-03-29,0,91.59136626861311,3.8075661107333802,False,68,1.096317514293587,0.021267595994007987
68,2020-03-30,0,91.59136626861311,3.8075661107333802,False,69,1.1691614937210446,0.021267595994007987
69,2020-03-31,0,91.59136626861311,3.8075661107333802,False,70,1.2459204698236057,0.021267595994007987
70,2020-04-01,0,91.59136626861311,3.8075661107333802,False,71,1.326681704678706,0.021267595994007987
71,2020-04-02,0,91.59136626861311,3.8075661107333802,False,72,1.4115177706011788,0.021267595994007987
72,2020-04-03,0,91.59136626861311,3.8075661107333802,False,73,1.5004843279849862,0.021267595994007987
73,2020-04-04,0,91.59136626861311,3.8075661107333802,False,74,1.5936178808005101,0.021267595994007987
74,2020-04-05,0,91.59136626861311,3.8075661107333802,False,75,1.6909335536961885,0.021267595994007987
75,2020-04-06,4,91.59136626861311,3.8075661107333802,False,76,1.7924229410345731,0.021267595994007987
76,2020-04-07,4,91.59136626861311,3.8075661107333802,False,77,1.898052083837084,0.021267595994007987
77,2020-04-08,4,91.59136626861311,3.8075661107333802,False,78,2.0077596351099385,0.021267595994007987
78,2020-04-09,4,91.59136626861311,3.8075661107333802,False,79,2.1214552769477732,0.021267595994007987
79,2020-04-10,4,91.59136626861311,3.8075661107333802,False,80,2.2390184537394817,0.021267595994007987
80,2020-04-11,4,91.59136626861311,3.8075661107333802,False,81,2.3602974843492603,0.021267595994007987
