,Report_Date,Antigua and Barbuda_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
27,2020-02-18,0,76.1698184170706,15.651475756527883,True,28,0.021541932325549584,29.022822422228792
28,2020-02-19,0,76.1698184170706,15.651475756527883,True,29,0.02505409336133894,29.022822422228792
29,2020-02-20,0,76.1698184170706,15.651475756527883,True,30,0.029138337939247156,29.022822422228792
30,2020-02-21,0,76.1698184170706,15.651475756527883,True,31,0.03388766269564268,29.022822422228792
31,2020-02-22,0,76.1698184170706,15.651475756527883,True,32,0.039410115326891135,29.022822422228792
32,2020-02-23,0,76.1698184170706,15.651475756527883,True,33,0.04583120717796811,29.022822422228792
33,2020-02-24,0,76.1698184170706,15.651475756527883,True,34,0.05329670431481842,29.022822422228792
34,2020-02-25,0,76.1698184170706,15.651475756527883,True,35,0.061975853537493394,29.022822422228792
35,2020-02-26,0,76.1698184170706,15.651475756527883,True,36,0.07206510716483329,29.022822422228792
36,2020-02-27,0,76.1698184170706,15.651475756527883,True,37,0.08379241836786731,29.022822422228792
37,2020-02-28,0,76.1698184170706,15.651475756527883,True,38,0.097422187229457,29.022822422228792
38,2020-02-29,0,76.1698184170706,15.651475756527883,True,39,0.11326094635486529,29.022822422228792
39,2020-03-01,0,76.1698184170706,15.651475756527883,True,40,0.13166388342075536,29.022822422228792
40,2020-03-02,0,76.1698184170706,15.651475756527883,True,41,0.15304230602643643,29.022822422228792
41,2020-03-03,0,76.1698184170706,15.651475756527883,True,42,0.17787216086632363,29.022822422228792
42,2020-03-04,0,76.1698184170706,15.651475756527883,True,43,0.20670372353024705,29.022822422228792
43,2020-03-05,0,76.1698184170706,15.651475756527883,True,44,0.2401725757002106,29.022822422228792
44,2020-03-06,0,76.1698184170706,15.651475756527883,True,45,0.2790119811538494,29.022822422228792
45,2020-03-07,0,76.1698184170706,15.651475756527883,True,46,0.32406675812458763,29.022822422228792
46,2020-03-08,0,76.1698184170706,15.651475756527883,True,47,0.3763087196619209,29.022822422228792
47,2020-03-09,0,76.1698184170706,15.651475756527883,True,48,0.43685371107947224,29.022822422228792
48,2020-03-10,0,76.1698184170706,15.651475756527883,True,49,0.5069802085114182,29.022822422228792
49,2020-03-11,0,76.1698184170706,15.651475756527883,True,50,0.5881493477205982,29.022822422228792
50,2020-03-12,0,76.1698184170706,15.651475756527883,True,51,0.6820261187733567,29.022822422228792
51,2020-03-13,1,76.1698184170706,15.651475756527883,True,52,0.7905012796840509,29.022822422228792
52,2020-03-14,1,76.1698184170706,15.651475756527883,True,53,0.9157132991400808,29.022822422228792
53,2020-03-15,1,76.1698184170706,15.651475756527883,True,54,1.060069323077911,29.022822422228792
54,2020-03-16,1,76.1698184170706,15.651475756527883,True,55,1.2262637614544727,29.022822422228792
55,2020-03-17,1,76.1698184170706,15.651475756527883,True,56,1.4172926029753308,29.022822422228792
56,2020-03-18,1,76.1698184170706,15.651475756527883,True,57,1.6364609873320795,29.022822422228792
57,2020-03-19,1,76.1698184170706,15.651475756527883,True,58,1.8873809104927624,29.022822422228792
58,2020-03-20,1,76.1698184170706,15.651475756527883,True,59,2.17395524356009,29.022822422228792
59,2020-03-21,1,76.1698184170706,15.651475756527883,True,60,2.5003435748512395,29.022822422228792
60,2020-03-22,1,76.1698184170706,15.651475756527883,True,61,2.8709048440926046,29.022822422228792
61,2020-03-23,3,76.1698184170706,15.651475756527883,True,62,3.290111482708716,29.022822422228792
62,2020-03-24,3,76.1698184170706,15.651475756527883,True,63,3.7624300145713208,29.022822422228792
63,2020-03-25,3,76.1698184170706,15.651475756527883,True,64,4.292164063137685,29.022822422228792
64,2020-03-26,7,76.1698184170706,15.651475756527883,True,65,4.883257729633926,29.022822422228792
65,2020-03-27,7,76.1698184170706,15.651475756527883,True,66,5.539060595470157,29.022822422228792
66,2020-03-28,7,76.1698184170706,15.651475756527883,True,67,6.262060284114646,29.022822422228792
67,2020-03-29,7,76.1698184170706,15.651475756527883,True,68,7.053594484144978,29.022822422228792
68,2020-03-30,7,76.1698184170706,15.651475756527883,True,69,7.913561121900261,29.022822422228792
69,2020-03-31,7,76.1698184170706,15.651475756527883,True,70,8.840152069347338,29.022822422228792
70,2020-04-01,7,76.1698184170706,15.651475756527883,True,71,9.829641026658452,29.022822422228792
71,2020-04-02,9,76.1698184170706,15.651475756527883,True,72,10.876258388202638,29.022822422228792
72,2020-04-03,15,76.1698184170706,15.651475756527883,True,73,11.972183403174943,29.022822422228792
73,2020-04-04,15,76.1698184170706,15.651475756527883,True,74,13.107675760120046,29.022822422228792
74,2020-04-05,15,76.1698184170706,15.651475756527883,True,75,14.271354938571953,29.022822422228792
75,2020-04-06,15,76.1698184170706,15.651475756527883,True,76,15.450617811421498,29.022822422228792
76,2020-04-07,19,76.1698184170706,15.651475756527883,True,77,16.632165977913395,29.022822422228792
77,2020-04-08,19,76.1698184170706,15.651475756527883,True,78,17.802597921201595,29.022822422228792
78,2020-04-09,19,76.1698184170706,15.651475756527883,True,79,18.949010925770043,29.022822422228792
79,2020-04-10,19,76.1698184170706,15.651475756527883,True,80,20.059556131713695,29.022822422228792
80,2020-04-11,21,76.1698184170706,15.651475756527883,True,81,21.123897517020346,29.022822422228792
81,2020-04-12,21,76.1698184170706,15.651475756527883,True,82,22.133540234027354,29.022822422228792
82,2020-04-13,23,76.1698184170706,15.651475756527883,True,83,23.082012278281116,29.022822422228792
