,Report_Date,Guinea-Bissau_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
21,2020-02-12,0,81.47233890967837,34.479860902258565,True,22,0.015440087036155674,62.04512313827711
22,2020-02-13,0,81.47233890967837,34.479860902258565,True,23,0.017783019620681233,62.04512313827711
23,2020-02-14,0,81.47233890967837,34.479860902258565,True,24,0.020481371339771806,62.04512313827711
24,2020-02-15,0,81.47233890967837,34.479860902258565,True,25,0.02358902422756761,62.04512313827711
25,2020-02-16,0,81.47233890967837,34.479860902258565,True,26,0.027168017653008022,62.04512313827711
26,2020-02-17,0,81.47233890967837,34.479860902258565,True,27,0.03128977960436186,62.04512313827711
27,2020-02-18,0,81.47233890967837,34.479860902258565,True,28,0.036036542626330076,62.04512313827711
28,2020-02-19,0,81.47233890967837,34.479860902258565,True,29,0.041502971709202086,62.04512313827711
29,2020-02-20,0,81.47233890967837,34.479860902258565,True,30,0.04779803533676816,62.04512313827711
30,2020-02-21,0,81.47233890967837,34.479860902258565,True,31,0.05504715532342693,62.04512313827711
31,2020-02-22,0,81.47233890967837,34.479860902258565,True,32,0.06339467606492916,62.04512313827711
32,2020-02-23,0,81.47233890967837,34.479860902258565,True,33,0.07300669944551053,62.04512313827711
33,2020-02-24,0,81.47233890967837,34.479860902258565,True,34,0.084074337938691,62.04512313827711
34,2020-02-25,0,81.47233890967837,34.479860902258565,True,35,0.09681744545597054,62.04512313827711
35,2020-02-26,0,81.47233890967837,34.479860902258565,True,36,0.11148889327247455,62.04512313827711
36,2020-02-27,0,81.47233890967837,34.479860902258565,True,37,0.12837946690886531,62.04512313827711
37,2020-02-28,0,81.47233890967837,34.479860902258565,True,38,0.14782346916444386,62.04512313827711
38,2020-02-29,0,81.47233890967837,34.479860902258565,True,39,0.1702051245262021,62.04512313827711
39,2020-03-01,0,81.47233890967837,34.479860902258565,True,40,0.19596589081260385,62.04512313827711
40,2020-03-02,0,81.47233890967837,34.479860902258565,True,41,0.22561279495615827,62.04512313827711
41,2020-03-03,0,81.47233890967837,34.479860902258565,True,42,0.25972792097814545,62.04512313827711
42,2020-03-04,0,81.47233890967837,34.479860902258565,True,43,0.29897918899943776,62.04512313827711
43,2020-03-05,0,81.47233890967837,34.479860902258565,True,44,0.34413257389191154,62.04512313827711
44,2020-03-06,0,81.47233890967837,34.479860902258565,True,45,0.3960659199578394,62.04512313827711
45,2020-03-07,0,81.47233890967837,34.479860902258565,True,46,0.4557845125205051,62.04512313827711
46,2020-03-08,0,81.47233890967837,34.479860902258565,True,47,0.5244385667411103,62.04512313827711
47,2020-03-09,0,81.47233890967837,34.479860902258565,True,48,0.6033427859712869,62.04512313827711
48,2020-03-10,0,81.47233890967837,34.479860902258565,True,49,0.6939981233839814,62.04512313827711
49,2020-03-11,0,81.47233890967837,34.479860902258565,True,50,0.7981158474488069,62.04512313827711
50,2020-03-12,0,81.47233890967837,34.479860902258565,True,51,0.9176439588619567,62.04512313827711
51,2020-03-13,0,81.47233890967837,34.479860902258565,True,52,1.0547959273172733,62.04512313827711
52,2020-03-14,0,81.47233890967837,34.479860902258565,True,53,1.2120816030270711,62.04512313827711
53,2020-03-15,0,81.47233890967837,34.479860902258565,True,54,1.392340000562978,62.04512313827711
54,2020-03-16,0,81.47233890967837,34.479860902258565,True,55,1.5987734401684255,62.04512313827711
55,2020-03-17,0,81.47233890967837,34.479860902258565,True,56,1.8349822515904628,62.04512313827711
56,2020-03-18,0,81.47233890967837,34.479860902258565,True,57,2.1049988842935545,62.04512313827711
57,2020-03-19,0,81.47233890967837,34.479860902258565,True,58,2.4133198126216704,62.04512313827711
58,2020-03-20,0,81.47233890967837,34.479860902258565,True,59,2.7649330643724737,62.04512313827711
59,2020-03-21,0,81.47233890967837,34.479860902258565,True,60,3.1653385310678437,62.04512313827711
60,2020-03-22,0,81.47233890967837,34.479860902258565,True,61,3.620557442634226,62.04512313827711
61,2020-03-23,0,81.47233890967837,34.479860902258565,True,62,4.137126529147118,62.04512313827711
62,2020-03-24,0,81.47233890967837,34.479860902258565,True,63,4.722071492960229,62.04512313827711
63,2020-03-25,2,81.47233890967837,34.479860902258565,True,64,5.382853555121514,62.04512313827711
64,2020-03-26,2,81.47233890967837,34.479860902258565,True,65,6.127282143918649,62.04512313827711
65,2020-03-27,2,81.47233890967837,34.479860902258565,True,66,6.963386437266307,62.04512313827711
66,2020-03-28,2,81.47233890967837,34.479860902258565,True,67,7.89923868811637,62.04512313827711
67,2020-03-29,2,81.47233890967837,34.479860902258565,True,68,8.942723337749587,62.04512313827711
68,2020-03-30,8,81.47233890967837,34.479860902258565,True,69,10.101248168183337,62.04512313827711
69,2020-03-31,8,81.47233890967837,34.479860902258565,True,70,11.381397455146299,62.04512313827711
70,2020-04-01,9,81.47233890967837,34.479860902258565,True,71,12.788532454183816,62.04512313827711
71,2020-04-02,9,81.47233890967837,34.479860902258565,True,72,14.326351579797794,62.04512313827711
72,2020-04-03,15,81.47233890967837,34.479860902258565,True,73,15.99643099200574,62.04512313827711
73,2020-04-04,18,81.47233890967837,34.479860902258565,True,74,17.797775221095865,62.04512313827711
74,2020-04-05,18,81.47233890967837,34.479860902258565,True,75,19.726415683198447,62.04512313827711
75,2020-04-06,18,81.47233890967837,34.479860902258565,True,76,21.775100777262292,62.04512313827711
76,2020-04-07,33,81.47233890967837,34.479860902258565,True,77,23.933122808005017,62.04512313827711
77,2020-04-08,33,81.47233890967837,34.479860902258565,True,78,26.18632253922753,62.04512313827711
78,2020-04-09,36,81.47233890967837,34.479860902258565,True,79,28.51730075567645,62.04512313827711
79,2020-04-10,36,81.47233890967837,34.479860902258565,True,80,30.905848049070833,62.04512313827711
80,2020-04-11,38,81.47233890967837,34.479860902258565,True,81,33.32958095956681,62.04512313827711
81,2020-04-12,38,81.47233890967837,34.479860902258565,True,82,35.7647479085796,62.04512313827711
82,2020-04-13,38,81.47233890967837,34.479860902258565,True,83,38.18714630281703,62.04512313827711
83,2020-04-14,38,81.47233890967837,34.479860902258565,True,84,40.573076998183794,62.04512313827711
84,2020-04-15,43,81.47233890967837,34.479860902258565,True,85,42.90025708306806,62.04512313827711
85,2020-04-16,43,81.47233890967837,34.479860902258565,True,86,45.148617770495754,62.04512313827711
86,2020-04-17,43,81.47233890967837,34.479860902258565,True,87,47.300929855580634,62.04512313827711
