,Report_Date,Paraguay_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
34,2020-02-25,0,195.40737473439773,4219.638149179057,False,35,43.96827222991421,8439.276298358114
35,2020-02-26,0,195.40737473439773,4219.638149179057,False,36,45.423804048849306,8439.276298358114
36,2020-02-27,0,195.40737473439773,4219.638149179057,False,37,46.92725066140584,8439.276298358114
37,2020-02-28,0,195.40737473439773,4219.638149179057,False,38,48.48017126023474,8439.276298358114
38,2020-02-29,0,195.40737473439773,4219.638149179057,False,39,50.08417455707534,8439.276298358114
39,2020-03-01,0,195.40737473439773,4219.638149179057,False,40,51.74092027330226,8439.276298358114
40,2020-03-02,0,195.40737473439773,4219.638149179057,False,41,53.45212066974006,8439.276298358114
41,2020-03-03,0,195.40737473439773,4219.638149179057,False,42,55.219542116385384,8439.276298358114
42,2020-03-04,0,195.40737473439773,4219.638149179057,False,43,57.045006702655606,8439.276298358114
43,2020-03-05,0,195.40737473439773,4219.638149179057,False,44,58.93039388875969,8439.276298358114
44,2020-03-06,0,195.40737473439773,4219.638149179057,False,45,60.87764219875945,8439.276298358114
45,2020-03-07,0,195.40737473439773,4219.638149179057,False,46,62.88875095585852,8439.276298358114
46,2020-03-08,1,195.40737473439773,4219.638149179057,False,47,64.96578206042145,8439.276298358114
47,2020-03-09,1,195.40737473439773,4219.638149179057,False,48,67.11086181118678,8439.276298358114
48,2020-03-10,1,195.40737473439773,4219.638149179057,False,49,69.32618277009337,8439.276298358114
49,2020-03-11,5,195.40737473439773,4219.638149179057,False,50,71.61400567109155,8439.276298358114
50,2020-03-12,5,195.40737473439773,4219.638149179057,False,51,73.97666137325635,8439.276298358114
51,2020-03-13,6,195.40737473439773,4219.638149179057,False,52,76.41655285846116,8439.276298358114
52,2020-03-14,6,195.40737473439773,4219.638149179057,False,53,78.93615727380471,8439.276298358114
53,2020-03-15,6,195.40737473439773,4219.638149179057,False,54,81.5380280189121,8439.276298358114
54,2020-03-16,8,195.40737473439773,4219.638149179057,False,55,84.22479687815363,8439.276298358114
55,2020-03-17,9,195.40737473439773,4219.638149179057,False,56,86.9991761977379,8439.276298358114
56,2020-03-18,11,195.40737473439773,4219.638149179057,False,57,89.86396110754386,8439.276298358114
57,2020-03-19,11,195.40737473439773,4219.638149179057,False,58,92.82203178745401,8439.276298358114
58,2020-03-20,13,195.40737473439773,4219.638149179057,False,59,95.87635577784194,8439.276298358114
59,2020-03-21,18,195.40737473439773,4219.638149179057,False,60,99.02999033374779,8439.276298358114
60,2020-03-22,22,195.40737473439773,4219.638149179057,False,61,102.2860848221463,8439.276298358114
61,2020-03-23,22,195.40737473439773,4219.638149179057,False,62,105.64788316157353,8439.276298358114
62,2020-03-24,27,195.40737473439773,4219.638149179057,False,63,109.11872630322858,8439.276298358114
63,2020-03-25,37,195.40737473439773,4219.638149179057,False,64,112.70205475250415,8439.276298358114
64,2020-03-26,41,195.40737473439773,4219.638149179057,False,65,116.40141112972888,8439.276298358114
65,2020-03-27,52,195.40737473439773,4219.638149179057,False,66,120.22044276871557,8439.276298358114
66,2020-03-28,56,195.40737473439773,4219.638149179057,False,67,124.16290435151191,8439.276298358114
67,2020-03-29,59,195.40737473439773,4219.638149179057,False,68,128.23266057753727,8439.276298358114
68,2020-03-30,64,195.40737473439773,4219.638149179057,False,69,132.43368886505857,8439.276298358114
69,2020-03-31,65,195.40737473439773,4219.638149179057,False,70,136.77008208271678,8439.276298358114
70,2020-04-01,69,195.40737473439773,4219.638149179057,False,71,141.2460513085566,8439.276298358114
71,2020-04-02,77,195.40737473439773,4219.638149179057,False,72,145.86592861373052,8439.276298358114
72,2020-04-03,92,195.40737473439773,4219.638149179057,False,73,150.63416986776102,8439.276298358114
73,2020-04-04,96,195.40737473439773,4219.638149179057,False,74,155.55535756192464,8439.276298358114
74,2020-04-05,104,195.40737473439773,4219.638149179057,False,75,160.63420364699462,8439.276298358114
75,2020-04-06,113,195.40737473439773,4219.638149179057,False,76,165.87555238122522,8439.276298358114
76,2020-04-07,115,195.40737473439773,4219.638149179057,False,77,171.28438318408618,8439.276298358114
77,2020-04-08,119,195.40737473439773,4219.638149179057,False,78,176.8658134908647,8439.276298358114
78,2020-04-09,124,195.40737473439773,4219.638149179057,False,79,182.62510160283372,8439.276298358114
79,2020-04-10,129,195.40737473439773,4219.638149179057,False,80,188.56764952724592,8439.276298358114
80,2020-04-11,133,195.40737473439773,4219.638149179057,False,81,194.69900580095074,8439.276298358114
81,2020-04-12,134,195.40737473439773,4219.638149179057,False,82,201.02486829094465,8439.276298358114
82,2020-04-13,147,195.40737473439773,4219.638149179057,False,83,207.55108696465143,8439.276298358114
83,2020-04-14,159,195.40737473439773,4219.638149179057,False,84,214.28366662219264,8439.276298358114
84,2020-04-15,161,195.40737473439773,4219.638149179057,False,85,221.22876958234662,8439.276298358114
85,2020-04-16,174,195.40737473439773,4219.638149179057,False,86,228.39271831330132,8439.276298358114
86,2020-04-17,199,195.40737473439773,4219.638149179057,False,87,235.781997998695,8439.276298358114
87,2020-04-18,202,195.40737473439773,4219.638149179057,False,88,243.40325902879096,8439.276298358114
88,2020-04-19,206,195.40737473439773,4219.638149179057,False,89,251.26331940596623,8439.276298358114
89,2020-04-20,208,195.40737473439773,4219.638149179057,False,90,259.3691670529985,8439.276298358114
90,2020-04-21,208,195.40737473439773,4219.638149179057,False,91,267.7279620119079,8439.276298358114
91,2020-04-22,213,195.40737473439773,4219.638149179057,False,92,276.3470385203664,8439.276298358114
92,2020-04-23,213,195.40737473439773,4219.638149179057,False,93,285.2339069519105,8439.276298358114
93,2020-04-24,223,195.40737473439773,4219.638149179057,False,94,294.3962556053918,8439.276298358114
94,2020-04-25,228,195.40737473439773,4219.638149179057,False,95,303.8419523282792,8439.276298358114
95,2020-04-26,228,195.40737473439773,4219.638149179057,False,96,313.57904595758043,8439.276298358114
96,2020-04-27,228,195.40737473439773,4219.638149179057,False,97,323.6157675612802,8439.276298358114
97,2020-04-28,239,195.40737473439773,4219.638149179057,False,98,333.9605314623098,8439.276298358114
98,2020-04-29,239,195.40737473439773,4219.638149179057,False,99,344.6219360261603,8439.276298358114
99,2020-04-30,266,195.40737473439773,4219.638149179057,False,100,355.6087641923293,8439.276298358114
100,2020-05-01,333,195.40737473439773,4219.638149179057,False,101,366.9299837288697,8439.276298358114
101,2020-05-02,370,195.40737473439773,4219.638149179057,False,102,378.5947471883657,8439.276298358114
102,2020-05-03,396,195.40737473439773,4219.638149179057,False,103,390.61239154272585,8439.276298358114
103,2020-05-04,415,195.40737473439773,4219.638149179057,False,104,402.99243747323993,8439.276298358114
104,2020-05-05,431,195.40737473439773,4219.638149179057,False,105,415.74458829141355,8439.276298358114
105,2020-05-06,440,195.40737473439773,4219.638149179057,False,106,428.87872846516615,8439.276298358114
106,2020-05-07,462,195.40737473439773,4219.638149179057,False,107,442.4049217240803,8439.276298358114
107,2020-05-08,563,195.40737473439773,4219.638149179057,False,108,456.3334087164923,8439.276298358114
108,2020-05-09,689,195.40737473439773,4219.638149179057,False,109,470.6746041903746,8439.276298358114
109,2020-05-10,713,195.40737473439773,4219.638149179057,False,110,485.4390936691409,8439.276298358114
110,2020-05-11,724,195.40737473439773,4219.638149179057,False,111,500.6376295927338,8439.276298358114
111,2020-05-12,737,195.40737473439773,4219.638149179057,False,112,516.281126893658,8439.276298358114
112,2020-05-13,740,195.40737473439773,4219.638149179057,False,113,532.3806579769662,8439.276298358114
113,2020-05-14,754,195.40737473439773,4219.638149179057,False,114,548.9474470726517,8439.276298358114
114,2020-05-15,759,195.40737473439773,4219.638149179057,False,115,565.9928639284241,8439.276298358114
115,2020-05-16,778,195.40737473439773,4219.638149179057,False,116,583.5284168104749,8439.276298358114
