,Report_Date,Saint Lucia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
41,2020-03-03,0,69.68824495480895,8.796057393642528,True,42,0.1795901222751009,17.592096258093736
42,2020-03-04,0,69.68824495480895,8.796057393642528,True,43,0.21146323237731074,17.592096258093736
43,2020-03-05,0,69.68824495480895,8.796057393642528,True,44,0.24891222217236633,17.592096258093736
44,2020-03-06,0,69.68824495480895,8.796057393642528,True,45,0.29288146855166847,17.592096258093736
45,2020-03-07,0,69.68824495480895,8.796057393642528,True,46,0.3444634240323006,17.592096258093736
46,2020-03-08,0,69.68824495480895,8.796057393642528,True,47,0.40491729648280805,17.592096258093736
47,2020-03-09,0,69.68824495480895,8.796057393642528,True,48,0.47568830287489344,17.592096258093736
48,2020-03-10,0,69.68824495480895,8.796057393642528,True,49,0.5584267006431289,17.592096258093736
49,2020-03-11,0,69.68824495480895,8.796057393642528,True,50,0.6550054131248266,17.592096258093736
50,2020-03-12,0,69.68824495480895,8.796057393642528,True,51,0.7675345713323104,17.592096258093736
51,2020-03-13,0,69.68824495480895,8.796057393642528,True,52,0.8983706869260525,17.592096258093736
52,2020-03-14,1,69.68824495480895,8.796057393642528,True,53,1.0501174594817622,17.592096258093736
53,2020-03-15,2,69.68824495480895,8.796057393642528,True,54,1.22561443936585,17.592096258093736
54,2020-03-16,2,69.68824495480895,8.796057393642528,True,55,1.427908989920734,17.592096258093736
55,2020-03-17,2,69.68824495480895,8.796057393642528,True,56,1.660206349565594,17.592096258093736
56,2020-03-18,2,69.68824495480895,8.796057393642528,True,57,1.92579228766466,17.592096258093736
57,2020-03-19,2,69.68824495480895,8.796057393642528,True,58,2.227923158326243,17.592096258093736
58,2020-03-20,2,69.68824495480895,8.796057393642528,True,59,2.569679431825397,17.592096258093736
59,2020-03-21,2,69.68824495480895,8.796057393642528,True,60,2.9537813945173337,17.592096258093736
60,2020-03-22,2,69.68824495480895,8.796057393642528,True,61,3.3823699537253957,17.592096258093736
61,2020-03-23,3,69.68824495480895,8.796057393642528,True,62,3.856761441637491,17.592096258093736
62,2020-03-24,3,69.68824495480895,8.796057393642528,True,63,4.377192646898474,17.592096258093736
63,2020-03-25,3,69.68824495480895,8.796057393642528,True,64,4.942580085794036,17.592096258093736
64,2020-03-26,3,69.68824495480895,8.796057393642528,True,65,5.550324156920198,17.592096258093736
65,2020-03-27,3,69.68824495480895,8.796057393642528,True,66,6.1961921798914785,17.592096258093736
66,2020-03-28,3,69.68824495480895,8.796057393642528,True,67,6.874312215213685,17.592096258093736
67,2020-03-29,9,69.68824495480895,8.796057393642528,True,68,7.577300514147415,17.592096258093736
68,2020-03-30,9,69.68824495480895,8.796057393642528,True,69,8.29652952098016,17.592096258093736
69,2020-03-31,13,69.68824495480895,8.796057393642528,True,70,9.022522725159037,17.592096258093736
70,2020-04-01,13,69.68824495480895,8.796057393642528,True,71,9.745441492011148,17.592096258093736
71,2020-04-02,13,69.68824495480895,8.796057393642528,True,72,10.455612400292791,17.592096258093736
72,2020-04-03,13,69.68824495480895,8.796057393642528,True,73,11.144036006416584,17.592096258093736
73,2020-04-04,14,69.68824495480895,8.796057393642528,True,74,11.80282146542569,17.592096258093736
74,2020-04-05,14,69.68824495480895,8.796057393642528,True,75,12.425505079392654,17.592096258093736
75,2020-04-06,14,69.68824495480895,8.796057393642528,True,76,13.007230894941523,17.592096258093736
76,2020-04-07,14,69.68824495480895,8.796057393642528,True,77,13.544792871481551,17.592096258093736
77,2020-04-08,14,69.68824495480895,8.796057393642528,True,78,14.036556211453942,17.592096258093736
78,2020-04-09,14,69.68824495480895,8.796057393642528,True,79,14.48228719670786,17.592096258093736
79,2020-04-10,15,69.68824495480895,8.796057393642528,True,80,14.882925484899758,17.592096258093736
80,2020-04-11,15,69.68824495480895,8.796057393642528,True,81,15.240331281123506,17.592096258093736
81,2020-04-12,15,69.68824495480895,8.796057393642528,True,82,15.557034134865313,17.592096258093736
82,2020-04-13,15,69.68824495480895,8.796057393642528,True,83,15.836002540343806,17.592096258093736
83,2020-04-14,15,69.68824495480895,8.796057393642528,True,84,16.080445869554463,17.592096258093736
84,2020-04-15,15,69.68824495480895,8.796057393642528,True,85,16.29365362345216,17.592096258093736
85,2020-04-16,15,69.68824495480895,8.796057393642528,True,86,16.478872087855798,17.592096258093736
86,2020-04-17,15,69.68824495480895,8.796057393642528,True,87,16.639215281119142,17.592096258093736
87,2020-04-18,15,69.68824495480895,8.796057393642528,True,88,16.777605344477422,17.592096258093736
88,2020-04-19,15,69.68824495480895,8.796057393642528,True,89,16.896736895768047,17.592096258093736
89,2020-04-20,15,69.68824495480895,8.796057393642528,True,90,16.999059978766862,17.592096258093736
90,2020-04-21,15,69.68824495480895,8.796057393642528,True,91,17.086776784759305,17.592096258093736
91,2020-04-22,15,69.68824495480895,8.796057393642528,True,92,17.161848068791404,17.592096258093736
92,2020-04-23,15,69.68824495480895,8.796057393642528,True,93,17.226005974618516,17.592096258093736
93,2020-04-24,15,69.68824495480895,8.796057393642528,True,94,17.280770726337256,17.592096258093736
94,2020-04-25,15,69.68824495480895,8.796057393642528,True,95,17.327469293509303,17.592096258093736
95,2020-04-26,15,69.68824495480895,8.796057393642528,True,96,17.367254673302444,17.592096258093736
96,2020-04-27,15,69.68824495480895,8.796057393642528,True,97,17.40112485930415,17.592096258093736
97,2020-04-28,15,69.68824495480895,8.796057393642528,True,98,17.429940893525885,17.592096258093736
98,2020-04-29,17,69.68824495480895,8.796057393642528,True,99,17.454443641119866,17.592096258093736
99,2020-04-30,17,69.68824495480895,8.796057393642528,True,100,17.47526910251815,17.592096258093736
