,Report_Date,Austria_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
37,2020-02-28,3,66.70083493138189,7515.297584944491,True,38,105.3083337475213,14935.554468590874
38,2020-02-29,9,66.70083493138189,7515.297584944491,True,39,124.98314483486146,14935.554468590874
39,2020-03-01,14,66.70083493138189,7515.297584944491,True,40,148.29728796217316,14935.554468590874
40,2020-03-02,18,66.70083493138189,7515.297584944491,True,41,175.9090870276958,14935.554468590874
41,2020-03-03,21,66.70083493138189,7515.297584944491,True,42,208.5899302908189,14935.554468590874
42,2020-03-04,29,66.70083493138189,7515.297584944491,True,43,247.24125028217088,14935.554468590874
43,2020-03-05,41,66.70083493138189,7515.297584944491,True,44,292.913050790222,14935.554468590874
44,2020-03-06,55,66.70083493138189,7515.297584944491,True,45,346.8236745457375,14935.554468590874
45,2020-03-07,79,66.70083493138189,7515.297584944491,True,46,410.38025299297755,14935.554468590874
46,2020-03-08,104,66.70083493138189,7515.297584944491,True,47,485.1989306984278,14935.554468590874
47,2020-03-09,131,66.70083493138189,7515.297584944491,True,48,573.1234904334906,14935.554468590874
48,2020-03-10,182,66.70083493138189,7515.297584944491,True,49,676.2404031044712,14935.554468590874
49,2020-03-11,246,66.70083493138189,7515.297584944491,True,50,796.8875820709034,14935.554468590874
50,2020-03-12,302,66.70083493138189,7515.297584944491,True,51,937.6532477558219,14935.554468590874
51,2020-03-13,504,66.70083493138189,7515.297584944491,True,52,1101.360356662054,14935.554468590874
52,2020-03-14,655,66.70083493138189,7515.297584944491,True,53,1291.0311277588953,14935.554468590874
53,2020-03-15,860,66.70083493138189,7515.297584944491,True,54,1509.8254990581877,14935.554468590874
54,2020-03-16,1018,66.70083493138189,7515.297584944491,True,55,1760.9471603345462,14935.554468590874
55,2020-03-17,1332,66.70083493138189,7515.297584944491,True,56,2047.5115336338295,14935.554468590874
56,2020-03-18,1646,66.70083493138189,7515.297584944491,True,57,2372.3721886047983,14935.554468590874
57,2020-03-19,2013,66.70083493138189,7515.297584944491,True,58,2737.906152555607,14935.554468590874
58,2020-03-20,2388,66.70083493138189,7515.297584944491,True,59,3145.7646979000983,14935.554468590874
59,2020-03-21,2814,66.70083493138189,7515.297584944491,True,60,3596.6043346883143,14935.554468590874
60,2020-03-22,3582,66.70083493138189,7515.297584944491,True,61,4089.822077582135,14935.554468590874
61,2020-03-23,4474,66.70083493138189,7515.297584944491,True,62,4623.327872449576,14935.554468590874
62,2020-03-24,5283,66.70083493138189,7515.297584944491,True,63,5193.392792169315,14935.554468590874
63,2020-03-25,5588,66.70083493138189,7515.297584944491,True,64,5794.6113159551605,14935.554468590874
64,2020-03-26,6909,66.70083493138189,7515.297584944491,True,65,6420.007356544801,14935.554468590874
65,2020-03-27,7657,66.70083493138189,7515.297584944491,True,66,7061.2961699205125,14935.554468590874
66,2020-03-28,8271,66.70083493138189,7515.297584944491,True,67,7709.2901142592345,14935.554468590874
67,2020-03-29,8788,66.70083493138189,7515.297584944491,True,68,8354.410475203216,14935.554468590874
68,2020-03-30,9618,66.70083493138189,7515.297584944491,True,69,8987.246874941637,14935.554468590874
69,2020-03-31,10180,66.70083493138189,7515.297584944491,True,70,9599.096079628265,14935.554468590874
70,2020-04-01,10711,66.70083493138189,7515.297584944491,True,71,10182.416250733806,14935.554468590874
71,2020-04-02,11129,66.70083493138189,7515.297584944491,True,72,10731.149559407158,14935.554468590874
72,2020-04-03,11524,66.70083493138189,7515.297584944491,True,73,11240.890619579963,14935.554468590874
73,2020-04-04,11781,66.70083493138189,7515.297584944491,True,74,11708.903736725197,14935.554468590874
74,2020-04-05,12051,66.70083493138189,7515.297584944491,True,75,12134.012604857753,14935.554468590874
75,2020-04-06,12297,66.70083493138189,7515.297584944491,True,76,12516.398378704007,14935.554468590874
76,2020-04-07,12639,66.70083493138189,7515.297584944491,True,77,12857.345492586035,14935.554468590874
77,2020-04-08,12942,66.70083493138189,7515.297584944491,True,78,13158.97094650968,14935.554468590874
78,2020-04-09,13244,66.70083493138189,7515.297584944491,True,79,13423.964861050441,14935.554468590874
79,2020-04-10,13555,66.70083493138189,7515.297584944491,True,80,13655.360712747977,14935.554468590874
80,2020-04-11,13806,66.70083493138189,7515.297584944491,True,81,13856.344889117396,14935.554468590874
81,2020-04-12,13945,66.70083493138189,7515.297584944491,True,82,14030.108218887384,14935.554468590874
82,2020-04-13,14041,66.70083493138189,7515.297584944491,True,83,14179.737314411796,14935.554468590874
83,2020-04-14,14226,66.70083493138189,7515.297584944491,True,84,14308.140752731184,14935.554468590874
84,2020-04-15,14336,66.70083493138189,7515.297584944491,True,85,14418.003897414681,14935.554468590874
85,2020-04-16,14453,66.70083493138189,7515.297584944491,True,86,14511.76603714553,14935.554468590874
