,Report_Date,Macedonia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
64,2020-03-26,201,80.42108403406516,763.0515841749929,True,65,178.318159991584,1370.344702666554
65,2020-03-27,219,80.42108403406516,763.0515841749929,True,66,200.03396453695694,1370.344702666554
66,2020-03-28,241,80.42108403406516,763.0515841749929,True,67,223.9549098174656,1370.344702666554
67,2020-03-29,259,80.42108403406516,763.0515841749929,True,68,250.19670764431947,1370.344702666554
68,2020-03-30,285,80.42108403406516,763.0515841749929,True,69,278.854891450251,1370.344702666554
69,2020-03-31,329,80.42108403406516,763.0515841749929,True,70,309.99811203320246,1370.344702666554
70,2020-04-01,354,80.42108403406516,763.0515841749929,True,71,343.66113166653423,1370.344702666554
71,2020-04-02,384,80.42108403406516,763.0515841749929,True,72,379.8378952635905,1370.344702666554
72,2020-04-03,430,80.42108403406516,763.0515841749929,True,73,418.47516059833265,1370.344702666554
73,2020-04-04,483,80.42108403406516,763.0515841749929,True,74,459.46724948788477,1370.344702666554
74,2020-04-05,555,80.42108403406516,763.0515841749929,True,75,502.65251832082777,1370.344702666554
75,2020-04-06,570,80.42108403406516,763.0515841749929,True,76,547.8121200382498,1370.344702666554
76,2020-04-07,599,80.42108403406516,763.0515841749929,True,77,594.6715266258733,1370.344702666554
77,2020-04-08,617,80.42108403406516,763.0515841749929,True,78,642.9050976946411,1370.344702666554
78,2020-04-09,663,80.42108403406516,763.0515841749929,True,79,692.1437275532398,1370.344702666554
79,2020-04-10,711,80.42108403406516,763.0515841749929,True,80,741.985306844825,1370.344702666554
80,2020-04-11,760,80.42108403406516,763.0515841749929,True,81,792.0074351423367,1370.344702666554
81,2020-04-12,828,80.42108403406516,763.0515841749929,True,82,841.7815642820883,1370.344702666554
82,2020-04-13,854,80.42108403406516,763.0515841749929,True,83,890.8875820510015,1370.344702666554
83,2020-04-14,908,80.42108403406516,763.0515841749929,True,84,938.9277924291436,1370.344702666554
84,2020-04-15,974,80.42108403406516,763.0515841749929,True,85,985.5393216632864,1370.344702666554
85,2020-04-16,1081,80.42108403406516,763.0515841749929,True,86,1030.4041657142577,1370.344702666554
86,2020-04-17,1117,80.42108403406516,763.0515841749929,True,87,1073.2563611172907,1370.344702666554
