,Report_Date,Georgia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
57,2020-03-19,40,319.1343651725767,41265.76251532016,False,58,6.691227497389488,82531.52503064027
58,2020-03-20,43,319.1343651725767,41265.76251532016,False,59,6.936990006927019,82531.52503064027
59,2020-03-21,49,319.1343651725767,41265.76251532016,False,60,7.191778356270097,82531.52503064027
60,2020-03-22,54,319.1343651725767,41265.76251532016,False,61,7.455923968312363,82531.52503064027
61,2020-03-23,61,319.1343651725767,41265.76251532016,False,62,7.729770431175818,82531.52503064027
62,2020-03-24,70,319.1343651725767,41265.76251532016,False,63,8.0136739444191,82531.52503064027
63,2020-03-25,75,319.1343651725767,41265.76251532016,False,64,8.308003781587606,82531.52503064027
64,2020-03-26,79,319.1343651725767,41265.76251532016,False,65,8.613142769702078,82531.52503064027
65,2020-03-27,83,319.1343651725767,41265.76251532016,False,66,8.929487786303984,82531.52503064027
66,2020-03-28,90,319.1343651725767,41265.76251532016,False,67,9.257450274698428,82531.52503064027
67,2020-03-29,91,319.1343651725767,41265.76251532016,False,68,9.597456778058492,82531.52503064027
68,2020-03-30,103,319.1343651725767,41265.76251532016,False,69,9.949949493079021,82531.52503064027
69,2020-03-31,110,319.1343651725767,41265.76251532016,False,70,10.315386843892815,82531.52503064027
70,2020-04-01,117,319.1343651725767,41265.76251532016,False,71,10.694244076987866,82531.52503064027
71,2020-04-02,134,319.1343651725767,41265.76251532016,False,72,11.087013877891074,82531.52503064027
72,2020-04-03,155,319.1343651725767,41265.76251532016,False,73,11.494207010411605,82531.52503064027
73,2020-04-04,162,319.1343651725767,41265.76251532016,False,74,11.916352979265573,82531.52503064027
74,2020-04-05,174,319.1343651725767,41265.76251532016,False,75,12.354000716933463,82531.52503064027
75,2020-04-06,188,319.1343651725767,41265.76251532016,False,76,12.807719295632475,82531.52503064027
76,2020-04-07,196,319.1343651725767,41265.76251532016,False,77,13.27809866531769,82531.52503064027
77,2020-04-08,211,319.1343651725767,41265.76251532016,False,78,13.765750418658966,82531.52503064027
