,Report_Date,Libyan Arab Jamahiriya_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
27,2020-02-18,0,95.55371345644593,93.40896649493452,False,28,0.054505085658119595,134.58381149003
28,2020-02-19,0,95.55371345644593,93.40896649493452,False,29,0.061481914515592546,134.58381149003
29,2020-02-20,0,95.55371345644593,93.40896649493452,False,30,0.06935146861603836,134.58381149003
30,2020-02-21,0,95.55371345644593,93.40896649493452,False,31,0.07822788695056025,134.58381149003
31,2020-02-22,0,95.55371345644593,93.40896649493452,False,32,0.08823987710313086,134.58381149003
32,2020-02-23,0,95.55371345644593,93.40896649493452,False,33,0.09953256807308362,134.58381149003
33,2020-02-24,0,95.55371345644593,93.40896649493452,False,34,0.11226959691286506,134.58381149003
34,2020-02-25,0,95.55371345644593,93.40896649493452,False,35,0.12663545818896854,134.58381149003
35,2020-02-26,0,95.55371345644593,93.40896649493452,False,36,0.14283814873617587,134.58381149003
36,2020-02-27,0,95.55371345644593,93.40896649493452,False,37,0.16111214401273627,134.58381149003
37,2020-02-28,0,95.55371345644593,93.40896649493452,False,38,0.18172174660674037,134.58381149003
38,2020-02-29,0,95.55371345644593,93.40896649493452,False,39,0.20496485212047072,134.58381149003
39,2020-03-01,0,95.55371345644593,93.40896649493452,False,40,0.2311771827963383,134.58381149003
40,2020-03-02,0,95.55371345644593,93.40896649493452,False,41,0.26073704486715993,134.58381149003
41,2020-03-03,0,95.55371345644593,93.40896649493452,False,42,0.29407067173025286,134.58381149003
42,2020-03-04,0,95.55371345644593,93.40896649493452,False,43,0.3316582216640734,134.58381149003
43,2020-03-05,0,95.55371345644593,93.40896649493452,False,44,0.3740405059183732,134.58381149003
44,2020-03-06,0,95.55371345644593,93.40896649493452,False,45,0.42182653058416114,134.58381149003
45,2020-03-07,0,95.55371345644593,93.40896649493452,False,46,0.47570194363072343,134.58381149003
46,2020-03-08,0,95.55371345644593,93.40896649493452,False,47,0.5364384867890523,134.58381149003
47,2020-03-09,0,95.55371345644593,93.40896649493452,False,48,0.6049045604210747,134.58381149003
48,2020-03-10,0,95.55371345644593,93.40896649493452,False,49,0.68207701793494,134.58381149003
49,2020-03-11,0,95.55371345644593,93.40896649493452,False,50,0.769054314398971,134.58381149003
50,2020-03-12,0,95.55371345644593,93.40896649493452,False,51,0.867071141375719,134.58381149003
51,2020-03-13,0,95.55371345644593,93.40896649493452,False,52,0.9775146861140099,134.58381149003
52,2020-03-14,0,95.55371345644593,93.40896649493452,False,53,1.1019426574037008,134.58381149003
53,2020-03-15,0,95.55371345644593,93.40896649493452,False,54,1.2421032217075911,134.58381149003
54,2020-03-16,0,95.55371345644593,93.40896649493452,False,55,1.3999569904710079,134.58381149003
