,Report_Date,Kuwait_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
34,2020-02-25,11,91.87522885195418,2304.084363688409,False,35,7.793749475908137,4608.168727376817
35,2020-02-26,26,91.87522885195418,2304.084363688409,False,36,8.71727514632884,4608.168727376817
36,2020-02-27,43,91.87522885195418,2304.084363688409,False,37,9.750002688961263,4608.168727376817
37,2020-02-28,45,91.87522885195418,2304.084363688409,False,38,10.904786441226719,4608.168727376817
38,2020-02-29,45,91.87522885195418,2304.084363688409,False,39,12.195979255638346,4608.168727376817
39,2020-03-01,45,91.87522885195418,2304.084363688409,False,40,13.639603531844635,4608.168727376817
40,2020-03-02,56,91.87522885195418,2304.084363688409,False,41,15.253540848545056,4608.168727376817
41,2020-03-03,56,91.87522885195418,2304.084363688409,False,42,17.0577419838685,4608.168727376817
42,2020-03-04,56,91.87522885195418,2304.084363688409,False,43,19.074459223276833,4608.168727376817
43,2020-03-05,58,91.87522885195418,2304.084363688409,False,44,21.32850295345912,4608.168727376817
44,2020-03-06,58,91.87522885195418,2304.084363688409,False,45,23.847524622181954,4608.168727376817
45,2020-03-07,61,91.87522885195418,2304.084363688409,False,46,26.662328198835795,4608.168727376817
46,2020-03-08,64,91.87522885195418,2304.084363688409,False,47,29.8072122872124,4608.168727376817
47,2020-03-09,64,91.87522885195418,2304.084363688409,False,48,33.320345006648154,4608.168727376817
48,2020-03-10,69,91.87522885195418,2304.084363688409,False,49,37.24417365228859,4608.168727376817
49,2020-03-11,72,91.87522885195418,2304.084363688409,False,50,41.62587094783015,4608.168727376817
50,2020-03-12,80,91.87522885195418,2304.084363688409,False,51,46.51781938760614,4608.168727376817
51,2020-03-13,80,91.87522885195418,2304.084363688409,False,52,51.978134696395344,4608.168727376817
52,2020-03-14,104,91.87522885195418,2304.084363688409,False,53,58.07122877522405,4608.168727376817
53,2020-03-15,112,91.87522885195418,2304.084363688409,False,54,64.86841160256942,4608.168727376817
54,2020-03-16,123,91.87522885195418,2304.084363688409,False,55,72.4485303673845,4608.168727376817
55,2020-03-17,130,91.87522885195418,2304.084363688409,False,56,80.8986425591826,4608.168727376817
56,2020-03-18,142,91.87522885195418,2304.084363688409,False,57,90.31471775823655,4608.168727376817
57,2020-03-19,148,91.87522885195418,2304.084363688409,False,58,100.80236037486713,4608.168727376817
58,2020-03-20,159,91.87522885195418,2304.084363688409,False,59,112.47754249349614,4608.168727376817
59,2020-03-21,176,91.87522885195418,2304.084363688409,False,60,125.46733219405064,4608.168727376817
60,2020-03-22,188,91.87522885195418,2304.084363688409,False,61,139.9105981618032,4608.168727376817
61,2020-03-23,189,91.87522885195418,2304.084363688409,False,62,155.9586659781432,4608.168727376817
62,2020-03-24,191,91.87522885195418,2304.084363688409,False,63,173.77589515190365,4608.168727376817
