,Report_Date,Albania_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
30,2020-02-21,0,472.8129467683504,2464087.7527966257,False,31,104.834005373001,4928175.505593251
31,2020-02-22,0,472.8129467683504,2464087.7527966257,False,32,107.41797422075594,4928175.505593251
32,2020-02-23,0,472.8129467683504,2464087.7527966257,False,33,110.06563181013426,4928175.505593251
33,2020-02-24,0,472.8129467683504,2464087.7527966257,False,34,112.77854784751379,4928175.505593251
34,2020-02-25,0,472.8129467683504,2464087.7527966257,False,35,115.5583307235426,4928175.505593251
35,2020-02-26,0,472.8129467683504,2464087.7527966257,False,36,118.4066284663078,4928175.505593251
36,2020-02-27,0,472.8129467683504,2464087.7527966257,False,37,121.32512971798151,4928175.505593251
37,2020-02-28,0,472.8129467683504,2464087.7527966257,False,38,124.31556473552148,4928175.505593251
38,2020-02-29,0,472.8129467683504,2464087.7527966257,False,39,127.37970641601845,4928175.505593251
39,2020-03-01,0,472.8129467683504,2464087.7527966257,False,40,130.51937134729693,4928175.505593251
40,2020-03-02,0,472.8129467683504,2464087.7527966257,False,41,133.73642088439072,4928175.505593251
41,2020-03-03,0,472.8129467683504,2464087.7527966257,False,42,137.03276225253006,4928175.505593251
42,2020-03-04,0,472.8129467683504,2464087.7527966257,False,43,140.41034967729263,4928175.505593251
43,2020-03-05,0,472.8129467683504,2464087.7527966257,False,44,143.87118554258655,4928175.505593251
44,2020-03-06,0,472.8129467683504,2464087.7527966257,False,45,147.4173215771511,4928175.505593251
45,2020-03-07,0,472.8129467683504,2464087.7527966257,False,46,151.05086007027555,4928175.505593251
46,2020-03-08,0,472.8129467683504,2464087.7527966257,False,47,154.77395511745556,4928175.505593251
47,2020-03-09,2,472.8129467683504,2464087.7527966257,False,48,158.58881389672445,4928175.505593251
48,2020-03-10,10,472.8129467683504,2464087.7527966257,False,49,162.497697976412,4928175.505593251
49,2020-03-11,12,472.8129467683504,2464087.7527966257,False,50,166.50292465510591,4928175.505593251
50,2020-03-12,23,472.8129467683504,2464087.7527966257,False,51,170.6068683346068,4928175.505593251
51,2020-03-13,33,472.8129467683504,2464087.7527966257,False,52,174.81196192668844,4928175.505593251
52,2020-03-14,38,472.8129467683504,2464087.7527966257,False,53,179.12069829449544,4928175.505593251
53,2020-03-15,42,472.8129467683504,2464087.7527966257,False,54,183.53563172942907,4928175.505593251
54,2020-03-16,51,472.8129467683504,2464087.7527966257,False,55,188.05937946439485,4928175.505593251
55,2020-03-17,55,472.8129467683504,2464087.7527966257,False,56,192.69462322430576,4928175.505593251
56,2020-03-18,59,472.8129467683504,2464087.7527966257,False,57,197.44411081475747,4928175.505593251
57,2020-03-19,64,472.8129467683504,2464087.7527966257,False,58,202.31065774981334,4928175.505593251
58,2020-03-20,70,472.8129467683504,2464087.7527966257,False,59,207.29714891986228,4928175.505593251
59,2020-03-21,76,472.8129467683504,2464087.7527966257,False,60,212.40654030053275,4928175.505593251
60,2020-03-22,89,472.8129467683504,2464087.7527966257,False,61,217.64186070367418,4928175.505593251
61,2020-03-23,104,472.8129467683504,2464087.7527966257,False,62,223.00621357143845,4928175.505593251
62,2020-03-24,123,472.8129467683504,2464087.7527966257,False,63,228.5027788145213,4928175.505593251
63,2020-03-25,146,472.8129467683504,2464087.7527966257,False,64,234.13481469564988,4928175.505593251
64,2020-03-26,174,472.8129467683504,2464087.7527966257,False,65,239.90565975942684,4928175.505593251
65,2020-03-27,186,472.8129467683504,2464087.7527966257,False,66,245.81873480967158,4928175.505593251
66,2020-03-28,197,472.8129467683504,2464087.7527966257,False,67,251.87754493542562,4928175.505593251
67,2020-03-29,212,472.8129467683504,2464087.7527966257,False,68,258.08568158681686,4928175.505593251
68,2020-03-30,223,472.8129467683504,2464087.7527966257,False,69,264.446824702009,4928175.505593251
69,2020-03-31,243,472.8129467683504,2464087.7527966257,False,70,270.96474488649085,4928175.505593251
70,2020-04-01,259,472.8129467683504,2464087.7527966257,False,71,277.6433056459904,4928175.505593251
71,2020-04-02,277,472.8129467683504,2464087.7527966257,False,72,284.48646567433224,4928175.505593251
72,2020-04-03,304,472.8129467683504,2464087.7527966257,False,73,291.4982811975868,4928175.505593251
73,2020-04-04,333,472.8129467683504,2464087.7527966257,False,74,298.68290837589484,4928175.505593251
74,2020-04-05,361,472.8129467683504,2464087.7527966257,False,75,306.04460576438237,4928175.505593251
75,2020-04-06,377,472.8129467683504,2464087.7527966257,False,76,313.58773683461754,4928175.505593251
76,2020-04-07,383,472.8129467683504,2464087.7527966257,False,77,321.3167725580974,4928175.505593251
77,2020-04-08,400,472.8129467683504,2464087.7527966257,False,78,329.23629405328404,4928175.505593251
78,2020-04-09,409,472.8129467683504,2464087.7527966257,False,79,337.35099529775346,4928175.505593251
79,2020-04-10,416,472.8129467683504,2464087.7527966257,False,80,345.6656859070543,4928175.505593251
80,2020-04-11,433,472.8129467683504,2464087.7527966257,False,81,354.18529398191197,4928175.505593251
81,2020-04-12,446,472.8129467683504,2464087.7527966257,False,82,362.9148690254586,4928175.505593251
82,2020-04-13,467,472.8129467683504,2464087.7527966257,False,83,371.8595849322044,4928175.505593251
83,2020-04-14,475,472.8129467683504,2464087.7527966257,False,84,381.0247430505112,4928175.505593251
84,2020-04-15,494,472.8129467683504,2464087.7527966257,False,85,390.4157753203733,4928175.505593251
85,2020-04-16,518,472.8129467683504,2464087.7527966257,False,86,400.0382474883499,4928175.505593251
86,2020-04-17,539,472.8129467683504,2464087.7527966257,False,87,409.8978624015421,4928175.505593251
87,2020-04-18,548,472.8129467683504,2464087.7527966257,False,88,420.00046338255646,4928175.505593251
88,2020-04-19,562,472.8129467683504,2464087.7527966257,False,89,430.3520376874347,4928175.505593251
89,2020-04-20,584,472.8129467683504,2464087.7527966257,False,90,440.95872004858836,4928175.505593251
90,2020-04-21,609,472.8129467683504,2464087.7527966257,False,91,451.8267963048213,4928175.505593251
91,2020-04-22,634,472.8129467683504,2464087.7527966257,False,92,462.9627071205736,4928175.505593251
92,2020-04-23,663,472.8129467683504,2464087.7527966257,False,93,474.37305179657267,4928175.505593251
93,2020-04-24,678,472.8129467683504,2464087.7527966257,False,94,486.0645921741352,4928175.505593251
94,2020-04-25,712,472.8129467683504,2464087.7527966257,False,95,498.0442566354093,4928175.505593251
95,2020-04-26,726,472.8129467683504,2464087.7527966257,False,96,510.3191442019102,4928175.505593251
96,2020-04-27,736,472.8129467683504,2464087.7527966257,False,97,522.8965287337575,4928175.505593251
97,2020-04-28,750,472.8129467683504,2464087.7527966257,False,98,535.7838632320772,4928175.505593251
98,2020-04-29,766,472.8129467683504,2464087.7527966257,False,99,548.9887842470956,4928175.505593251
99,2020-04-30,773,472.8129467683504,2464087.7527966257,False,100,562.5191163945153,4928175.505593251
100,2020-05-01,782,472.8129467683504,2464087.7527966257,False,101,576.3828769828186,4928175.505593251
101,2020-05-02,789,472.8129467683504,2464087.7527966257,False,102,590.5882807542164,4928175.505593251
102,2020-05-03,795,472.8129467683504,2464087.7527966257,False,103,605.1437447420237,4928175.505593251
103,2020-05-04,803,472.8129467683504,2464087.7527966257,False,104,620.0578932473065,4928175.505593251
104,2020-05-05,820,472.8129467683504,2464087.7527966257,False,105,635.3395629377202,4928175.505593251
105,2020-05-06,832,472.8129467683504,2464087.7527966257,False,106,650.9978080715274,4928175.505593251
106,2020-05-07,842,472.8129467683504,2464087.7527966257,False,107,667.0419058498549,4928175.505593251
107,2020-05-08,850,472.8129467683504,2464087.7527966257,False,108,683.4813619003219,4928175.505593251
108,2020-05-09,856,472.8129467683504,2464087.7527966257,False,109,700.3259158952582,4928175.505593251
109,2020-05-10,868,472.8129467683504,2464087.7527966257,False,110,717.5855473077906,4928175.505593251
110,2020-05-11,872,472.8129467683504,2464087.7527966257,False,111,735.2704813091718,4928175.505593251
111,2020-05-12,876,472.8129467683504,2464087.7527966257,False,112,753.3911948108014,4928175.505593251
112,2020-05-13,880,472.8129467683504,2464087.7527966257,False,113,771.9584226544695,4928175.505593251
113,2020-05-14,898,472.8129467683504,2464087.7527966257,False,114,790.9831639544407,4928175.505593251
114,2020-05-15,916,472.8129467683504,2464087.7527966257,False,115,810.4766885950901,4928175.505593251
115,2020-05-16,933,472.8129467683504,2464087.7527966257,False,116,830.4505438878776,4928175.505593251
116,2020-05-17,946,472.8129467683504,2464087.7527966257,False,117,850.9165613915569,4928175.505593251
117,2020-05-18,948,472.8129467683504,2464087.7527966257,False,118,871.8868638995928,4928175.505593251
118,2020-05-19,949,472.8129467683504,2464087.7527966257,False,119,893.3738725988658,4928175.505593251
119,2020-05-20,964,472.8129467683504,2464087.7527966257,False,120,915.3903144038427,4928175.505593251
120,2020-05-21,969,472.8129467683504,2464087.7527966257,False,121,937.9492294704826,4928175.505593251
121,2020-05-22,981,472.8129467683504,2464087.7527966257,False,122,961.0639788942597,4928175.505593251
122,2020-05-23,989,472.8129467683504,2464087.7527966257,False,123,984.7482525967895,4928175.505593251
123,2020-05-24,998,472.8129467683504,2464087.7527966257,False,124,1009.0160774056452,4928175.505593251
124,2020-05-25,1004,472.8129467683504,2464087.7527966257,False,125,1033.8818253320676,4928175.505593251
125,2020-05-26,1029,472.8129467683504,2464087.7527966257,False,126,1059.3602220513878,4928175.505593251
126,2020-05-27,1050,472.8129467683504,2464087.7527966257,False,127,1085.4663555910874,4928175.505593251
127,2020-05-28,1076,472.8129467683504,2464087.7527966257,False,128,1112.2156852315452,4928175.505593251
