,Report_Date,South Sudan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
43,2020-03-05,0,135.55632938746507,1164.5181252286584,True,44,0.9770922461866026,2327.0909324162776
44,2020-03-06,0,135.55632938746507,1164.5181252286584,True,45,1.0636639791913836,2327.0909324162776
45,2020-03-07,0,135.55632938746507,1164.5181252286584,True,46,1.157902273237559,2327.0909324162776
46,2020-03-08,0,135.55632938746507,1164.5181252286584,True,47,1.26048535255552,2327.0909324162776
47,2020-03-09,0,135.55632938746507,1164.5181252286584,True,48,1.37215131004739,2327.0909324162776
48,2020-03-10,0,135.55632938746507,1164.5181252286584,True,49,1.493703367888599,2327.0909324162776
49,2020-03-11,0,135.55632938746507,1164.5181252286584,True,50,1.6260155958983438,2327.0909324162776
50,2020-03-12,0,135.55632938746507,1164.5181252286584,True,51,1.7700391266826314,2327.0909324162776
51,2020-03-13,0,135.55632938746507,1164.5181252286584,True,52,1.926808909721763,2327.0909324162776
52,2020-03-14,0,135.55632938746507,1164.5181252286584,True,53,2.0974510499701435,2327.0909324162776
53,2020-03-15,0,135.55632938746507,1164.5181252286584,True,54,2.283190780170892,2327.0909324162776
54,2020-03-16,0,135.55632938746507,1164.5181252286584,True,55,2.4853611199704915,2327.0909324162776
55,2020-03-17,0,135.55632938746507,1164.5181252286584,True,56,2.705412279058498,2327.0909324162776
56,2020-03-18,0,135.55632938746507,1164.5181252286584,True,57,2.9449218659609793,2327.0909324162776
57,2020-03-19,0,135.55632938746507,1164.5181252286584,True,58,3.205605968788673,2327.0909324162776
58,2020-03-20,0,135.55632938746507,1164.5181252286584,True,59,3.4893311791839636,2327.0909324162776
59,2020-03-21,0,135.55632938746507,1164.5181252286584,True,60,3.7981276359225924,2327.0909324162776
60,2020-03-22,0,135.55632938746507,1164.5181252286584,True,61,4.134203170100501,2327.0909324162776
61,2020-03-23,0,135.55632938746507,1164.5181252286584,True,62,4.499958639560628,2327.0909324162776
62,2020-03-24,0,135.55632938746507,1164.5181252286584,True,63,4.898004546169504,2327.0909324162776
63,2020-03-25,0,135.55632938746507,1164.5181252286584,True,64,5.331179035710456,2327.0909324162776
64,2020-03-26,0,135.55632938746507,1164.5181252286584,True,65,5.802567386479351,2327.0909324162776
65,2020-03-27,0,135.55632938746507,1164.5181252286584,True,66,6.3155230990975815,2327.0909324162776
66,2020-03-28,0,135.55632938746507,1164.5181252286584,True,67,6.87369070652602,2327.0909324162776
67,2020-03-29,0,135.55632938746507,1164.5181252286584,True,68,7.481030429684785,2327.0909324162776
68,2020-03-30,0,135.55632938746507,1164.5181252286584,True,69,8.141844810345516,2327.0909324162776
69,2020-03-31,0,135.55632938746507,1164.5181252286584,True,70,8.860807458925919,2327.0909324162776
70,2020-04-01,0,135.55632938746507,1164.5181252286584,True,71,9.642994060309803,2327.0909324162776
71,2020-04-02,0,135.55632938746507,1164.5181252286584,True,72,10.49391578562869,2327.0909324162776
72,2020-04-03,0,135.55632938746507,1164.5181252286584,True,73,11.41955526181848,2327.0909324162776
73,2020-04-04,0,135.55632938746507,1164.5181252286584,True,74,12.426405253398448,2327.0909324162776
74,2020-04-05,1,135.55632938746507,1164.5181252286584,True,75,13.52151021193939,2327.0909324162776
75,2020-04-06,1,135.55632938746507,1164.5181252286584,True,76,14.712510847653178,2327.0909324162776
76,2020-04-07,2,135.55632938746507,1164.5181252286584,True,77,16.007691873922507,2327.0909324162776
77,2020-04-08,2,135.55632938746507,1164.5181252286584,True,78,17.41603306878048,2327.0909324162776
78,2020-04-09,3,135.55632938746507,1164.5181252286584,True,79,18.947263786619764,2327.0909324162776
79,2020-04-10,4,135.55632938746507,1164.5181252286584,True,80,20.6119210379128,2327.0909324162776
80,2020-04-11,4,135.55632938746507,1164.5181252286584,True,81,22.421411233476732,2327.0909324162776
81,2020-04-12,4,135.55632938746507,1164.5181252286584,True,82,24.388075661682656,2327.0909324162776
82,2020-04-13,4,135.55632938746507,1164.5181252286584,True,83,26.525259730687747,2327.0909324162776
83,2020-04-14,4,135.55632938746507,1164.5181252286584,True,84,28.84738596177657,2327.0909324162776
84,2020-04-15,4,135.55632938746507,1164.5181252286584,True,85,31.370030662554566,2327.0909324162776
85,2020-04-16,4,135.55632938746507,1164.5181252286584,True,86,34.11000413816096,2327.0909324162776
86,2020-04-17,4,135.55632938746507,1164.5181252286584,True,87,37.085434212763154,2327.0909324162776
87,2020-04-18,4,135.55632938746507,1164.5181252286584,True,88,40.31585273005991,2327.0909324162776
88,2020-04-19,4,135.55632938746507,1164.5181252286584,True,89,43.82228457785643,2327.0909324162776
89,2020-04-20,4,135.55632938746507,1164.5181252286584,True,90,47.62733863530703,2327.0909324162776
90,2020-04-21,4,135.55632938746507,1164.5181252286584,True,91,51.75529986935409,2327.0909324162776
91,2020-04-22,4,135.55632938746507,1164.5181252286584,True,92,56.232221606357456,2327.0909324162776
92,2020-04-23,5,135.55632938746507,1164.5181252286584,True,93,61.08601677307791,2327.0909324162776
93,2020-04-24,5,135.55632938746507,1164.5181252286584,True,94,66.34654663538717,2327.0909324162776
94,2020-04-25,5,135.55632938746507,1164.5181252286584,True,95,72.04570526099923,2327.0909324162776
95,2020-04-26,6,135.55632938746507,1164.5181252286584,True,96,78.21749759241361,2327.0909324162776
96,2020-04-27,6,135.55632938746507,1164.5181252286584,True,97,84.89810863725184,2327.0909324162776
97,2020-04-28,34,135.55632938746507,1164.5181252286584,True,98,92.12596086562696,2327.0909324162776
98,2020-04-29,34,135.55632938746507,1164.5181252286584,True,99,99.94175645016631,2327.0909324162776
99,2020-04-30,35,135.55632938746507,1164.5181252286584,True,100,108.38850049811653,2327.0909324162776
100,2020-05-01,45,135.55632938746507,1164.5181252286584,True,101,117.51150091372818,2327.0909324162776
101,2020-05-02,45,135.55632938746507,1164.5181252286584,True,102,127.35834000357164,2327.0909324162776
102,2020-05-03,46,135.55632938746507,1164.5181252286584,True,103,137.97881241263892,2327.0909324162776
103,2020-05-04,46,135.55632938746507,1164.5181252286584,True,104,149.4248234752272,2327.0909324162776
104,2020-05-05,52,135.55632938746507,1164.5181252286584,True,105,161.75024160789314,2327.0909324162776
105,2020-05-06,58,135.55632938746507,1164.5181252286584,True,106,175.01069799504276,2327.0909324162776
106,2020-05-07,74,135.55632938746507,1164.5181252286584,True,107,189.2633265611187,2327.0909324162776
107,2020-05-08,120,135.55632938746507,1164.5181252286584,True,108,204.5664371344785,2327.0909324162776
108,2020-05-09,120,135.55632938746507,1164.5181252286584,True,109,220.97911484180366,2327.0909324162776
109,2020-05-10,120,135.55632938746507,1164.5181252286584,True,110,238.56073918963767,2327.0909324162776
110,2020-05-11,156,135.55632938746507,1164.5181252286584,True,111,257.37041705744934,2327.0909324162776
111,2020-05-12,194,135.55632938746507,1164.5181252286584,True,112,277.4663250125064,2327.0909324162776
112,2020-05-13,203,135.55632938746507,1164.5181252286584,True,113,298.90495802671035,2327.0909324162776
113,2020-05-14,203,135.55632938746507,1164.5181252286584,True,114,321.7402838875696,2327.0909324162776
