,Report_Date,Swaziland_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
38,2020-02-29,0,120.91469021383287,227.89467525296794,True,39,1.3259654823560518,413.736252343351
39,2020-03-01,0,120.91469021383287,227.89467525296794,True,40,1.42359134403929,413.736252343351
40,2020-03-02,0,120.91469021383287,227.89467525296794,True,41,1.528380858514216,413.736252343351
41,2020-03-03,0,120.91469021383287,227.89467525296794,True,42,1.640855996503636,413.736252343351
42,2020-03-04,0,120.91469021383287,227.89467525296794,True,43,1.7615761989881493,413.736252343351
43,2020-03-05,0,120.91469021383287,227.89467525296794,True,44,1.8911409811790332,413.736252343351
44,2020-03-06,0,120.91469021383287,227.89467525296794,True,45,2.0301927042691816,413.736252343351
45,2020-03-07,0,120.91469021383287,227.89467525296794,True,46,2.1794195237106595,413.736252343351
46,2020-03-08,0,120.91469021383287,227.89467525296794,True,47,2.3395585228827924,413.736252343351
47,2020-03-09,0,120.91469021383287,227.89467525296794,True,48,2.5113990410635942,413.736252343351
48,2020-03-10,0,120.91469021383287,227.89467525296794,True,49,2.695786204584827,413.736252343351
49,2020-03-11,0,120.91469021383287,227.89467525296794,True,50,2.893624669919809,413.736252343351
50,2020-03-12,0,120.91469021383287,227.89467525296794,True,51,3.1058825872034266,413.736252343351
51,2020-03-13,0,120.91469021383287,227.89467525296794,True,52,3.3335957922928774,413.736252343351
52,2020-03-14,1,120.91469021383287,227.89467525296794,True,53,3.5778722349195404,413.736252343351
53,2020-03-15,1,120.91469021383287,227.89467525296794,True,54,3.8398966497274816,413.736252343351
54,2020-03-16,1,120.91469021383287,227.89467525296794,True,55,4.120935476008963,413.736252343351
55,2020-03-17,1,120.91469021383287,227.89467525296794,True,56,4.422342030694231,413.736252343351
56,2020-03-18,1,120.91469021383287,227.89467525296794,True,57,4.745561937589278,413.736252343351
57,2020-03-19,1,120.91469021383287,227.89467525296794,True,58,5.092138813933819,413.736252343351
58,2020-03-20,1,120.91469021383287,227.89467525296794,True,59,5.463720213019604,413.736252343351
59,2020-03-21,1,120.91469021383287,227.89467525296794,True,60,5.862063818807678,413.736252343351
60,2020-03-22,4,120.91469021383287,227.89467525296794,True,61,6.289043885148422,413.736252343351
61,2020-03-23,4,120.91469021383287,227.89467525296794,True,62,6.746657908269306,413.736252343351
62,2020-03-24,4,120.91469021383287,227.89467525296794,True,63,7.237033516576316,413.736252343351
63,2020-03-25,4,120.91469021383287,227.89467525296794,True,64,7.7624355564336245,413.736252343351
64,2020-03-26,6,120.91469021383287,227.89467525296794,True,65,8.325273346355164,413.736252343351
65,2020-03-27,9,120.91469021383287,227.89467525296794,True,66,8.928108064869017,413.736252343351
66,2020-03-28,9,120.91469021383287,227.89467525296794,True,67,9.57366022910568,413.736252343351
67,2020-03-29,9,120.91469021383287,227.89467525296794,True,68,10.264817211817025,413.736252343351
