,Report_Date,Oman_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
62,2020-03-24,84,158.7614103788305,37956.06188998854,True,63,198.87556943153214,59082.728728705595
63,2020-03-25,99,158.7614103788305,37956.06188998854,True,64,211.5712888472297,59082.728728705595
64,2020-03-26,109,158.7614103788305,37956.06188998854,True,65,225.07506197934583,59082.728728705595
65,2020-03-27,131,158.7614103788305,37956.06188998854,True,66,239.43800233411972,59082.728728705595
66,2020-03-28,152,158.7614103788305,37956.06188998854,True,67,254.71441484074452,59082.728728705595
67,2020-03-29,167,158.7614103788305,37956.06188998854,True,68,270.96198961376024,59082.728728705595
68,2020-03-30,179,158.7614103788305,37956.06188998854,True,69,288.242006750583,59082.728728705595
69,2020-03-31,192,158.7614103788305,37956.06188998854,True,70,306.61955269456064,59082.728728705595
70,2020-04-01,210,158.7614103788305,37956.06188998854,True,71,326.16374870561793,59082.728728705595
71,2020-04-02,231,158.7614103788305,37956.06188998854,True,72,346.947991990209,59082.728728705595
72,2020-04-03,252,158.7614103788305,37956.06188998854,True,73,369.0502100495112,59082.728728705595
73,2020-04-04,277,158.7614103788305,37956.06188998854,True,74,392.553128809009,59082.728728705595
74,2020-04-05,298,158.7614103788305,37956.06188998854,True,75,417.5445550933046,59082.728728705595
75,2020-04-06,331,158.7614103788305,37956.06188998854,True,76,444.1176740064093,59082.728728705595
76,2020-04-07,371,158.7614103788305,37956.06188998854,True,77,472.3713617692232,59082.728728705595
77,2020-04-08,419,158.7614103788305,37956.06188998854,True,78,502.41051455152007,59082.728728705595
78,2020-04-09,457,158.7614103788305,37956.06188998854,True,79,534.3463938145309,59082.728728705595
79,2020-04-10,484,158.7614103788305,37956.06188998854,True,80,568.2969886511568,59082.728728705595
80,2020-04-11,546,158.7614103788305,37956.06188998854,True,81,604.3873955726343,59082.728728705595
81,2020-04-12,599,158.7614103788305,37956.06188998854,True,82,642.7502161418726,59082.728728705595
82,2020-04-13,727,158.7614103788305,37956.06188998854,True,83,683.525972793109,59082.728728705595
