,Report_Date,South Africa_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
55,2020-03-17,62,70.08658137956625,1258.0989722853371,True,56,226.39020059540528,2481.0449171083587
56,2020-03-18,116,70.08658137956625,1258.0989722853371,True,57,262.5895226441406,2481.0449171083587
57,2020-03-19,150,70.08658137956625,1258.0989722853371,True,58,303.80906971725125,2481.0449171083587
58,2020-03-20,202,70.08658137956625,1258.0989722853371,True,59,350.49268084000363,2481.0449171083587
59,2020-03-21,240,70.08658137956625,1258.0989722853371,True,60,403.04291656616596,2481.0449171083587
60,2020-03-22,274,70.08658137956625,1258.0989722853371,True,61,461.7921073523368,2481.0449171083587
61,2020-03-23,402,70.08658137956625,1258.0989722853371,True,62,526.9692877599247,2481.0449171083587
62,2020-03-24,554,70.08658137956625,1258.0989722853371,True,63,598.6648904085505,2481.0449171083587
63,2020-03-25,709,70.08658137956625,1258.0989722853371,True,64,676.7961370271847,2481.0449171083587
64,2020-03-26,927,70.08658137956625,1258.0989722853371,True,65,761.0770559242567,2481.0449171083587
65,2020-03-27,1170,70.08658137956625,1258.0989722853371,True,66,850.9977083138289,2481.0449171083587
66,2020-03-28,1187,70.08658137956625,1258.0989722853371,True,67,945.8172174974118,2481.0449171083587
67,2020-03-29,1280,70.08658137956625,1258.0989722853371,True,68,1044.574316387343,2481.0449171083587
68,2020-03-30,1326,70.08658137956625,1258.0989722853371,True,69,1146.117280427724,2481.0449171083587
69,2020-03-31,1353,70.08658137956625,1258.0989722853371,True,70,1249.1524796466463,2481.0449171083587
70,2020-04-01,1380,70.08658137956625,1258.0989722853371,True,71,1352.3078368275817,2481.0449171083587
71,2020-04-02,1462,70.08658137956625,1258.0989722853371,True,72,1454.2048841189078,2481.0449171083587
72,2020-04-03,1505,70.08658137956625,1258.0989722853371,True,73,1553.5315310218268,2481.0449171083587
73,2020-04-04,1585,70.08658137956625,1258.0989722853371,True,74,1649.1075235063602,2481.0449171083587
74,2020-04-05,1655,70.08658137956625,1258.0989722853371,True,75,1739.9359241686193,2481.0449171083587
75,2020-04-06,1686,70.08658137956625,1258.0989722853371,True,76,1825.2364060104762,2481.0449171083587
76,2020-04-07,1749,70.08658137956625,1258.0989722853371,True,77,1904.4590887261706,2481.0449171083587
77,2020-04-08,1845,70.08658137956625,1258.0989722853371,True,78,1977.2803750196704,2481.0449171083587
78,2020-04-09,1934,70.08658137956625,1258.0989722853371,True,79,2043.584250382396,2481.0449171083587
79,2020-04-10,2003,70.08658137956625,1258.0989722853371,True,80,2103.433556964227,2481.0449171083587
80,2020-04-11,2028,70.08658137956625,1258.0989722853371,True,81,2157.035880163681,2481.0449171083587
81,2020-04-12,2173,70.08658137956625,1258.0989722853371,True,82,2204.7081230261506,2481.0449171083587
82,2020-04-13,2272,70.08658137956625,1258.0989722853371,True,83,2246.842889267241,2481.0449171083587
83,2020-04-14,2415,70.08658137956625,1258.0989722853371,True,84,2283.878728829816,2481.0449171083587
84,2020-04-15,2506,70.08658137956625,1258.0989722853371,True,85,2316.2753215821167,2481.0449171083587
85,2020-04-16,2506,70.08658137956625,1258.0989722853371,True,86,2344.493896084433,2481.0449171083587
