,Report_Date,Kyrgyzstan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
57,2020-03-19,3,85.23727492525234,455.5912558662021,True,58,22.441032239335925,756.6865532641846
58,2020-03-20,6,85.23727492525234,455.5912558662021,True,59,25.595201148402627,756.6865532641846
59,2020-03-21,14,85.23727492525234,455.5912558662021,True,60,29.178145096593415,756.6865532641846
60,2020-03-22,14,85.23727492525234,455.5912558662021,True,61,33.24381955127377,756.6865532641846
61,2020-03-23,16,85.23727492525234,455.5912558662021,True,62,37.85169185216023,756.6865532641846
62,2020-03-24,42,85.23727492525234,455.5912558662021,True,63,43.0669232485566,756.6865532641846
63,2020-03-25,44,85.23727492525234,455.5912558662021,True,64,48.96042910949543,756.6865532641846
64,2020-03-26,44,85.23727492525234,455.5912558662021,True,65,55.60877174753129,756.6865532641846
65,2020-03-27,58,85.23727492525234,455.5912558662021,True,66,63.09383200529381,756.6865532641846
66,2020-03-28,58,85.23727492525234,455.5912558662021,True,67,71.50219802137173,756.6865532641846
67,2020-03-29,84,85.23727492525234,455.5912558662021,True,68,80.92420354588006,756.6865532641846
68,2020-03-30,94,85.23727492525234,455.5912558662021,True,69,91.45254538267811,756.6865532641846
69,2020-03-31,107,85.23727492525234,455.5912558662021,True,70,103.18041202260346,756.6865532641846
70,2020-04-01,111,85.23727492525234,455.5912558662021,True,71,116.19906573105197,756.6865532641846
71,2020-04-02,116,85.23727492525234,455.5912558662021,True,72,130.59484090905138,756.6865532641846
72,2020-04-03,130,85.23727492525234,455.5912558662021,True,73,146.44555494984604,756.6865532641846
73,2020-04-04,144,85.23727492525234,455.5912558662021,True,74,163.8163758092679,756.6865532641846
74,2020-04-05,147,85.23727492525234,455.5912558662021,True,75,182.75525329445864,756.6865532641846
75,2020-04-06,216,85.23727492525234,455.5912558662021,True,76,203.28809635254868,756.6865532641846
76,2020-04-07,228,85.23727492525234,455.5912558662021,True,77,225.41396071115147,756.6865532641846
77,2020-04-08,270,85.23727492525234,455.5912558662021,True,78,249.1005904383488,756.6865532641846
78,2020-04-09,280,85.23727492525234,455.5912558662021,True,79,274.2807199488776,756.6865532641846
79,2020-04-10,298,85.23727492525234,455.5912558662021,True,80,300.84957385942585,756.6865532641846
80,2020-04-11,339,85.23727492525234,455.5912558662021,True,81,328.66398531163134,756.6865532641846
81,2020-04-12,377,85.23727492525234,455.5912558662021,True,82,357.5434774358829,756.6865532641846
82,2020-04-13,419,85.23727492525234,455.5912558662021,True,83,387.2735143553295,756.6865532641846
83,2020-04-14,430,85.23727492525234,455.5912558662021,True,84,417.6109361330216,756.6865532641846
84,2020-04-15,449,85.23727492525234,455.5912558662021,True,85,448.2913678813708,756.6865532641846
85,2020-04-16,466,85.23727492525234,455.5912558662021,True,86,479.038169099865,756.6865532641846
86,2020-04-17,489,85.23727492525234,455.5912558662021,True,87,509.57230226454703,756.6865532641846
