,Report_Date,Armenia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
41,2020-03-03,1,71.59505037813622,611.5513025992786,True,42,10.39726112507598,1199.4110288443535
42,2020-03-04,1,71.59505037813622,611.5513025992786,True,43,12.193056710080537,1199.4110288443535
43,2020-03-05,1,71.59505037813622,611.5513025992786,True,44,14.295362525018543,1199.4110288443535
44,2020-03-06,1,71.59505037813622,611.5513025992786,True,45,16.755128772027092,1199.4110288443535
45,2020-03-07,1,71.59505037813622,611.5513025992786,True,46,19.63126707557749,1199.4110288443535
46,2020-03-08,1,71.59505037813622,611.5513025992786,True,47,22.991705608665715,1199.4110288443535
47,2020-03-09,1,71.59505037813622,611.5513025992786,True,48,26.9145123181854,1199.4110288443535
48,2020-03-10,1,71.59505037813622,611.5513025992786,True,49,31.489060334296685,1199.4110288443535
49,2020-03-11,1,71.59505037813622,611.5513025992786,True,50,36.81719428840753,1199.4110288443535
50,2020-03-12,4,71.59505037813622,611.5513025992786,True,51,43.01433599405076,1199.4110288443535
51,2020-03-13,8,71.59505037813622,611.5513025992786,True,52,50.21044199556984,1199.4110288443535
52,2020-03-14,18,71.59505037813622,611.5513025992786,True,53,58.5506933906327,1199.4110288443535
53,2020-03-15,26,71.59505037813622,611.5513025992786,True,54,68.19576024628915,1199.4110288443535
54,2020-03-16,52,71.59505037813622,611.5513025992786,True,55,79.32144013866021,1199.4110288443535
55,2020-03-17,78,71.59505037813622,611.5513025992786,True,56,92.11742591862533,1199.4110288443535
56,2020-03-18,84,71.59505037813622,611.5513025992786,True,57,106.7849173862939,1199.4110288443535
57,2020-03-19,115,71.59505037813622,611.5513025992786,True,58,123.5327641996789,1199.4110288443535
58,2020-03-20,136,71.59505037813622,611.5513025992786,True,59,142.57182611242237,1199.4110288443535
59,2020-03-21,160,71.59505037813622,611.5513025992786,True,60,164.10727854656676,1199.4110288443535
60,2020-03-22,194,71.59505037813622,611.5513025992786,True,61,188.32869616265617,1199.4110288443535
61,2020-03-23,235,71.59505037813622,611.5513025992786,True,62,215.39793326557066,1199.4110288443535
62,2020-03-24,249,71.59505037813622,611.5513025992786,True,63,245.4350994490639,1199.4110288443535
63,2020-03-25,265,71.59505037813622,611.5513025992786,True,64,278.50329810317663,1199.4110288443535
64,2020-03-26,290,71.59505037813622,611.5513025992786,True,65,314.5932250217121,1199.4110288443535
65,2020-03-27,329,71.59505037813622,611.5513025992786,True,66,353.60915170288655,1199.4110288443535
66,2020-03-28,407,71.59505037813622,611.5513025992786,True,67,395.35814645818976,1199.4110288443535
67,2020-03-29,424,71.59505037813622,611.5513025992786,True,68,439.544498134507,1199.4110288443535
68,2020-03-30,482,71.59505037813622,611.5513025992786,True,69,485.7710914190747,1199.4110288443535
69,2020-03-31,532,71.59505037813622,611.5513025992786,True,70,533.5488774416582,1199.4110288443535
70,2020-04-01,571,71.59505037813622,611.5513025992786,True,71,582.3146172232023,1199.4110288443535
71,2020-04-02,663,71.59505037813622,611.5513025992786,True,72,631.4558892962684,1199.4110288443535
72,2020-04-03,736,71.59505037813622,611.5513025992786,True,73,680.3411835636301,1199.4110288443535
73,2020-04-04,770,71.59505037813622,611.5513025992786,True,74,728.3520250311927,1199.4110288443535
74,2020-04-05,822,71.59505037813622,611.5513025992786,True,75,774.9137080662542,1199.4110288443535
75,2020-04-06,833,71.59505037813622,611.5513025992786,True,76,819.5214710368756,1199.4110288443535
76,2020-04-07,853,71.59505037813622,611.5513025992786,True,77,861.7597359318675,1199.4110288443535
77,2020-04-08,881,71.59505037813622,611.5513025992786,True,78,901.3131723676968,1199.4110288443535
78,2020-04-09,921,71.59505037813622,611.5513025992786,True,79,937.9695488166586,1199.4110288443535
79,2020-04-10,937,71.59505037813622,611.5513025992786,True,80,971.6153561645842,1199.4110288443535
80,2020-04-11,967,71.59505037813622,611.5513025992786,True,81,1002.2258680812345,1199.4110288443535
81,2020-04-12,1013,71.59505037813622,611.5513025992786,True,82,1029.8515900299437,1199.4110288443535
82,2020-04-13,1039,71.59505037813622,611.5513025992786,True,83,1054.6029916626178,1199.4110288443535
83,2020-04-14,1067,71.59505037813622,611.5513025992786,True,84,1076.6351206884365,1199.4110288443535
84,2020-04-15,1111,71.59505037813622,611.5513025992786,True,85,1096.1332793802853,1199.4110288443535
85,2020-04-16,1159,71.59505037813622,611.5513025992786,True,86,1113.3005097839527,1199.4110288443535
