,Report_Date,Lithuania_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
84,2020-04-15,1091,79.17236347826915,853.4962710279522,True,85,1085.8790857340477,1706.8733427761017
85,2020-04-16,1128,79.17236347826915,853.4962710279522,True,86,1123.2380432141617,1706.8733427761017
86,2020-04-17,1149,79.17236347826915,853.4962710279522,True,87,1159.482917797304,1706.8733427761017
87,2020-04-18,1239,79.17236347826915,853.4962710279522,True,88,1194.5041503510145,1706.8733427761017
88,2020-04-19,1298,79.17236347826915,853.4962710279522,True,89,1228.2102704099846,1706.8733427761017
89,2020-04-20,1326,79.17236347826915,853.4962710279522,True,90,1260.5281314568394,1706.8733427761017
90,2020-04-21,1350,79.17236347826915,853.4962710279522,True,91,1291.40267408126,1706.8733427761017
91,2020-04-22,1370,79.17236347826915,853.4962710279522,True,92,1320.796274931278,1706.8733427761017
92,2020-04-23,1398,79.17236347826915,853.4962710279522,True,93,1348.6877504971735,1706.8733427761017
93,2020-04-24,1410,79.17236347826915,853.4962710279522,True,94,1375.071090454215,1706.8733427761017
94,2020-04-25,1426,79.17236347826915,853.4962710279522,True,95,1399.9539960388277,1706.8733427761017
95,2020-04-26,1438,79.17236347826915,853.4962710279522,True,96,1423.3562955546522,1706.8733427761017
96,2020-04-27,1449,79.17236347826915,853.4962710279522,True,97,1445.3083025794258,1706.8733427761017
97,2020-04-28,1344,79.17236347826915,853.4962710279522,True,98,1465.8491737912548,1706.8733427761017
98,2020-04-29,1375,79.17236347826915,853.4962710279522,True,99,1485.025313514268,1706.8733427761017
99,2020-04-30,1385,79.17236347826915,853.4962710279522,True,100,1502.8888619298777,1706.8733427761017
100,2020-05-01,1399,79.17236347826915,853.4962710279522,True,101,1519.4962940730659,1706.8733427761017
101,2020-05-02,1406,79.17236347826915,853.4962710279522,True,102,1534.9071477146895,1706.8733427761017
102,2020-05-03,1410,79.17236347826915,853.4962710279522,True,103,1549.1828903298185,1706.8733427761017
103,2020-05-04,1419,79.17236347826915,853.4962710279522,True,104,1562.385928727072,1706.8733427761017
104,2020-05-05,1423,79.17236347826915,853.4962710279522,True,105,1574.5787596021114,1706.8733427761017
105,2020-05-06,1428,79.17236347826915,853.4962710279522,True,106,1585.823255226806,1706.8733427761017
106,2020-05-07,1433,79.17236347826915,853.4962710279522,True,107,1596.180075580145,1706.8733427761017
107,2020-05-08,1436,79.17236347826915,853.4962710279522,True,108,1605.708196318319,1706.8733427761017
108,2020-05-09,1444,79.17236347826915,853.4962710279522,True,109,1614.4645409049856,1706.8733427761017
109,2020-05-10,1479,79.17236347826915,853.4962710279522,True,110,1622.5037048140546,1706.8733427761017
110,2020-05-11,1485,79.17236347826915,853.4962710279522,True,111,1629.8777598223676,1706.8733427761017
111,2020-05-12,1491,79.17236347826915,853.4962710279522,True,112,1636.6361268911621,1706.8733427761017
112,2020-05-13,1505,79.17236347826915,853.4962710279522,True,113,1642.8255068757494,1706.8733427761017
113,2020-05-14,1511,79.17236347826915,853.4962710279522,True,114,1648.489859205798,1706.8733427761017
114,2020-05-15,1523,79.17236347826915,853.4962710279522,True,115,1653.6704196669386,1706.8733427761017
115,2020-05-16,1534,79.17236347826915,853.4962710279522,True,116,1658.4057494292124,1706.8733427761017
116,2020-05-17,1541,79.17236347826915,853.4962710279522,True,117,1662.7318084657138,1706.8733427761017
117,2020-05-18,1547,79.17236347826915,853.4962710279522,True,118,1666.6820474552921,1706.8733427761017
118,2020-05-19,1562,79.17236347826915,853.4962710279522,True,119,1670.2875131466033,1706.8733427761017
119,2020-05-20,1577,79.17236347826915,853.4962710279522,True,120,1673.5769629656422,1706.8733427761017
120,2020-05-21,1593,79.17236347826915,853.4962710279522,True,121,1676.576985369975,1706.8733427761017
121,2020-05-22,1604,79.17236347826915,853.4962710279522,True,122,1679.3121230896918,1706.8733427761017
122,2020-05-23,1616,79.17236347826915,853.4962710279522,True,123,1681.8049969502931,1706.8733427761017
123,2020-05-24,1623,79.17236347826915,853.4962710279522,True,124,1684.0764284512118,1706.8733427761017
124,2020-05-25,1635,79.17236347826915,853.4962710279522,True,125,1686.145559681537,1706.8733427761017
125,2020-05-26,1639,79.17236347826915,853.4962710279522,True,126,1688.029969498658,1706.8733427761017
126,2020-05-27,1647,79.17236347826915,853.4962710279522,True,127,1689.7457851829333,1706.8733427761017
127,2020-05-28,1656,79.17236347826915,853.4962710279522,True,128,1691.307789019022,1706.8733427761017
128,2020-05-29,1662,79.17236347826915,853.4962710279522,True,129,1692.7295194487567,1706.8733427761017
129,2020-05-30,1670,79.17236347826915,853.4962710279522,True,130,1694.0233665974167,1706.8733427761017
