,Report_Date,Yemen_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
121,2020-05-22,209,143.60132672489414,624.6360106415552,False,122,187.8310787590121,1249.2720212831096
122,2020-05-23,212,143.60132672489414,624.6360106415552,False,123,200.9876405943515,1249.2720212831096
123,2020-05-24,222,143.60132672489414,624.6360106415552,False,124,214.8791903092159,1249.2720212831096
124,2020-05-25,233,143.60132672489414,624.6360106415552,False,125,229.5206541288154,1249.2720212831096
125,2020-05-26,249,143.60132672489414,624.6360106415552,False,126,244.92353812158873,1249.2720212831096
126,2020-05-27,256,143.60132672489414,624.6360106415552,False,127,261.09543369271046,1249.2720212831096
127,2020-05-28,278,143.60132672489414,624.6360106415552,False,128,278.03952660811467,1249.2720212831096
128,2020-05-29,283,143.60132672489414,624.6360106415552,False,129,295.7541218637056,1249.2720212831096
129,2020-05-30,310,143.60132672489414,624.6360106415552,False,130,314.23219821633853,1249.2720212831096
130,2020-05-31,323,143.60132672489414,624.6360106415552,False,131,333.461007380749,1249.2720212831096
131,2020-06-01,354,143.60132672489414,624.6360106415552,False,132,353.42173364341744,1249.2720212831096
132,2020-06-02,399,143.60132672489414,624.6360106415552,False,133,374.08922982610744,1249.2720212831096
133,2020-06-03,419,143.60132672489414,624.6360106415552,False,134,395.4318450370475,1249.2720212831096
134,2020-06-04,453,143.60132672489414,624.6360106415552,False,135,417.4113583897905,1249.2720212831096
135,2020-06-05,469,143.60132672489414,624.6360106415552,False,136,439.9830307989613,1249.2720212831096
136,2020-06-06,482,143.60132672489414,624.6360106415552,False,137,463.09578407700405,1249.2720212831096
137,2020-06-07,484,143.60132672489414,624.6360106415552,False,138,486.69251291213766,1249.2720212831096
138,2020-06-08,496,143.60132672489414,624.6360106415552,False,139,510.7105310221472,1249.2720212831096
139,2020-06-09,524,143.60132672489414,624.6360106415552,False,140,535.0821480291023,1249.2720212831096
140,2020-06-10,560,143.60132672489414,624.6360106415552,False,141,559.7353686180661,1249.2720212831096
141,2020-06-11,591,143.60132672489414,624.6360106415552,False,142,584.5947005998999,1249.2720212831096
142,2020-06-12,591,143.60132672489414,624.6360106415552,False,143,609.5820538868346,1249.2720212831096
