,Report_Date,Malaysia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
61,2020-03-23,1518,99.199864115461,5177.214976340356,True,62,2160.2774161372936,10337.389173541716
62,2020-03-24,1624,99.199864115461,5177.214976340356,True,63,2222.185589928793,10337.389173541716
63,2020-03-25,1796,99.199864115461,5177.214976340356,True,64,2285.373086686576,10337.389173541716
64,2020-03-26,2031,99.199864115461,5177.214976340356,True,65,2349.8381400516755,10337.389173541716
65,2020-03-27,2161,99.199864115461,5177.214976340356,True,66,2415.5772380411863,10337.389173541716
66,2020-03-28,2320,99.199864115461,5177.214976340356,True,67,2482.5850603834647,10337.389173541716
67,2020-03-29,2470,99.199864115461,5177.214976340356,True,68,2550.854419121903,10337.389173541716
68,2020-03-30,2626,99.199864115461,5177.214976340356,True,69,2620.3762029573413,10337.389173541716
69,2020-03-31,2766,99.199864115461,5177.214976340356,True,70,2691.1393258039507,10337.389173541716
70,2020-04-01,2908,99.199864115461,5177.214976340356,True,71,2763.130680034478,10337.389173541716
71,2020-04-02,3116,99.199864115461,5177.214976340356,True,72,2836.3350948877624,10337.389173541716
72,2020-04-03,3333,99.199864115461,5177.214976340356,True,73,2910.7353005042664,10337.389173541716
73,2020-04-04,3483,99.199864115461,5177.214976340356,True,74,2986.311898043601,10337.389173541716
74,2020-04-05,3662,99.199864115461,5177.214976340356,True,75,3063.0433363216916,10337.389173541716
75,2020-04-06,3793,99.199864115461,5177.214976340356,True,76,3140.9058953839635,10337.389173541716
76,2020-04-07,3963,99.199864115461,5177.214976340356,True,77,3219.873677404839,10337.389173541716
77,2020-04-08,4119,99.199864115461,5177.214976340356,True,78,3299.918605272714,10337.389173541716
78,2020-04-09,4228,99.199864115461,5177.214976340356,True,79,3381.0104291836647,10337.389173541716
79,2020-04-10,4346,99.199864115461,5177.214976340356,True,80,3463.1167415263,10337.389173541716
80,2020-04-11,4530,99.199864115461,5177.214976340356,True,81,3546.20300029484,10337.389173541716
81,2020-04-12,4683,99.199864115461,5177.214976340356,True,82,3630.232561217715,10337.389173541716
82,2020-04-13,4817,99.199864115461,5177.214976340356,True,83,3715.1667187352054,10337.389173541716
83,2020-04-14,4987,99.199864115461,5177.214976340356,True,84,3800.964755902261,10337.389173541716
84,2020-04-15,5072,99.199864115461,5177.214976340356,True,85,3887.584003232036,10337.389173541716
85,2020-04-16,5182,99.199864115461,5177.214976340356,True,86,3974.9799064325907,10337.389173541716
86,2020-04-17,5251,99.199864115461,5177.214976340356,True,87,4063.1061029240195,10337.389173541716
87,2020-04-18,5305,99.199864115461,5177.214976340356,True,88,4151.914506956824,10337.389173541716
88,2020-04-19,5389,99.199864115461,5177.214976340356,True,89,4241.355403085325,10337.389173541716
89,2020-04-20,5425,99.199864115461,5177.214976340356,True,90,4331.37754768295,10337.389173541716
90,2020-04-21,5482,99.199864115461,5177.214976340356,True,91,4421.928278120291,10337.389173541716
91,2020-04-22,5532,99.199864115461,5177.214976340356,True,92,4512.953629162595,10337.389173541716
92,2020-04-23,5603,99.199864115461,5177.214976340356,True,93,4604.398456081625,10337.389173541716
93,2020-04-24,5691,99.199864115461,5177.214976340356,True,94,4696.206563918431,10337.389173541716
94,2020-04-25,5742,99.199864115461,5177.214976340356,True,95,4788.320842279286,10337.389173541716
95,2020-04-26,5780,99.199864115461,5177.214976340356,True,96,4880.683404997518,10337.389173541716
96,2020-04-27,5820,99.199864115461,5177.214976340356,True,97,4973.235733949891,10337.389173541716
97,2020-04-28,5851,99.199864115461,5177.214976340356,True,98,5065.918826278318,10337.389173541716
98,2020-04-29,5945,99.199864115461,5177.214976340356,True,99,5158.673344236196,10337.389173541716
99,2020-04-30,6002,99.199864115461,5177.214976340356,True,100,5251.439766854449,10337.389173541716
100,2020-05-01,6071,99.199864115461,5177.214976340356,True,101,5344.158542605351,10337.389173541716
101,2020-05-02,6176,99.199864115461,5177.214976340356,True,102,5436.770242232914,10337.389173541716
102,2020-05-03,6298,99.199864115461,5177.214976340356,True,103,5529.215710917066,10337.389173541716
103,2020-05-04,6353,99.199864115461,5177.214976340356,True,104,5621.436218945077,10337.389173541716
104,2020-05-05,6383,99.199864115461,5177.214976340356,True,105,5713.373610077575,10337.389173541716
105,2020-05-06,6428,99.199864115461,5177.214976340356,True,106,5804.970446817945,10337.389173541716
106,2020-05-07,6467,99.199864115461,5177.214976340356,True,107,5896.17015182245,10337.389173541716
107,2020-05-08,6535,99.199864115461,5177.214976340356,True,108,5986.917144723853,10337.389173541716
108,2020-05-09,6589,99.199864115461,5177.214976340356,True,109,6077.156973682958,10337.389173541716
109,2020-05-10,6656,99.199864115461,5177.214976340356,True,110,6166.836441029895,10337.389173541716
110,2020-05-11,6726,99.199864115461,5177.214976340356,True,111,6255.903722409476,10337.389173541716
111,2020-05-12,6742,99.199864115461,5177.214976340356,True,112,6344.308478901782,10337.389173541716
112,2020-05-13,6779,99.199864115461,5177.214976340356,True,113,6432.001961649594,10337.389173541716
113,2020-05-14,6819,99.199864115461,5177.214976340356,True,114,6518.937108587666,10337.389173541716
114,2020-05-15,6855,99.199864115461,5177.214976340356,True,115,6605.068632934134,10337.389173541716
115,2020-05-16,6872,99.199864115461,5177.214976340356,True,116,6690.3531031710545,10337.389173541716
116,2020-05-17,6894,99.199864115461,5177.214976340356,True,117,6774.749014308113,10337.389173541716
117,2020-05-18,6941,99.199864115461,5177.214976340356,True,118,6858.2168502903205,10337.389173541716
118,2020-05-19,6978,99.199864115461,5177.214976340356,True,119,6940.719137476306,10337.389173541716
119,2020-05-20,7009,99.199864115461,5177.214976340356,True,120,7022.2204891778,10337.389173541716
120,2020-05-21,7059,99.199864115461,5177.214976340356,True,121,7102.6876413125565,10337.389173541716
121,2020-05-22,7137,99.199864115461,5177.214976340356,True,122,7182.089479281727,10337.389173541716
122,2020-05-23,7185,99.199864115461,5177.214976340356,True,123,7260.397056237934,10337.389173541716
123,2020-05-24,7245,99.199864115461,5177.214976340356,True,124,7337.583602961738,10337.389173541716
124,2020-05-25,7417,99.199864115461,5177.214976340356,True,125,7413.624529611327,10337.389173541716
125,2020-05-26,7604,99.199864115461,5177.214976340356,True,126,7488.497419652932,10337.389173541716
