,Report_Date,Brazil_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
32,2020-02-23,0,177.2092467064251,2054885.2014021748,True,33,8331.65153509435,3525008.116326144
33,2020-02-24,0,177.2092467064251,2054885.2014021748,True,34,8696.83376286881,3525008.116326144
34,2020-02-25,0,177.2092467064251,2054885.2014021748,True,35,9077.986760504757,3525008.116326144
35,2020-02-26,1,177.2092467064251,2054885.2014021748,True,36,9475.805815914486,3525008.116326144
36,2020-02-27,1,177.2092467064251,2054885.2014021748,True,37,9891.016202271472,3525008.116326144
37,2020-02-28,1,177.2092467064251,2054885.2014021748,True,38,10324.374445703568,3525008.116326144
38,2020-02-29,2,177.2092467064251,2054885.2014021748,True,39,10776.669644290016,3525008.116326144
39,2020-03-01,2,177.2092467064251,2054885.2014021748,True,40,11248.724840230056,3525008.116326144
40,2020-03-02,2,177.2092467064251,2054885.2014021748,True,41,11741.398447099418,3525008.116326144
41,2020-03-03,2,177.2092467064251,2054885.2014021748,True,42,12255.585734158625,3525008.116326144
42,2020-03-04,4,177.2092467064251,2054885.2014021748,True,43,12792.220369723651,3525008.116326144
43,2020-03-05,4,177.2092467064251,2054885.2014021748,True,44,13352.276025654905,3525008.116326144
44,2020-03-06,13,177.2092467064251,2054885.2014021748,True,45,13936.76804506402,3525008.116326144
45,2020-03-07,13,177.2092467064251,2054885.2014021748,True,46,14546.755175379669,3525008.116326144
46,2020-03-08,20,177.2092467064251,2054885.2014021748,True,47,15183.341368952651,3525008.116326144
47,2020-03-09,25,177.2092467064251,2054885.2014021748,True,48,15847.67765341681,3525008.116326144
48,2020-03-10,31,177.2092467064251,2054885.2014021748,True,49,16540.964074055144,3525008.116326144
49,2020-03-11,38,177.2092467064251,2054885.2014021748,True,50,17264.451710449182,3525008.116326144
50,2020-03-12,52,177.2092467064251,2054885.2014021748,True,51,18019.44476971417,3525008.116326144
51,2020-03-13,151,177.2092467064251,2054885.2014021748,True,52,18807.30275864126,3525008.116326144
52,2020-03-14,151,177.2092467064251,2054885.2014021748,True,53,19629.44273708125,3525008.116326144
53,2020-03-15,162,177.2092467064251,2054885.2014021748,True,54,20487.341654910175,3525008.116326144
54,2020-03-16,200,177.2092467064251,2054885.2014021748,True,55,21382.53877491604,3525008.116326144
55,2020-03-17,321,177.2092467064251,2054885.2014021748,True,56,22316.638183935327,3525008.116326144
56,2020-03-18,372,177.2092467064251,2054885.2014021748,True,57,23291.311394548575,3525008.116326144
57,2020-03-19,621,177.2092467064251,2054885.2014021748,True,58,24308.300039613336,3525008.116326144
58,2020-03-20,793,177.2092467064251,2054885.2014021748,True,59,25369.418661870393,3525008.116326144
59,2020-03-21,1021,177.2092467064251,2054885.2014021748,True,60,26476.557600802807,3525008.116326144
60,2020-03-22,1546,177.2092467064251,2054885.2014021748,True,61,27631.68597885688,3525008.116326144
61,2020-03-23,1924,177.2092467064251,2054885.2014021748,True,62,28836.85478904615,3525008.116326144
62,2020-03-24,2247,177.2092467064251,2054885.2014021748,True,63,30094.200085855053,3525008.116326144
63,2020-03-25,2554,177.2092467064251,2054885.2014021748,True,64,31405.94628123247,3525008.116326144
64,2020-03-26,2985,177.2092467064251,2054885.2014021748,True,65,32774.40954731932,3525008.116326144
65,2020-03-27,3417,177.2092467064251,2054885.2014021748,True,66,34202.001327382044,3525008.116326144
66,2020-03-28,3904,177.2092467064251,2054885.2014021748,True,67,35691.23195622699,3525008.116326144
67,2020-03-29,4256,177.2092467064251,2054885.2014021748,True,68,37244.714391144356,3525008.116326144
68,2020-03-30,4579,177.2092467064251,2054885.2014021748,True,69,38865.16805417225,3525008.116326144
69,2020-03-31,5717,177.2092467064251,2054885.2014021748,True,70,40555.422786180425,3525008.116326144
70,2020-04-01,6836,177.2092467064251,2054885.2014021748,True,71,42318.42291294345,3525008.116326144
71,2020-04-02,8044,177.2092467064251,2054885.2014021748,True,72,44157.23142300497,3525008.116326144
72,2020-04-03,9056,177.2092467064251,2054885.2014021748,True,73,46075.03425672061,3525008.116326144
73,2020-04-04,10360,177.2092467064251,2054885.2014021748,True,74,48075.1447054082,3525008.116326144
74,2020-04-05,11130,177.2092467064251,2054885.2014021748,True,75,50161.007919021766,3525008.116326144
75,2020-04-06,12161,177.2092467064251,2054885.2014021748,True,76,52336.20552020045,3525008.116326144
76,2020-04-07,14034,177.2092467064251,2054885.2014021748,True,77,54604.46032191733,3525008.116326144
77,2020-04-08,16170,177.2092467064251,2054885.2014021748,True,78,56969.641145264904,3525008.116326144
78,2020-04-09,18092,177.2092467064251,2054885.2014021748,True,79,59435.76773315561,3525008.116326144
79,2020-04-10,19638,177.2092467064251,2054885.2014021748,True,80,62007.015754886765,3525008.116326144
80,2020-04-11,20727,177.2092467064251,2054885.2014021748,True,81,64687.721895609175,3525008.116326144
81,2020-04-12,22192,177.2092467064251,2054885.2014021748,True,82,67482.38902374865,3525008.116326144
82,2020-04-13,23430,177.2092467064251,2054885.2014021748,True,83,70395.69142834807,3525008.116326144
83,2020-04-14,25262,177.2092467064251,2054885.2014021748,True,84,73432.48011712373,3525008.116326144
84,2020-04-15,28320,177.2092467064251,2054885.2014021748,True,85,76597.7881647565,3525008.116326144
85,2020-04-16,30425,177.2092467064251,2054885.2014021748,True,86,79896.83609955749,3525008.116326144
86,2020-04-17,33682,177.2092467064251,2054885.2014021748,True,87,83335.03731516028,3525008.116326144
87,2020-04-18,36658,177.2092467064251,2054885.2014021748,True,88,86918.00349228254,3525008.116326144
88,2020-04-19,38654,177.2092467064251,2054885.2014021748,True,89,90651.55001387451,3525008.116326144
89,2020-04-20,40743,177.2092467064251,2054885.2014021748,True,90,94541.701355113,3525008.116326144
90,2020-04-21,43079,177.2092467064251,2054885.2014021748,True,91,98594.69642771412,3525008.116326144
91,2020-04-22,45757,177.2092467064251,2054885.2014021748,True,92,102816.99385591054,3525008.116326144
92,2020-04-23,50036,177.2092467064251,2054885.2014021748,True,93,107215.277159174,3525008.116326144
93,2020-04-24,54043,177.2092467064251,2054885.2014021748,True,94,111796.45981435041,3525008.116326144
94,2020-04-25,59324,177.2092467064251,2054885.2014021748,True,95,116567.6901673166,3525008.116326144
95,2020-04-26,63100,177.2092467064251,2054885.2014021748,True,96,121536.3561615557,3525008.116326144
96,2020-04-27,67446,177.2092467064251,2054885.2014021748,True,97,126710.08984818966,3525008.116326144
97,2020-04-28,73235,177.2092467064251,2054885.2014021748,True,98,132096.77163899102,3525008.116326144
98,2020-04-29,79685,177.2092467064251,2054885.2014021748,True,99,137704.53426074007,3525008.116326144
99,2020-04-30,87187,177.2092467064251,2054885.2014021748,True,100,143541.76636598154,3525008.116326144
100,2020-05-01,92202,177.2092467064251,2054885.2014021748,True,101,149617.1157517924,3525008.116326144
101,2020-05-02,97100,177.2092467064251,2054885.2014021748,True,102,155939.49213458726,3525008.116326144
102,2020-05-03,101826,177.2092467064251,2054885.2014021748,True,103,162518.06942529403,3525008.116326144
103,2020-05-04,108620,177.2092467064251,2054885.2014021748,True,104,169362.2874454146,3525008.116326144
104,2020-05-05,115455,177.2092467064251,2054885.2014021748,True,105,176481.85302058945,3525008.116326144
105,2020-05-06,126611,177.2092467064251,2054885.2014021748,True,106,183886.74038430542,3525008.116326144
106,2020-05-07,135773,177.2092467064251,2054885.2014021748,True,107,191587.19082037057,3525008.116326144
107,2020-05-08,146894,177.2092467064251,2054885.2014021748,True,108,199593.71146873443,3525008.116326144
108,2020-05-09,156061,177.2092467064251,2054885.2014021748,True,109,207917.0732152107,3525008.116326144
109,2020-05-10,162699,177.2092467064251,2054885.2014021748,True,110,216568.30758168446,3525008.116326144
110,2020-05-11,169594,177.2092467064251,2054885.2014021748,True,111,225558.7025295174,3525008.116326144
111,2020-05-12,178214,177.2092467064251,2054885.2014021748,True,112,234899.79708513856,3525008.116326144
112,2020-05-13,190137,177.2092467064251,2054885.2014021748,True,113,244603.37469329135,3525008.116326144
113,2020-05-14,203165,177.2092467064251,2054885.2014021748,True,114,254681.4552001612,3525008.116326144
114,2020-05-15,220291,177.2092467064251,2054885.2014021748,True,115,265146.28536570736,3525008.116326144
115,2020-05-16,233511,177.2092467064251,2054885.2014021748,True,116,276010.3278020339,3525008.116326144
116,2020-05-17,241080,177.2092467064251,2054885.2014021748,True,117,287286.2482326596,3525008.116326144
117,2020-05-18,255368,177.2092467064251,2054885.2014021748,True,118,298986.9009661713,3525008.116326144
118,2020-05-19,271885,177.2092467064251,2054885.2014021748,True,119,311125.31247706735,3525008.116326144
119,2020-05-20,291579,177.2092467064251,2054885.2014021748,True,120,323714.66298673354,3525008.116326144
120,2020-05-21,310087,177.2092467064251,2054885.2014021748,True,121,336768.2659385484,3525008.116326144
121,2020-05-22,330890,177.2092467064251,2054885.2014021748,True,122,350299.54526322894,3525008.116326144
122,2020-05-23,347398,177.2092467064251,2054885.2014021748,True,123,364322.01033379615,3525008.116326144
123,2020-05-24,363211,177.2092467064251,2054885.2014021748,True,124,378849.2285141283,3525008.116326144
124,2020-05-25,374898,177.2092467064251,2054885.2014021748,True,125,393894.79521108564,3525008.116326144
125,2020-05-26,391222,177.2092467064251,2054885.2014021748,True,126,409472.3013477876,3525008.116326144
126,2020-05-27,411821,177.2092467064251,2054885.2014021748,True,127,425595.2981849177,3525008.116326144
127,2020-05-28,438238,177.2092467064251,2054885.2014021748,True,128,442277.25942807214,3525008.116326144
128,2020-05-29,465166,177.2092467064251,2054885.2014021748,True,129,459531.5405722592,3525008.116326144
129,2020-05-30,498440,177.2092467064251,2054885.2014021748,True,130,477371.335449842,3525008.116326144
130,2020-05-31,514849,177.2092467064251,2054885.2014021748,True,131,495809.62996555713,3525008.116326144
131,2020-06-01,526447,177.2092467064251,2054885.2014021748,True,132,514859.1530218623,3525008.116326144
132,2020-06-02,555383,177.2092467064251,2054885.2014021748,True,133,534532.3246598061,3525008.116326144
133,2020-06-03,584016,177.2092467064251,2054885.2014021748,True,134,554841.2014649167,3525008.116326144
134,2020-06-04,614941,177.2092467064251,2054885.2014021748,True,135,575797.4193142786,3525008.116326144
135,2020-06-05,645771,177.2092467064251,2054885.2014021748,True,136,597412.1335699718,3525008.116326144
136,2020-06-06,672846,177.2092467064251,2054885.2014021748,True,137,619695.9568553391,3525008.116326144
137,2020-06-07,691758,177.2092467064251,2054885.2014021748,True,138,642658.894583967,3525008.116326144
138,2020-06-08,707412,177.2092467064251,2054885.2014021748,True,139,666310.2784466777,3525008.116326144
139,2020-06-09,739503,177.2092467064251,2054885.2014021748,True,140,690658.6980989904,3525008.116326144
140,2020-06-10,772416,177.2092467064251,2054885.2014021748,True,141,715711.9313301581,3525008.116326144
141,2020-06-11,802828,177.2092467064251,2054885.2014021748,True,142,741476.8730346251,3525008.116326144
142,2020-06-12,828810,177.2092467064251,2054885.2014021748,True,143,767959.463347225,3525008.116326144
143,2020-06-13,850514,177.2092467064251,2054885.2014021748,True,144,795164.6153441176,3525008.116326144
144,2020-06-14,867624,177.2092467064251,2054885.2014021748,True,145,823096.1427518412,3525008.116326144
145,2020-06-15,888271,177.2092467064251,2054885.2014021748,True,146,851756.6881462703,3525008.116326144
146,2020-06-16,923189,177.2092467064251,2054885.2014021748,True,147,881147.6521611015,3525008.116326144
147,2020-06-17,955377,177.2092467064251,2054885.2014021748,True,148,911269.1242609773,3525008.116326144
148,2020-06-18,978142,177.2092467064251,2054885.2014021748,True,149,942119.8156667292,3525008.116326144
149,2020-06-19,1032913,177.2092467064251,2054885.2014021748,True,150,973696.9950486961,3525008.116326144
150,2020-06-20,1067579,177.2092467064251,2054885.2014021748,True,151,1005996.4276277653,3525008.116326144
151,2020-06-21,1083341,177.2092467064251,2054885.2014021748,True,152,1039012.3183419496,3525008.116326144
152,2020-06-22,1106470,177.2092467064251,2054885.2014021748,True,153,1072737.2597479944,3525008.116326144
153,2020-06-23,1145906,177.2092467064251,2054885.2014021748,True,154,1107162.1853320596,3525008.116326144
154,2020-06-24,1188631,177.2092467064251,2054885.2014021748,True,155,1142276.3289000578,3525008.116326144
155,2020-06-25,1228114,177.2092467064251,2054885.2014021748,True,156,1178067.1907062184,3525008.116326144
