,Report_Date,Turkey_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
34,2020-02-25,0,89.5536165235743,81909.64895013064,True,35,606.3714986292061,163575.18788930454
35,2020-02-26,0,89.5536165235743,81909.64895013064,True,36,671.5970962598909,163575.18788930454
36,2020-02-27,0,89.5536165235743,81909.64895013064,True,37,743.8068450348594,163575.18788930454
37,2020-02-28,0,89.5536165235743,81909.64895013064,True,38,823.7413455021901,163575.18788930454
38,2020-02-29,0,89.5536165235743,81909.64895013064,True,39,912.2180937785521,163575.18788930454
39,2020-03-01,0,89.5536165235743,81909.64895013064,True,40,1010.1390946759262,163575.18788930454
40,2020-03-02,0,89.5536165235743,81909.64895013064,True,41,1118.4991439926666,163575.18788930454
41,2020-03-03,0,89.5536165235743,81909.64895013064,True,42,1238.3948189730377,163575.18788930454
42,2020-03-04,0,89.5536165235743,81909.64895013064,True,43,1371.0342131344923,163575.18788930454
43,2020-03-05,0,89.5536165235743,81909.64895013064,True,44,1517.7474471493938,163575.18788930454
44,2020-03-06,0,89.5536165235743,81909.64895013064,True,45,1679.9979808089013,163575.18788930454
45,2020-03-07,0,89.5536165235743,81909.64895013064,True,46,1859.3947417693184,163575.18788930454
46,2020-03-08,0,89.5536165235743,81909.64895013064,True,47,2057.70507416925,163575.18788930454
47,2020-03-09,0,89.5536165235743,81909.64895013064,True,48,2276.868493590004,163575.18788930454
48,2020-03-10,0,89.5536165235743,81909.64895013064,True,49,2519.011213380803,163575.18788930454
49,2020-03-11,1,89.5536165235743,81909.64895013064,True,50,2786.461380137126,163575.18788930454
50,2020-03-12,1,89.5536165235743,81909.64895013064,True,51,3081.764922041303,163575.18788930454
51,2020-03-13,5,89.5536165235743,81909.64895013064,True,52,3407.7018716775383,163575.18788930454
52,2020-03-14,5,89.5536165235743,81909.64895013064,True,53,3767.3029735586038,163575.18788930454
53,2020-03-15,6,89.5536165235743,81909.64895013064,True,54,4163.866324634331,163575.18788930454
54,2020-03-16,18,89.5536165235743,81909.64895013064,True,55,4600.9737221829655,163575.18788930454
55,2020-03-17,47,89.5536165235743,81909.64895013064,True,56,5082.506306493651,163575.18788930454
56,2020-03-18,98,89.5536165235743,81909.64895013064,True,57,5612.658984621621,163575.18788930454
57,2020-03-19,192,89.5536165235743,81909.64895013064,True,58,6195.953005604203,163575.18788930454
58,2020-03-20,359,89.5536165235743,81909.64895013064,True,59,6837.245926832668,163575.18788930454
59,2020-03-21,670,89.5536165235743,81909.64895013064,True,60,7541.738066633502,163575.18788930454
60,2020-03-22,1236,89.5536165235743,81909.64895013064,True,61,8314.974381612568,163575.18788930454
61,2020-03-23,1529,89.5536165235743,81909.64895013064,True,62,9162.840542710243,163575.18788930454
62,2020-03-24,1872,89.5536165235743,81909.64895013064,True,63,10091.551817109957,163575.18788930454
63,2020-03-25,2433,89.5536165235743,81909.64895013064,True,64,11107.633202730367,163575.18788930454
64,2020-03-26,3629,89.5536165235743,81909.64895013064,True,65,12217.889119834012,163575.18788930454
65,2020-03-27,5698,89.5536165235743,81909.64895013064,True,66,13429.360855844028,163575.18788930454
66,2020-03-28,7402,89.5536165235743,81909.64895013064,True,67,14749.269904377728,163575.18788930454
67,2020-03-29,9217,89.5536165235743,81909.64895013064,True,68,16184.945361515907,163575.18788930454
68,2020-03-30,10827,89.5536165235743,81909.64895013064,True,69,17743.733668928802,163575.18788930454
69,2020-03-31,13531,89.5536165235743,81909.64895013064,True,70,19432.88925493633,163575.18788930454
70,2020-04-01,15679,89.5536165235743,81909.64895013064,True,71,21259.445052074392,163575.18788930454
71,2020-04-02,18135,89.5536165235743,81909.64895013064,True,72,23230.062492485074,163575.18788930454
72,2020-04-03,20921,89.5536165235743,81909.64895013064,True,73,25350.86142363808,163575.18788930454
73,2020-04-04,23934,89.5536165235743,81909.64895013064,True,74,27627.231458450533,163575.18788930454
74,2020-04-05,27069,89.5536165235743,81909.64895013064,True,75,30063.627570271954,163575.18788930454
75,2020-04-06,30217,89.5536165235743,81909.64895013064,True,76,32663.35423479501,163575.18788930454
76,2020-04-07,34109,89.5536165235743,81909.64895013064,True,77,35428.34404775544,163575.18788930454
77,2020-04-08,38226,89.5536165235743,81909.64895013064,True,78,38358.93841443087,163575.18788930454
78,2020-04-09,42282,89.5536165235743,81909.64895013064,True,79,41453.67948342371,163575.18788930454
79,2020-04-10,47029,89.5536165235743,81909.64895013064,True,80,44709.12381954111,163575.18788930454
80,2020-04-11,52167,89.5536165235743,81909.64895013064,True,81,48119.689192958074,163575.18788930454
81,2020-04-12,56956,89.5536165235743,81909.64895013064,True,82,51677.54611346723,163575.18788930454
82,2020-04-13,61049,89.5536165235743,81909.64895013064,True,83,55372.56518783347,163575.18788930454
83,2020-04-14,65111,89.5536165235743,81909.64895013064,True,84,59192.32990143824,163575.18788930454
84,2020-04-15,69392,89.5536165235743,81909.64895013064,True,85,63122.22197659063,163575.18788930454
85,2020-04-16,74193,89.5536165235743,81909.64895013064,True,86,67145.58309598613,163575.18788930454
86,2020-04-17,78546,89.5536165235743,81909.64895013064,True,87,71243.95267493358,163575.18788930454
87,2020-04-18,82329,89.5536165235743,81909.64895013064,True,88,75397.37680962826,163575.18788930454
88,2020-04-19,86306,89.5536165235743,81909.64895013064,True,89,79584.77890442495,163575.18788930454
89,2020-04-20,90980,89.5536165235743,81909.64895013064,True,90,83784.37822564972,163575.18788930454
90,2020-04-21,95591,89.5536165235743,81909.64895013064,True,91,87974.13917816803,163575.18788930454
91,2020-04-22,98674,89.5536165235743,81909.64895013064,True,92,92132.23182616403,163575.18788930454
