,Report_Date,Belgium_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
22,2020-02-13,1,86.59029014895894,32110.28702206308,True,23,449.81960002453707,64218.448033759996
23,2020-02-14,1,86.59029014895894,32110.28702206308,True,24,485.98970308373123,64218.448033759996
24,2020-02-15,1,86.59029014895894,32110.28702206308,True,25,525.0443067564077,64218.448033759996
25,2020-02-16,1,86.59029014895894,32110.28702206308,True,26,567.2094452914838,64218.448033759996
26,2020-02-17,1,86.59029014895894,32110.28702206308,True,27,612.7281982432397,64218.448033759996
27,2020-02-18,1,86.59029014895894,32110.28702206308,True,28,661.8618642914498,64218.448033759996
28,2020-02-19,1,86.59029014895894,32110.28702206308,True,29,714.8911969407892,64218.448033759996
29,2020-02-20,1,86.59029014895894,32110.28702206308,True,30,772.11770194777,64218.448033759996
30,2020-02-21,1,86.59029014895894,32110.28702206308,True,31,833.8649955500229,64218.448033759996
31,2020-02-22,1,86.59029014895894,32110.28702206308,True,32,900.4802216353544,64218.448033759996
32,2020-02-23,1,86.59029014895894,32110.28702206308,True,33,972.3355248627362,64218.448033759996
33,2020-02-24,1,86.59029014895894,32110.28702206308,True,34,1049.8295754081687,64218.448033759996
34,2020-02-25,1,86.59029014895894,32110.28702206308,True,35,1133.3891394268014,64218.448033759996
35,2020-02-26,1,86.59029014895894,32110.28702206308,True,36,1223.4706874686,64218.448033759996
36,2020-02-27,1,86.59029014895894,32110.28702206308,True,37,1320.5620309262779,64218.448033759996
37,2020-02-28,1,86.59029014895894,32110.28702206308,True,38,1425.1839740980733,64218.448033759996
38,2020-02-29,1,86.59029014895894,32110.28702206308,True,39,1537.8919665809624,64218.448033759996
39,2020-03-01,2,86.59029014895894,32110.28702206308,True,40,1659.2777374391544,64218.448033759996
40,2020-03-02,8,86.59029014895894,32110.28702206308,True,41,1789.9708888876428,64218.448033759996
41,2020-03-03,13,86.59029014895894,32110.28702206308,True,42,1930.6404230643127,64218.448033759996
42,2020-03-04,23,86.59029014895894,32110.28702206308,True,43,2081.996170815905,64218.448033759996
43,2020-03-05,50,86.59029014895894,32110.28702206308,True,44,2244.790086281516,64218.448033759996
44,2020-03-06,109,86.59029014895894,32110.28702206308,True,45,2419.8173654231227,64218.448033759996
45,2020-03-07,169,86.59029014895894,32110.28702206308,True,46,2607.917340543704,64218.448033759996
46,2020-03-08,200,86.59029014895894,32110.28702206308,True,47,2809.974096289712,64218.448033759996
47,2020-03-09,239,86.59029014895894,32110.28702206308,True,48,3026.9167457230683,64218.448033759996
48,2020-03-10,267,86.59029014895894,32110.28702206308,True,49,3259.7192978705802,64218.448033759996
49,2020-03-11,314,86.59029014895894,32110.28702206308,True,50,3509.400040858752,64218.448033759996
50,2020-03-12,314,86.59029014895894,32110.28702206308,True,51,3777.0203575124788,64218.448033759996
51,2020-03-13,559,86.59029014895894,32110.28702206308,True,52,4063.6828833871364,64218.448033759996
52,2020-03-14,689,86.59029014895894,32110.28702206308,True,53,4370.528910930928,64218.448033759996
53,2020-03-15,886,86.59029014895894,32110.28702206308,True,54,4698.734938225912,64218.448033759996
54,2020-03-16,1058,86.59029014895894,32110.28702206308,True,55,5049.508256997703,64218.448033759996
55,2020-03-17,1243,86.59029014895894,32110.28702206308,True,56,5424.08147286116,64218.448033759996
56,2020-03-18,1486,86.59029014895894,32110.28702206308,True,57,5823.705851707852,64218.448033759996
57,2020-03-19,1795,86.59029014895894,32110.28702206308,True,58,6249.6433904373625,64218.448033759996
58,2020-03-20,2257,86.59029014895894,32110.28702206308,True,59,6703.157518643345,64218.448033759996
59,2020-03-21,2815,86.59029014895894,32110.28702206308,True,60,7185.502351176222,64218.448033759996
60,2020-03-22,3401,86.59029014895894,32110.28702206308,True,61,7697.910430506754,64218.448033759996
61,2020-03-23,3743,86.59029014895894,32110.28702206308,True,62,8241.578923251398,64218.448033759996
62,2020-03-24,4269,86.59029014895894,32110.28702206308,True,63,8817.654267728565,64218.448033759996
63,2020-03-25,4937,86.59029014895894,32110.28702206308,True,64,9427.215309450761,64218.448033759996
64,2020-03-26,6235,86.59029014895894,32110.28702206308,True,65,10071.255009212622,64218.448033759996
65,2020-03-27,7284,86.59029014895894,32110.28702206308,True,66,10750.66086373887,64218.448033759996
66,2020-03-28,9134,86.59029014895894,32110.28702206308,True,67,11466.19424108019,64218.448033759996
67,2020-03-29,10836,86.59029014895894,32110.28702206308,True,68,12218.46890090384,64218.448033759996
68,2020-03-30,11899,86.59029014895894,32110.28702206308,True,69,13007.929041697489,64218.448033759996
69,2020-03-31,12775,86.59029014895894,32110.28702206308,True,70,13834.827290176163,64218.448033759996
70,2020-04-01,13964,86.59029014895894,32110.28702206308,True,71,14699.203119632224,64218.448033759996
71,2020-04-02,15348,86.59029014895894,32110.28702206308,True,72,15600.862249712547,64218.448033759996
72,2020-04-03,16770,86.59029014895894,32110.28702206308,True,73,16539.357635704513,64218.448033759996
73,2020-04-04,18431,86.59029014895894,32110.28702206308,True,74,17513.97269606006,64218.448033759996
74,2020-04-05,19691,86.59029014895894,32110.28702206308,True,75,18523.707447686753,64218.448033759996
75,2020-04-06,20814,86.59029014895894,32110.28702206308,True,76,19567.26821484965,64218.448033759996
76,2020-04-07,22194,86.59029014895894,32110.28702206308,True,77,20643.061545391516,64218.448033759996
77,2020-04-08,23403,86.59029014895894,32110.28702206308,True,78,21749.192904543073,64218.448033759996
78,2020-04-09,24983,86.59029014895894,32110.28702206308,True,79,22883.47062056844,64218.448033759996
79,2020-04-10,26667,86.59029014895894,32110.28702206308,True,80,24043.415428525757,64218.448033759996
80,2020-04-11,28018,86.59029014895894,32110.28702206308,True,81,25226.275801385007,64218.448033759996
81,2020-04-12,29647,86.59029014895894,32110.28702206308,True,82,26429.049076830084,64218.448033759996
82,2020-04-13,30589,86.59029014895894,32110.28702206308,True,83,27648.508190709876,64218.448033759996
83,2020-04-14,31119,86.59029014895894,32110.28702206308,True,84,28881.23362364523,64218.448033759996
84,2020-04-15,33573,86.59029014895894,32110.28702206308,True,85,30123.649966467467,64218.448033759996
85,2020-04-16,34809,86.59029014895894,32110.28702206308,True,86,31372.066324322503,64218.448033759996
86,2020-04-17,36138,86.59029014895894,32110.28702206308,True,87,32622.719619554624,64218.448033759996
87,2020-04-18,37183,86.59029014895894,32110.28702206308,True,88,33871.81972986604,64218.448033759996
88,2020-04-19,38496,86.59029014895894,32110.28702206308,True,89,35115.59531869606,64218.448033759996
89,2020-04-20,39983,86.59029014895894,32110.28702206308,True,90,36350.33918450604,64218.448033759996
90,2020-04-21,40956,86.59029014895894,32110.28702206308,True,91,37572.45197669974,64218.448033759996
91,2020-04-22,41889,86.59029014895894,32110.28702206308,True,92,38778.483196857815,64218.448033759996
92,2020-04-23,42797,86.59029014895894,32110.28702206308,True,93,39965.16852014269,64218.448033759996
93,2020-04-24,44293,86.59029014895894,32110.28702206308,True,94,41129.46262562223,64218.448033759996
94,2020-04-25,45325,86.59029014895894,32110.28702206308,True,95,42268.56690618731,64218.448033759996
95,2020-04-26,46134,86.59029014895894,32110.28702206308,True,96,43379.95162770775,64218.448033759996
96,2020-04-27,46687,86.59029014895894,32110.28702206308,True,97,44461.37231169831,64218.448033759996
97,2020-04-28,47334,86.59029014895894,32110.28702206308,True,98,45510.88031514911,64218.448033759996
98,2020-04-29,47859,86.59029014895894,32110.28702206308,True,99,46526.827765671595,64218.448033759996
99,2020-04-30,48519,86.59029014895894,32110.28702206308,True,100,47507.867171912454,64218.448033759996
100,2020-05-01,49032,86.59029014895894,32110.28702206308,True,101,48452.9461626829,64218.448033759996
101,2020-05-02,49517,86.59029014895894,32110.28702206308,True,102,49361.29791015452,64218.448033759996
102,2020-05-03,49906,86.59029014895894,32110.28702206308,True,103,50232.427861749966,64218.448033759996
103,2020-05-04,50267,86.59029014895894,32110.28702206308,True,104,51066.09744297472,64218.448033759996
104,2020-05-05,50509,86.59029014895894,32110.28702206308,True,105,51862.30540199197,64218.448033759996
105,2020-05-06,50781,86.59029014895894,32110.28702206308,True,106,52621.26745003447,64218.448033759996
106,2020-05-07,51420,86.59029014895894,32110.28702206308,True,107,53343.39481432501,64218.448033759996
107,2020-05-08,52011,86.59029014895894,32110.28702206308,True,108,54029.27226691632,64218.448033759996
108,2020-05-09,52596,86.59029014895894,32110.28702206308,True,109,54679.636128607286,64218.448033759996
109,2020-05-10,53081,86.59029014895894,32110.28702206308,True,110,55295.3526763675,64218.448033759996
110,2020-05-11,53449,86.59029014895894,32110.28702206308,True,111,55877.39730950097,64218.448033759996
111,2020-05-12,53779,86.59029014895894,32110.28702206308,True,112,56426.83475744848,64218.448033759996
112,2020-05-13,53981,86.59029014895894,32110.28702206308,True,113,56944.80054330874,64218.448033759996
113,2020-05-14,54288,86.59029014895894,32110.28702206308,True,114,57432.48385379344,64218.448033759996
114,2020-05-15,54644,86.59029014895894,32110.28702206308,True,115,57891.111909716,64218.448033759996
115,2020-05-16,54989,86.59029014895894,32110.28702206308,True,116,58321.93588197115,64218.448033759996
116,2020-05-17,55280,86.59029014895894,32110.28702206308,True,117,58726.218356537924,64218.448033759996
117,2020-05-18,55559,86.59029014895894,32110.28702206308,True,118,59105.22231819733,64218.448033759996
118,2020-05-19,55791,86.59029014895894,32110.28702206308,True,119,59460.20159598667,64218.448033759996
119,2020-05-20,55983,86.59029014895894,32110.28702206308,True,120,59792.392693299575,64218.448033759996
120,2020-05-21,56235,86.59029014895894,32110.28702206308,True,121,60103.00791126078,64218.448033759996
121,2020-05-22,56511,86.59029014895894,32110.28702206308,True,122,60393.22966476929,64218.448033759996
122,2020-05-23,56810,86.59029014895894,32110.28702206308,True,123,60664.2058856215,64218.448033759996
123,2020-05-24,57092,86.59029014895894,32110.28702206308,True,124,60917.046405635,64218.448033759996
124,2020-05-25,57342,86.59029014895894,32110.28702206308,True,125,61152.820213984196,64218.448033759996
125,2020-05-26,57455,86.59029014895894,32110.28702206308,True,126,61372.55348639212,64218.448033759996
126,2020-05-27,57592,86.59029014895894,32110.28702206308,True,127,61577.228288839775,64218.448033759996
127,2020-05-28,57849,86.59029014895894,32110.28702206308,True,128,61767.781864571836,64218.448033759996
128,2020-05-29,58061,86.59029014895894,32110.28702206308,True,129,61945.10641999792,64218.448033759996
