,Report_Date,Ethiopia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
57,2020-03-19,6,80.9219086532588,67.50508804196505,True,58,5.818076126802074,119.46682416024724
58,2020-03-20,9,80.9219086532588,67.50508804196505,True,59,6.619395243840496,119.46682416024724
59,2020-03-21,9,80.9219086532588,67.50508804196505,True,60,7.524651330773614,119.46682416024724
60,2020-03-22,11,80.9219086532588,67.50508804196505,True,61,8.545468554409723,119.46682416024724
61,2020-03-23,11,80.9219086532588,67.50508804196505,True,62,9.694242136552809,119.46682416024724
62,2020-03-24,12,80.9219086532588,67.50508804196505,True,63,10.984033204134654,119.46682416024724
63,2020-03-25,12,80.9219086532588,67.50508804196505,True,64,12.428408266326413,119.46682416024724
64,2020-03-26,12,80.9219086532588,67.50508804196505,True,65,14.041212794375141,119.46682416024724
65,2020-03-27,16,80.9219086532588,67.50508804196505,True,66,15.836269047415875,119.46682416024724
66,2020-03-28,16,80.9219086532588,67.50508804196505,True,67,17.82699022558301,119.46682416024724
67,2020-03-29,21,80.9219086532588,67.50508804196505,True,68,20.02590663806463,119.46682416024724
68,2020-03-30,23,80.9219086532588,67.50508804196505,True,69,22.444105200362547,119.46682416024724
69,2020-03-31,26,80.9219086532588,67.50508804196505,True,70,25.090591429697884,119.46682416024724
70,2020-04-01,29,80.9219086532588,67.50508804196505,True,71,27.971593124269187,119.46682416024724
71,2020-04-02,29,80.9219086532588,67.50508804196505,True,72,31.089836606979777,119.46682416024724
72,2020-04-03,35,80.9219086532588,67.50508804196505,True,73,34.44383875953303,119.46682416024724
73,2020-04-04,38,80.9219086532588,67.50508804196505,True,74,38.027269440717085,119.46682416024724
74,2020-04-05,43,80.9219086532588,67.50508804196505,True,75,41.82844712075563,119.46682416024724
75,2020-04-06,44,80.9219086532588,67.50508804196505,True,76,45.83003325451264,119.46682416024724
76,2020-04-07,52,80.9219086532588,67.50508804196505,True,77,50.008985839504206,119.46682416024724
77,2020-04-08,55,80.9219086532588,67.50508804196505,True,78,54.33681834787257,119.46682416024724
78,2020-04-09,56,80.9219086532588,67.50508804196505,True,79,58.78018680701827,119.46682416024724
79,2020-04-10,65,80.9219086532588,67.50508804196505,True,80,63.30179712388835,119.46682416024724
80,2020-04-11,69,80.9219086532588,67.50508804196505,True,81,67.86159059518577,119.46682416024724
81,2020-04-12,71,80.9219086532588,67.50508804196505,True,82,72.41813310117313,119.46682416024724
82,2020-04-13,74,80.9219086532588,67.50508804196505,True,83,76.93010829727021,119.46682416024724
83,2020-04-14,82,80.9219086532588,67.50508804196505,True,84,81.35780183229281,119.46682416024724
84,2020-04-15,85,80.9219086532588,67.50508804196505,True,85,85.66446477942249,119.46682416024724
85,2020-04-16,92,80.9219086532588,67.50508804196505,True,86,89.81745984168775,119.46682416024724
