,Report_Date,Uganda_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
34,2020-02-25,0,68.99122620223554,31.172722324937876,True,35,0.2137311165807174,61.76882434236652
35,2020-02-26,0,68.99122620223554,31.172722324937876,True,36,0.25238900948803905,61.76882434236652
36,2020-02-27,0,68.99122620223554,31.172722324937876,True,37,0.29800548140214533,61.76882434236652
37,2020-02-28,0,68.99122620223554,31.172722324937876,True,38,0.35181990268553215,61.76882434236652
38,2020-02-29,0,68.99122620223554,31.172722324937876,True,39,0.41528719638740047,61.76882434236652
39,2020-03-01,0,68.99122620223554,31.172722324937876,True,40,0.4901132896947504,61.76882434236652
40,2020-03-02,0,68.99122620223554,31.172722324937876,True,41,0.5782955906812566,61.76882434236652
41,2020-03-03,0,68.99122620223554,31.172722324937876,True,42,0.6821688753281511,61.76882434236652
42,2020-03-04,0,68.99122620223554,31.172722324937876,True,43,0.8044568507498356,61.76882434236652
43,2020-03-05,0,68.99122620223554,31.172722324937876,True,44,0.9483294573715123,61.76882434236652
44,2020-03-06,0,68.99122620223554,31.172722324937876,True,45,1.1174656527859996,61.76882434236652
45,2020-03-07,0,68.99122620223554,31.172722324937876,True,46,1.3161209418378619,61.76882434236652
46,2020-03-08,0,68.99122620223554,31.172722324937876,True,47,1.5491982307738394,61.76882434236652
47,2020-03-09,0,68.99122620223554,31.172722324937876,True,48,1.822319629630306,61.76882434236652
48,2020-03-10,0,68.99122620223554,31.172722324937876,True,49,2.1418955434724354,61.76882434236652
49,2020-03-11,0,68.99122620223554,31.172722324937876,True,50,2.5151857200639602,61.76882434236652
50,2020-03-12,0,68.99122620223554,31.172722324937876,True,51,2.9503448172019158,61.76882434236652
51,2020-03-13,0,68.99122620223554,31.172722324937876,True,52,3.4564425170473543,61.76882434236652
52,2020-03-14,0,68.99122620223554,31.172722324937876,True,53,4.043445324661495,61.76882434236652
53,2020-03-15,0,68.99122620223554,31.172722324937876,True,54,4.7221441483997815,61.76882434236652
54,2020-03-16,0,68.99122620223554,31.172722324937876,True,55,5.504008965045747,61.76882434236652
55,2020-03-17,0,68.99122620223554,31.172722324937876,True,56,6.4009499717963445,61.76882434236652
56,2020-03-18,0,68.99122620223554,31.172722324937876,True,57,7.424964573629512,61.76882434236652
57,2020-03-19,0,68.99122620223554,31.172722324937876,True,58,8.58765260141604,61.76882434236652
58,2020-03-20,0,68.99122620223554,31.172722324937876,True,59,9.899589745958844,61.76882434236652
59,2020-03-21,1,68.99122620223554,31.172722324937876,True,60,11.369562676905328,61.76882434236652
60,2020-03-22,1,68.99122620223554,31.172722324937876,True,61,13.003689452632823,61.76882434236652
61,2020-03-23,9,68.99122620223554,31.172722324937876,True,62,14.804475079829817,61.76882434236652
62,2020-03-24,9,68.99122620223554,31.172722324937876,True,63,16.769881839649315,61.76882434236652
63,2020-03-25,14,68.99122620223554,31.172722324937876,True,64,18.89252204636028,61.76882434236652
64,2020-03-26,14,68.99122620223554,31.172722324937876,True,65,21.159099597228682,61.76882434236652
65,2020-03-27,23,68.99122620223554,31.172722324937876,True,66,23.550227262694335,61.76882434236652
66,2020-03-28,30,68.99122620223554,31.172722324937876,True,67,26.0407219417587,61.76882434236652
