,Report_Date,Côte d'Ivoire_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
56,2020-03-18,6,192.20854971264728,21248.160475626948,False,57,172.2498990260927,42496.320951253896
57,2020-03-19,9,192.20854971264728,21248.160475626948,False,58,179.37644350350112,42496.320951253896
58,2020-03-20,9,192.20854971264728,21248.160475626948,False,59,186.79653524070392,42496.320951253896
59,2020-03-21,14,192.20854971264728,21248.160475626948,False,60,194.52215579366467,42496.320951253896
60,2020-03-22,14,192.20854971264728,21248.160475626948,False,61,202.56576649196705,42496.320951253896
61,2020-03-23,25,192.20854971264728,21248.160475626948,False,62,210.94032686642169,42496.320951253896
62,2020-03-24,73,192.20854971264728,21248.160475626948,False,63,219.65931371765163,42496.320951253896
63,2020-03-25,80,192.20854971264728,21248.160475626948,False,64,228.7367408421089,42496.320951253896
64,2020-03-26,96,192.20854971264728,21248.160475626948,False,65,238.18717943184961,42496.320951253896
65,2020-03-27,101,192.20854971264728,21248.160475626948,False,66,248.0257791641959,42496.320951253896
66,2020-03-28,101,192.20854971264728,21248.160475626948,False,67,258.2682899971408,42496.320951253896
67,2020-03-29,165,192.20854971264728,21248.160475626948,False,68,268.9310846859966,42496.320951253896
68,2020-03-30,168,192.20854971264728,21248.160475626948,False,69,280.03118203634114,42496.320951253896
69,2020-03-31,179,192.20854971264728,21248.160475626948,False,70,291.58627090776696,42496.320951253896
70,2020-04-01,190,192.20854971264728,21248.160475626948,False,71,303.61473498228077,42496.320951253896
71,2020-04-02,194,192.20854971264728,21248.160475626948,False,72,316.1356783104174,42496.320951253896
72,2020-04-03,218,192.20854971264728,21248.160475626948,False,73,329.1689516472211,42496.320951253896
73,2020-04-04,245,192.20854971264728,21248.160475626948,False,74,342.7351795891884,42496.320951253896
74,2020-04-05,261,192.20854971264728,21248.160475626948,False,75,356.8557885220473,42496.320951253896
75,2020-04-06,323,192.20854971264728,21248.160475626948,False,76,371.5530353878571,42496.320951253896
76,2020-04-07,349,192.20854971264728,21248.160475626948,False,77,386.8500372783401,42496.320951253896
77,2020-04-08,384,192.20854971264728,21248.160475626948,False,78,402.77080185957,42496.320951253896
78,2020-04-09,444,192.20854971264728,21248.160475626948,False,79,419.34025863114357,42496.320951253896
79,2020-04-10,444,192.20854971264728,21248.160475626948,False,80,436.5842910207196,42496.320951253896
80,2020-04-11,533,192.20854971264728,21248.160475626948,False,81,454.5297693123109,42496.320951253896
81,2020-04-12,574,192.20854971264728,21248.160475626948,False,82,473.2045844039412,42496.320951253896
82,2020-04-13,626,192.20854971264728,21248.160475626948,False,83,492.63768238719786,42496.320951253896
83,2020-04-14,638,192.20854971264728,21248.160475626948,False,84,512.8590999378139,42496.320951253896
84,2020-04-15,638,192.20854971264728,21248.160475626948,False,85,533.9000005026671,42496.320951253896
