,Report_Date,Montenegro_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
23,2020-02-14,0,190.7740281350689,2833.8619730493388,True,24,0.2412162965118898,4794.767563383872
24,2020-02-15,0,190.7740281350689,2833.8619730493388,True,25,0.2562208772653587,4794.767563383872
25,2020-02-16,0,190.7740281350689,2833.8619730493388,True,26,0.27215875579138715,4794.767563383872
26,2020-02-17,0,190.7740281350689,2833.8619730493388,True,27,0.2890879782613391,4794.767563383872
27,2020-02-18,0,190.7740281350689,2833.8619730493388,True,28,0.3070702002730681,4794.767563383872
28,2020-02-19,0,190.7740281350689,2833.8619730493388,True,29,0.3261709111976376,4794.767563383872
29,2020-02-20,0,190.7740281350689,2833.8619730493388,True,30,0.34645967245835024,4794.767563383872
30,2020-02-21,0,190.7740281350689,2833.8619730493388,True,31,0.3680103706057479,4794.767563383872
31,2020-02-22,0,190.7740281350689,2833.8619730493388,True,32,0.39090148610558584,4794.767563383872
32,2020-02-23,0,190.7740281350689,2833.8619730493388,True,33,0.4152163788133843,4794.767563383872
33,2020-02-24,0,190.7740281350689,2833.8619730493388,True,34,0.44104359116924363,4794.767563383872
34,2020-02-25,0,190.7740281350689,2833.8619730493388,True,35,0.46847717021034274,4794.767563383872
35,2020-02-26,0,190.7740281350689,2833.8619730493388,True,36,0.49761700956619176,4794.767563383872
36,2020-02-27,0,190.7740281350689,2833.8619730493388,True,37,0.528569212673468,4794.767563383872
37,2020-02-28,0,190.7740281350689,2833.8619730493388,True,38,0.5614464785234146,4794.767563383872
38,2020-02-29,0,190.7740281350689,2833.8619730493388,True,39,0.5963685113355481,4794.767563383872
39,2020-03-01,0,190.7740281350689,2833.8619730493388,True,40,0.6334624556371116,4794.767563383872
40,2020-03-02,0,190.7740281350689,2833.8619730493388,True,41,0.6728633583185953,4794.767563383872
41,2020-03-03,0,190.7740281350689,2833.8619730493388,True,42,0.7147146593320342,4794.767563383872
42,2020-03-04,0,190.7740281350689,2833.8619730493388,True,43,0.7591687128010189,4794.767563383872
43,2020-03-05,0,190.7740281350689,2833.8619730493388,True,44,0.806387340419754,4794.767563383872
44,2020-03-06,0,190.7740281350689,2833.8619730493388,True,45,0.8565424191334111,4794.767563383872
45,2020-03-07,0,190.7740281350689,2833.8619730493388,True,46,0.9098165052138867,4794.767563383872
46,2020-03-08,0,190.7740281350689,2833.8619730493388,True,47,0.9664034969742057,4794.767563383872
47,2020-03-09,0,190.7740281350689,2833.8619730493388,True,48,1.0265093385016981,4794.767563383872
48,2020-03-10,0,190.7740281350689,2833.8619730493388,True,49,1.0903527669351445,4794.767563383872
49,2020-03-11,0,190.7740281350689,2833.8619730493388,True,50,1.1581661059647703,4794.767563383872
50,2020-03-12,0,190.7740281350689,2833.8619730493388,True,51,1.2301961083967965,4794.767563383872
51,2020-03-13,0,190.7740281350689,2833.8619730493388,True,52,1.3067048507967263,4794.767563383872
52,2020-03-14,0,190.7740281350689,2833.8619730493388,True,53,1.3879706834081742,4794.767563383872
53,2020-03-15,0,190.7740281350689,2833.8619730493388,True,54,1.474289238737445,4794.767563383872
54,2020-03-16,0,190.7740281350689,2833.8619730493388,True,55,1.5659745023987732,4794.767563383872
55,2020-03-17,2,190.7740281350689,2833.8619730493388,True,56,1.663359950031783,4794.767563383872
56,2020-03-18,2,190.7740281350689,2833.8619730493388,True,57,1.7667997543319864,4794.767563383872
57,2020-03-19,3,190.7740281350689,2833.8619730493388,True,58,1.87667006647764,4794.767563383872
58,2020-03-20,14,190.7740281350689,2833.8619730493388,True,59,1.9933703764927084,4794.767563383872
59,2020-03-21,14,190.7740281350689,2833.8619730493388,True,60,2.117324957356861,4794.767563383872
60,2020-03-22,21,190.7740281350689,2833.8619730493388,True,61,2.248984397959932,4794.767563383872
61,2020-03-23,27,190.7740281350689,2833.8619730493388,True,62,2.3888272303011004,4794.767563383872
62,2020-03-24,47,190.7740281350689,2833.8619730493388,True,63,2.5373616566527666,4794.767563383872
63,2020-03-25,52,190.7740281350689,2833.8619730493388,True,64,2.6951273827467346,4794.767563383872
64,2020-03-26,69,190.7740281350689,2833.8619730493388,True,65,2.862697563396601,4794.767563383872
65,2020-03-27,82,190.7740281350689,2833.8619730493388,True,66,3.0406808673460692,4794.767563383872
66,2020-03-28,84,190.7740281350689,2833.8619730493388,True,67,3.2297236685291772,4794.767563383872
67,2020-03-29,85,190.7740281350689,2833.8619730493388,True,68,3.4305123713460572,4794.767563383872
68,2020-03-30,91,190.7740281350689,2833.8619730493388,True,69,3.64377587799763,4794.767563383872
69,2020-03-31,109,190.7740281350689,2833.8619730493388,True,70,3.8702882063856854,4794.767563383872
70,2020-04-01,123,190.7740281350689,2833.8619730493388,True,71,4.1108712675717625,4794.767563383872
71,2020-04-02,144,190.7740281350689,2833.8619730493388,True,72,4.366397812300339,4794.767563383872
72,2020-04-03,174,190.7740281350689,2833.8619730493388,True,73,4.637794556629561,4794.767563383872
73,2020-04-04,201,190.7740281350689,2833.8619730493388,True,74,4.926045497277316,4794.767563383872
74,2020-04-05,214,190.7740281350689,2833.8619730493388,True,75,5.232195427882423,4794.767563383872
75,2020-04-06,233,190.7740281350689,2833.8619730493388,True,76,5.557353668000929,4794.767563383872
76,2020-04-07,241,190.7740281350689,2833.8619730493388,True,77,5.902698017306691,4794.767563383872
77,2020-04-08,248,190.7740281350689,2833.8619730493388,True,78,6.269478948143965,4794.767563383872
78,2020-04-09,252,190.7740281350689,2833.8619730493388,True,79,6.6590240502885045,4794.767563383872
79,2020-04-10,255,190.7740281350689,2833.8619730493388,True,80,7.072742742512457,4794.767563383872
80,2020-04-11,263,190.7740281350689,2833.8619730493388,True,81,7.512131266317841,4794.767563383872
81,2020-04-12,272,190.7740281350689,2833.8619730493388,True,82,7.9787779780032215,4794.767563383872
82,2020-04-13,274,190.7740281350689,2833.8619730493388,True,83,8.474368956058235,4794.767563383872
83,2020-04-14,283,190.7740281350689,2833.8619730493388,True,84,9.000693941740293,4794.767563383872
84,2020-04-15,288,190.7740281350689,2833.8619730493388,True,85,9.559652631576117,4794.767563383872
85,2020-04-16,303,190.7740281350689,2833.8619730493388,True,86,10.153261341446813,4794.767563383872
86,2020-04-17,303,190.7740281350689,2833.8619730493388,True,87,10.783660062856486,4794.767563383872
87,2020-04-18,307,190.7740281350689,2833.8619730493388,True,88,11.453119932950004,4794.767563383872
88,2020-04-19,308,190.7740281350689,2833.8619730493388,True,89,12.164051140830987,4794.767563383872
89,2020-04-20,312,190.7740281350689,2833.8619730493388,True,90,12.919011293734332,4794.767563383872
90,2020-04-21,313,190.7740281350689,2833.8619730493388,True,91,13.72071426762347,4794.767563383872
91,2020-04-22,315,190.7740281350689,2833.8619730493388,True,92,14.5720395678061,4794.767563383872
92,2020-04-23,316,190.7740281350689,2833.8619730493388,True,93,15.47604222618725,4794.767563383872
93,2020-04-24,319,190.7740281350689,2833.8619730493388,True,94,16.435963262797273,4794.767563383872
94,2020-04-25,320,190.7740281350689,2833.8619730493388,True,95,17.455240740237247,4794.767563383872
95,2020-04-26,321,190.7740281350689,2833.8619730493388,True,96,18.53752144066314,4794.767563383872
96,2020-04-27,321,190.7740281350689,2833.8619730493388,True,97,19.6866731958729,4794.767563383872
97,2020-04-28,321,190.7740281350689,2833.8619730493388,True,98,20.906797901952537,4794.767563383872
98,2020-04-29,322,190.7740281350689,2833.8619730493388,True,99,22.202245250762243,4794.767563383872
99,2020-04-30,322,190.7740281350689,2833.8619730493388,True,100,23.577627211283797,4794.767563383872
100,2020-05-01,322,190.7740281350689,2833.8619730493388,True,101,25.03783329448432,4794.767563383872
101,2020-05-02,322,190.7740281350689,2833.8619730493388,True,102,26.588046635854987,4794.767563383872
102,2020-05-03,322,190.7740281350689,2833.8619730493388,True,103,28.23376093012879,4794.767563383872
103,2020-05-04,323,190.7740281350689,2833.8619730493388,True,104,29.980798252838554,4794.767563383872
104,2020-05-05,324,190.7740281350689,2833.8619730493388,True,105,31.835327803308083,4794.767563383872
105,2020-05-06,324,190.7740281350689,2833.8619730493388,True,106,33.80388560333731,4794.767563383872
106,2020-05-07,324,190.7740281350689,2833.8619730493388,True,107,35.89339518520056,4794.767563383872
107,2020-05-08,324,190.7740281350689,2833.8619730493388,True,108,38.11118930157517,4794.767563383872
108,2020-05-09,324,190.7740281350689,2833.8619730493388,True,109,40.46503268859914,4794.767563383872
109,2020-05-10,324,190.7740281350689,2833.8619730493388,True,110,42.963145911356946,4794.767563383872
110,2020-05-11,324,190.7740281350689,2833.8619730493388,True,111,45.61423031864399,4794.767563383872
111,2020-05-12,324,190.7740281350689,2833.8619730493388,True,112,48.42749413077927,4794.767563383872
112,2020-05-13,324,190.7740281350689,2833.8619730493388,True,113,51.412679680440824,4794.767563383872
113,2020-05-14,324,190.7740281350689,2833.8619730493388,True,114,54.5800918218893,4794.767563383872
114,2020-05-15,324,190.7740281350689,2833.8619730493388,True,115,57.94062751841725,4794.767563383872
115,2020-05-16,324,190.7740281350689,2833.8619730493388,True,116,61.50580661129902,4794.767563383872
116,2020-05-17,324,190.7740281350689,2833.8619730493388,True,117,65.28780376579066,4794.767563383872
117,2020-05-18,324,190.7740281350689,2833.8619730493388,True,118,69.29948158070364,4794.767563383872
118,2020-05-19,324,190.7740281350689,2833.8619730493388,True,119,73.55442483759683,4794.767563383872
119,2020-05-20,324,190.7740281350689,2833.8619730493388,True,120,78.06697585354239,4794.767563383872
120,2020-05-21,324,190.7740281350689,2833.8619730493388,True,121,82.85227088753895,4794.767563383872
121,2020-05-22,324,190.7740281350689,2833.8619730493388,True,122,87.92627753479319,4794.767563383872
122,2020-05-23,324,190.7740281350689,2833.8619730493388,True,123,93.30583302506419,4794.767563383872
123,2020-05-24,324,190.7740281350689,2833.8619730493388,True,124,99.00868332085885,4794.767563383872
124,2020-05-25,324,190.7740281350689,2833.8619730493388,True,125,105.053522888264,4794.767563383872
125,2020-05-26,324,190.7740281350689,2833.8619730493388,True,126,111.46003498737315,4794.767563383872
126,2020-05-27,324,190.7740281350689,2833.8619730493388,True,127,118.24893230039346,4794.767563383872
127,2020-05-28,324,190.7740281350689,2833.8619730493388,True,128,125.44199768335682,4794.767563383872
128,2020-05-29,324,190.7740281350689,2833.8619730493388,True,129,133.06212479169469,4794.767563383872
129,2020-05-30,324,190.7740281350689,2833.8619730493388,True,130,141.1333582905416,4794.767563383872
130,2020-05-31,324,190.7740281350689,2833.8619730493388,True,131,149.68093331730623,4794.767563383872
131,2020-06-01,324,190.7740281350689,2833.8619730493388,True,132,158.731313816612,4794.767563383872
132,2020-06-02,324,190.7740281350689,2833.8619730493388,True,133,168.31222931601343,4794.767563383872
133,2020-06-03,324,190.7740281350689,2833.8619730493388,True,134,178.4527096548395,4794.767563383872
134,2020-06-04,324,190.7740281350689,2833.8619730493388,True,135,189.1831171180513,4794.767563383872
135,2020-06-05,324,190.7740281350689,2833.8619730493388,True,136,200.53517536217956,4794.767563383872
136,2020-06-06,324,190.7740281350689,2833.8619730493388,True,137,212.54199445131454,4794.767563383872
137,2020-06-07,324,190.7740281350689,2833.8619730493388,True,138,225.23809124805314,4794.767563383872
138,2020-06-08,324,190.7740281350689,2833.8619730493388,True,139,238.6594043275721,4794.767563383872
139,2020-06-09,324,190.7740281350689,2833.8619730493388,True,140,252.84330250320136,4794.767563383872
140,2020-06-10,324,190.7740281350689,2833.8619730493388,True,141,267.8285859697031,4794.767563383872
141,2020-06-11,324,190.7740281350689,2833.8619730493388,True,142,283.6554789868814,4794.767563383872
142,2020-06-12,324,190.7740281350689,2833.8619730493388,True,143,300.36561294240573,4794.767563383872
143,2020-06-13,324,190.7740281350689,2833.8619730493388,True,144,318.00199855025016,4794.767563383872
144,2020-06-14,325,190.7740281350689,2833.8619730493388,True,145,336.60898586184754,4794.767563383872
145,2020-06-15,326,190.7740281350689,2833.8619730493388,True,146,356.2322106930085,4794.767563383872
146,2020-06-16,326,190.7740281350689,2833.8619730493388,True,147,376.91852600349836,4794.767563383872
147,2020-06-17,333,190.7740281350689,2833.8619730493388,True,148,398.71591671083456,4794.767563383872
148,2020-06-18,337,190.7740281350689,2833.8619730493388,True,149,421.6733963787177,4794.767563383872
149,2020-06-19,355,190.7740281350689,2833.8619730493388,True,150,445.8408841974668,4794.767563383872
150,2020-06-20,359,190.7740281350689,2833.8619730493388,True,151,471.2690606729958,4794.767563383872
151,2020-06-21,362,190.7740281350689,2833.8619730493388,True,152,498.009200467059,4794.767563383872
152,2020-06-22,367,190.7740281350689,2833.8619730493388,True,153,526.112980889539,4794.767563383872
153,2020-06-23,378,190.7740281350689,2833.8619730493388,True,154,555.6322646388779,4794.767563383872
154,2020-06-24,389,190.7740281350689,2833.8619730493388,True,155,586.6188555247404,4794.767563383872
155,2020-06-25,414,190.7740281350689,2833.8619730493388,True,156,619.1242260931193,4794.767563383872
156,2020-06-26,439,190.7740281350689,2833.8619730493388,True,157,653.1992163138098,4794.767563383872
157,2020-06-27,469,190.7740281350689,2833.8619730493388,True,158,688.8937027883017,4794.767563383872
158,2020-06-28,481,190.7740281350689,2833.8619730493388,True,159,726.2562382972226,4794.767563383872
159,2020-06-29,501,190.7740281350689,2833.8619730493388,True,160,765.3336619336955,4794.767563383872
160,2020-06-30,548,190.7740281350689,2833.8619730493388,True,161,806.1706805647194,4794.767563383872
161,2020-07-01,576,190.7740281350689,2833.8619730493388,True,162,848.8094229271259,4794.767563383872
162,2020-07-02,616,190.7740281350689,2833.8619730493388,True,163,893.288968296406,4794.767563383872
163,2020-07-03,663,190.7740281350689,2833.8619730493388,True,164,939.6448523614697,4794.767563383872
164,2020-07-04,720,190.7740281350689,2833.8619730493388,True,165,987.9085536891472,4794.767563383872
165,2020-07-05,781,190.7740281350689,2833.8619730493388,True,166,1038.1069649588503,4794.767563383872
166,2020-07-06,841,190.7740281350689,2833.8619730493388,True,167,1090.2618539761443,4794.767563383872
167,2020-07-07,907,190.7740281350689,2833.8619730493388,True,168,1144.389320316758,4794.767563383872
168,2020-07-08,960,190.7740281350689,2833.8619730493388,True,169,1200.4992542880123,4794.767563383872
169,2020-07-09,1019,190.7740281350689,2833.8619730493388,True,170,1258.5948056980283,4794.767563383872
170,2020-07-10,1019,190.7740281350689,2833.8619730493388,True,171,1318.671870665531,4794.767563383872
171,2020-07-11,1164,190.7740281350689,2833.8619730493388,True,172,1380.7186053536961,4794.767563383872
172,2020-07-12,1221,190.7740281350689,2833.8619730493388,True,173,1444.7149760368575,4794.767563383872
173,2020-07-13,1287,190.7740281350689,2833.8619730493388,True,174,1510.6323552750046,4794.767563383872
174,2020-07-14,1287,190.7740281350689,2833.8619730493388,True,175,1578.4331741445164,4794.767563383872
175,2020-07-15,1287,190.7740281350689,2833.8619730493388,True,176,1648.0706404228426,4794.767563383872
176,2020-07-16,1287,190.7740281350689,2833.8619730493388,True,177,1719.4885323227707,4794.767563383872
177,2020-07-17,1965,190.7740281350689,2833.8619730493388,True,178,1792.6210767964635,4794.767563383872
178,2020-07-18,2072,190.7740281350689,2833.8619730493388,True,179,1867.39292056696,4794.767563383872
179,2020-07-19,2188,190.7740281350689,2833.8619730493388,True,180,1943.7192008905129,4794.767563383872
180,2020-07-20,2188,190.7740281350689,2833.8619730493388,True,181,2021.5057216132561,4794.767563383872
181,2020-07-21,2381,190.7740281350689,2833.8619730493388,True,182,2100.6492383787845,4794.767563383872
182,2020-07-22,2472,190.7740281350689,2833.8619730493388,True,183,2181.0378548996728,4794.767563383872
183,2020-07-23,2569,190.7740281350689,2833.8619730493388,True,184,2262.5515300695606,4794.767563383872
184,2020-07-24,2665,190.7740281350689,2833.8619730493388,True,185,2345.0626934175116,4794.767563383872
185,2020-07-25,2747,190.7740281350689,2833.8619730493388,True,186,2428.4369640584946,4794.767563383872
186,2020-07-26,2799,190.7740281350689,2833.8619730493388,True,187,2512.5339659455517,4794.767563383872
187,2020-07-27,2893,190.7740281350689,2833.8619730493388,True,188,2597.208229958232,4794.767563383872
188,2020-07-28,2949,190.7740281350689,2833.8619730493388,True,189,2682.310171247762,4794.767563383872
189,2020-07-29,3016,190.7740281350689,2833.8619730493388,True,190,2767.6871283784494,4794.767563383872
190,2020-07-30,3016,190.7740281350689,2833.8619730493388,True,191,2853.184449228346,4794.767563383872
191,2020-07-31,3073,190.7740281350689,2833.8619730493388,True,192,2938.6466074003697,4794.767563383872
192,2020-08-01,3198,190.7740281350689,2833.8619730493388,True,193,3023.9183320961306,4794.767563383872
193,2020-08-02,3258,190.7740281350689,2833.8619730493388,True,194,3108.845734049886,4794.767563383872
194,2020-08-03,3301,190.7740281350689,2833.8619730493388,True,195,3193.277410224073,4794.767563383872
195,2020-08-04,3361,190.7740281350689,2833.8619730493388,True,196,3277.0655105262376,4794.767563383872
196,2020-08-05,3411,190.7740281350689,2833.8619730493388,True,197,3360.0667507975913,4794.767563383872
197,2020-08-06,3480,190.7740281350689,2833.8619730493388,True,198,3442.143357706962,4794.767563383872
198,2020-08-07,3549,190.7740281350689,2833.8619730493388,True,199,3523.163932906019,4794.767563383872
199,2020-08-08,3588,190.7740281350689,2833.8619730493388,True,200,3603.004225797372,4794.767563383872
200,2020-08-09,3618,190.7740281350689,2833.8619730493388,True,201,3681.5478064617573,4794.767563383872
201,2020-08-10,3696,190.7740281350689,2833.8619730493388,True,202,3758.6866326063755,4794.767563383872
202,2020-08-11,3748,190.7740281350689,2833.8619730493388,True,203,3834.321506753833,4794.767563383872
203,2020-08-12,3813,190.7740281350689,2833.8619730493388,True,204,3908.3624222147346,4794.767563383872
204,2020-08-13,3857,190.7740281350689,2833.8619730493388,True,205,3980.7287986067568,4794.767563383872
205,2020-08-14,3930,190.7740281350689,2833.8619730493388,True,206,4051.3496097383695,4794.767563383872
206,2020-08-15,3960,190.7740281350689,2833.8619730493388,True,207,4120.163408516668,4794.767563383872
207,2020-08-16,4035,190.7740281350689,2833.8619730493388,True,208,4187.118255128003,4794.767563383872
208,2020-08-17,4035,190.7740281350689,2833.8619730493388,True,209,4252.171556052488,4794.767563383872
