,Report_Date,Togo_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
34,2020-02-25,0,157.9054444931008,626.3767725496728,True,35,20.418238321972446,1108.3696957237375
35,2020-02-26,0,157.9054444931008,626.3767725496728,True,36,21.09923304339678,1108.3696957237375
36,2020-02-27,0,157.9054444931008,626.3767725496728,True,37,21.802538654111473,1108.3696957237375
37,2020-02-28,0,157.9054444931008,626.3767725496728,True,38,22.528858896404298,1108.3696957237375
38,2020-02-29,0,157.9054444931008,626.3767725496728,True,39,23.278917869312984,1108.3696957237375
39,2020-03-01,0,157.9054444931008,626.3767725496728,True,40,24.053460491687677,1108.3696957237375
40,2020-03-02,0,157.9054444931008,626.3767725496728,True,41,24.853252966785703,1108.3696957237375
41,2020-03-03,0,157.9054444931008,626.3767725496728,True,42,25.679083247623005,1108.3696957237375
42,2020-03-04,0,157.9054444931008,626.3767725496728,True,43,26.531761502237238,1108.3696957237375
43,2020-03-05,0,157.9054444931008,626.3767725496728,True,44,27.41212057794493,1108.3696957237375
44,2020-03-06,1,157.9054444931008,626.3767725496728,True,45,28.32101646359812,1108.3696957237375
45,2020-03-07,1,157.9054444931008,626.3767725496728,True,46,29.25932874876466,1108.3696957237375
46,2020-03-08,1,157.9054444931008,626.3767725496728,True,47,30.227961078671036,1108.3696957237375
47,2020-03-09,1,157.9054444931008,626.3767725496728,True,48,31.227841603656657,1108.3696957237375
48,2020-03-10,1,157.9054444931008,626.3767725496728,True,49,32.25992342179445,1108.3696957237375
49,2020-03-11,1,157.9054444931008,626.3767725496728,True,50,33.32518501323338,1108.3696957237375
50,2020-03-12,1,157.9054444931008,626.3767725496728,True,51,34.42463066471554,1108.3696957237375
51,2020-03-13,1,157.9054444931008,626.3767725496728,True,52,35.559290882611485,1108.3696957237375
52,2020-03-14,1,157.9054444931008,626.3767725496728,True,53,36.73022279270565,1108.3696957237375
53,2020-03-15,1,157.9054444931008,626.3767725496728,True,54,37.93851052484488,1108.3696957237375
54,2020-03-16,1,157.9054444931008,626.3767725496728,True,55,39.18526558044186,1108.3696957237375
55,2020-03-17,1,157.9054444931008,626.3767725496728,True,56,40.47162718069758,1108.3696957237375
56,2020-03-18,1,157.9054444931008,626.3767725496728,True,57,41.79876259327591,1108.3696957237375
57,2020-03-19,1,157.9054444931008,626.3767725496728,True,58,43.16786743502705,1108.3696957237375
58,2020-03-20,9,157.9054444931008,626.3767725496728,True,59,44.58016594821683,1108.3696957237375
59,2020-03-21,16,157.9054444931008,626.3767725496728,True,60,46.036911247574146,1108.3696957237375
60,2020-03-22,16,157.9054444931008,626.3767725496728,True,61,47.5393855353212,1108.3696957237375
61,2020-03-23,18,157.9054444931008,626.3767725496728,True,62,49.0889002811991,1108.3696957237375
62,2020-03-24,20,157.9054444931008,626.3767725496728,True,63,50.68679636434717,1108.3696957237375
63,2020-03-25,23,157.9054444931008,626.3767725496728,True,64,52.33444417373669,1108.3696957237375
64,2020-03-26,23,157.9054444931008,626.3767725496728,True,65,54.03324366370036,1108.3696957237375
65,2020-03-27,25,157.9054444931008,626.3767725496728,True,66,55.784624360937315,1108.3696957237375
66,2020-03-28,25,157.9054444931008,626.3767725496728,True,67,57.590045319212074,1108.3696957237375
67,2020-03-29,25,157.9054444931008,626.3767725496728,True,68,59.45099501780301,1108.3696957237375
68,2020-03-30,30,157.9054444931008,626.3767725496728,True,69,61.368991199594646,1108.3696957237375
69,2020-03-31,34,157.9054444931008,626.3767725496728,True,70,63.34558064454822,1108.3696957237375
70,2020-04-01,36,157.9054444931008,626.3767725496728,True,71,65.38233887412774,1108.3696957237375
71,2020-04-02,39,157.9054444931008,626.3767725496728,True,72,67.48086978210544,1108.3696957237375
72,2020-04-03,40,157.9054444931008,626.3767725496728,True,73,69.64280518702249,1108.3696957237375
73,2020-04-04,41,157.9054444931008,626.3767725496728,True,74,71.869804301439,1108.3696957237375
74,2020-04-05,44,157.9054444931008,626.3767725496728,True,75,74.16355311297472,1108.3696957237375
75,2020-04-06,58,157.9054444931008,626.3767725496728,True,76,76.52576367201708,1108.3696957237375
76,2020-04-07,65,157.9054444931008,626.3767725496728,True,77,78.95817328086223,1108.3696957237375
77,2020-04-08,70,157.9054444931008,626.3767725496728,True,78,81.46254357895617,1108.3696957237375
78,2020-04-09,73,157.9054444931008,626.3767725496728,True,79,84.04065951881972,1108.3696957237375
79,2020-04-10,76,157.9054444931008,626.3767725496728,True,80,86.69432822717732,1108.3696957237375
80,2020-04-11,76,157.9054444931008,626.3767725496728,True,81,89.42537774576417,1108.3696957237375
81,2020-04-12,76,157.9054444931008,626.3767725496728,True,82,92.23565564626544,1108.3696957237375
82,2020-04-13,77,157.9054444931008,626.3767725496728,True,83,95.12702751384427,1108.3696957237375
83,2020-04-14,77,157.9054444931008,626.3767725496728,True,84,98.10137529374796,1108.3696957237375
84,2020-04-15,81,157.9054444931008,626.3767725496728,True,85,101.1605954955447,1108.3696957237375
85,2020-04-16,81,157.9054444931008,626.3767725496728,True,86,104.30659724964038,1108.3696957237375
86,2020-04-17,83,157.9054444931008,626.3767725496728,True,87,107.54130021086,1108.3696957237375
