,Report_Date,Tajikistan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
20,2020-02-11,0,127.85190315727242,3131.5470868726275,True,21,0.4149758967880105,6201.12388359055
21,2020-02-12,0,127.85190315727242,3131.5470868726275,True,22,0.45407533147550816,6201.12388359055
22,2020-02-13,0,127.85190315727242,3131.5470868726275,True,23,0.4968584608496852,6201.12388359055
23,2020-02-14,0,127.85190315727242,3131.5470868726275,True,24,0.5436722810186208,6201.12388359055
24,2020-02-15,0,127.85190315727242,3131.5470868726275,True,25,0.594896462997539,6201.12388359055
25,2020-02-16,0,127.85190315727242,3131.5470868726275,True,26,0.6509464272979074,6201.12388359055
26,2020-02-17,0,127.85190315727242,3131.5470868726275,True,27,0.7122767073810337,6201.12388359055
27,2020-02-18,0,127.85190315727242,3131.5470868726275,True,28,0.7793846290281439,6201.12388359055
28,2020-02-19,0,127.85190315727242,3131.5470868726275,True,29,0.8528143351950642,6201.12388359055
29,2020-02-20,0,127.85190315727242,3131.5470868726275,True,30,0.9331611886663397,6201.12388359055
30,2020-02-21,0,127.85190315727242,3131.5470868726275,True,31,1.0210765878214003,6201.12388359055
31,2020-02-22,0,127.85190315727242,3131.5470868726275,True,32,1.117273234096359,6201.12388359055
32,2020-02-23,0,127.85190315727242,3131.5470868726275,True,33,1.2225308932930739,6201.12388359055
33,2020-02-24,0,127.85190315727242,3131.5470868726275,True,34,1.3377026967780932,6201.12388359055
34,2020-02-25,0,127.85190315727242,3131.5470868726275,True,35,1.463722032855795,6201.12388359055
35,2020-02-26,0,127.85190315727242,3131.5470868726275,True,36,1.6016100832223692,6201.12388359055
36,2020-02-27,0,127.85190315727242,3131.5470868726275,True,37,1.752484064442433,6201.12388359055
37,2020-02-28,0,127.85190315727242,3131.5470868726275,True,38,1.9175662398723545,6201.12388359055
38,2020-02-29,0,127.85190315727242,3131.5470868726275,True,39,2.0981937734207112,6201.12388359055
39,2020-03-01,0,127.85190315727242,3131.5470868726275,True,40,2.2958295030258182,6201.12388359055
40,2020-03-02,0,127.85190315727242,3131.5470868726275,True,41,2.5120737187846647,6201.12388359055
41,2020-03-03,0,127.85190315727242,3131.5470868726275,True,42,2.7486770383310075,6201.12388359055
42,2020-03-04,0,127.85190315727242,3131.5470868726275,True,43,3.007554480379187,6201.12388359055
43,2020-03-05,0,127.85190315727242,3131.5470868726275,True,44,3.2908008463732847,6201.12388359055
44,2020-03-06,0,127.85190315727242,3131.5470868726275,True,45,3.6007075299593008,6201.12388359055
45,2020-03-07,0,127.85190315727242,3131.5470868726275,True,46,3.9397808845835773,6201.12388359055
46,2020-03-08,0,127.85190315727242,3131.5470868726275,True,47,4.310762290967853,6201.12388359055
47,2020-03-09,0,127.85190315727242,3131.5470868726275,True,48,4.716650078574484,6201.12388359055
48,2020-03-10,0,127.85190315727242,3131.5470868726275,True,49,5.160723468509779,6201.12388359055
