,Report_Date,Papua New Guinea_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
46,2020-03-08,0,84.6778184265611,4.418936372639626,True,47,0.05235910009375512,8.837848929073347
47,2020-03-09,0,84.6778184265611,4.418936372639626,True,48,0.059932854016819186,8.837848929073347
48,2020-03-10,0,84.6778184265611,4.418936372639626,True,49,0.06859359935022638,8.837848929073347
49,2020-03-11,0,84.6778184265611,4.418936372639626,True,50,0.07849469548479215,8.837848929073347
50,2020-03-12,0,84.6778184265611,4.418936372639626,True,51,0.08981032178956298,8.837848929073347
51,2020-03-13,0,84.6778184265611,4.418936372639626,True,52,0.10273805177854127,8.837848929073347
52,2020-03-14,0,84.6778184265611,4.418936372639626,True,53,0.11750166660033937,8.837848929073347
53,2020-03-15,0,84.6778184265611,4.418936372639626,True,54,0.13435420399922002,8.837848929073347
54,2020-03-16,0,84.6778184265611,4.418936372639626,True,55,0.15358122798273335,8.837848929073347
55,2020-03-17,0,84.6778184265611,4.418936372639626,True,56,0.17550428950237085,8.837848929073347
56,2020-03-18,0,84.6778184265611,4.418936372639626,True,57,0.20048452852691406,8.837848929073347
57,2020-03-19,0,84.6778184265611,4.418936372639626,True,58,0.22892634186432223,8.837848929073347
58,2020-03-20,1,84.6778184265611,4.418936372639626,True,59,0.26128100779831753,8.837848929073347
59,2020-03-21,1,84.6778184265611,4.418936372639626,True,60,0.29805011690202854,8.837848929073347
60,2020-03-22,1,84.6778184265611,4.418936372639626,True,61,0.33978860729711313,8.837848929073347
61,2020-03-23,1,84.6778184265611,4.418936372639626,True,62,0.3871071415747638,8.837848929073347
62,2020-03-24,1,84.6778184265611,4.418936372639626,True,63,0.44067349176972576,8.837848929073347
63,2020-03-25,1,84.6778184265611,4.418936372639626,True,64,0.5012125195932846,8.837848929073347
64,2020-03-26,1,84.6778184265611,4.418936372639626,True,65,0.569504254847119,8.837848929073347
65,2020-03-27,1,84.6778184265611,4.418936372639626,True,66,0.6463794914177925,8.837848929073347
66,2020-03-28,1,84.6778184265611,4.418936372639626,True,67,0.7327122467829892,8.837848929073347
67,2020-03-29,1,84.6778184265611,4.418936372639626,True,68,0.829408381056852,8.837848929073347
68,2020-03-30,1,84.6778184265611,4.418936372639626,True,69,0.9373896635224384,8.837848929073347
69,2020-03-31,1,84.6778184265611,4.418936372639626,True,70,1.0575726312795466,8.837848929073347
70,2020-04-01,1,84.6778184265611,4.418936372639626,True,71,1.1908417325509626,8.837848929073347
71,2020-04-02,1,84.6778184265611,4.418936372639626,True,72,1.3380165136068793,8.837848929073347
