,Report_Date,Morocco_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
69,2020-03-31,617,303.62436286800727,306989.0026468918,True,70,996.2348769869313,461777.8142659025
70,2020-04-01,654,303.62436286800727,306989.0026468918,True,71,1023.9539769820097,461777.8142659025
71,2020-04-02,708,303.62436286800727,306989.0026468918,True,72,1052.4430051600932,461777.8142659025
72,2020-04-03,791,303.62436286800727,306989.0026468918,True,73,1081.723272410743,461777.8142659025
73,2020-04-04,919,303.62436286800727,306989.0026468918,True,74,1111.816675274895,461777.8142659025
74,2020-04-05,1021,303.62436286800727,306989.0026468918,True,75,1142.745711801442,461777.8142659025
75,2020-04-06,1120,303.62436286800727,306989.0026468918,True,76,1174.5334978196613,461777.8142659025
76,2020-04-07,1184,303.62436286800727,306989.0026468918,True,77,1207.203783637634,461777.8142659025
77,2020-04-08,1275,303.62436286800727,306989.0026468918,True,78,1240.7809711769821,461777.8142659025
78,2020-04-09,1374,303.62436286800727,306989.0026468918,True,79,1275.2901315544766,461777.8142659025
79,2020-04-10,1448,303.62436286800727,306989.0026468918,True,80,1310.7570231212574,461777.8142659025
80,2020-04-11,1545,303.62436286800727,306989.0026468918,True,81,1347.2081099706168,461777.8142659025
81,2020-04-12,1661,303.62436286800727,306989.0026468918,True,82,1384.670580925508,461777.8142659025
82,2020-04-13,1763,303.62436286800727,306989.0026468918,True,83,1423.1723690171355,461777.8142659025
83,2020-04-14,1888,303.62436286800727,306989.0026468918,True,84,1462.7421714662098,461777.8142659025
84,2020-04-15,2024,303.62436286800727,306989.0026468918,True,85,1503.4094701786235,461777.8142659025
85,2020-04-16,2283,303.62436286800727,306989.0026468918,True,86,1545.2045527675493,461777.8142659025
86,2020-04-17,2564,303.62436286800727,306989.0026468918,True,87,1588.1585341141345,461777.8142659025
87,2020-04-18,2685,303.62436286800727,306989.0026468918,True,88,1632.3033784791821,461777.8142659025
88,2020-04-19,2855,303.62436286800727,306989.0026468918,True,89,1677.6719221784138,461777.8142659025
89,2020-04-20,3046,303.62436286800727,306989.0026468918,True,90,1724.2978968340954,461777.8142659025
90,2020-04-21,3209,303.62436286800727,306989.0026468918,True,91,1772.2159532160233,461777.8142659025
91,2020-04-22,3446,303.62436286800727,306989.0026468918,True,92,1821.4616856850391,461777.8142659025
92,2020-04-23,3568,303.62436286800727,306989.0026468918,True,93,1872.0716572524493,461777.8142659025
93,2020-04-24,3758,303.62436286800727,306989.0026468918,True,94,1924.0834252689053,461777.8142659025
94,2020-04-25,3897,303.62436286800727,306989.0026468918,True,95,1977.535567756475,461777.8142659025
95,2020-04-26,4065,303.62436286800727,306989.0026468918,True,96,2032.467710397823,461777.8142659025
96,2020-04-27,4120,303.62436286800727,306989.0026468918,True,97,2088.9205541965734,461777.8142659025
97,2020-04-28,4252,303.62436286800727,306989.0026468918,True,98,2146.935903823107,461777.8142659025
98,2020-04-29,4321,303.62436286800727,306989.0026468918,True,99,2206.5566966601764,461777.8142659025
99,2020-04-30,4423,303.62436286800727,306989.0026468918,True,100,2267.8270325628955,461777.8142659025
100,2020-05-01,4569,303.62436286800727,306989.0026468918,True,101,2330.7922043477743,461777.8142659025
101,2020-05-02,4729,303.62436286800727,306989.0026468918,True,102,2395.4987290256076,461777.8142659025
102,2020-05-03,4903,303.62436286800727,306989.0026468918,True,103,2461.994379793127,461777.8142659025
103,2020-05-04,5053,303.62436286800727,306989.0026468918,True,104,2530.3282187984573,461777.8142659025
104,2020-05-05,5219,303.62436286800727,306989.0026468918,True,105,2600.5506306954703,461777.8142659025
105,2020-05-06,5408,303.62436286800727,306989.0026468918,True,106,2672.7133570022197,461777.8142659025
106,2020-05-07,5548,303.62436286800727,306989.0026468918,True,107,2746.86953127871,461777.8142659025
107,2020-05-08,5711,303.62436286800727,306989.0026468918,True,108,2823.0737151392577,461777.8142659025
108,2020-05-09,5910,303.62436286800727,306989.0026468918,True,109,2901.3819351147754,461777.8142659025
109,2020-05-10,6063,303.62436286800727,306989.0026468918,True,110,2981.851720380242,461777.8142659025
110,2020-05-11,6281,303.62436286800727,306989.0026468918,True,111,3064.542141362673,461777.8142659025
111,2020-05-12,6418,303.62436286800727,306989.0026468918,True,112,3149.5138492447995,461777.8142659025
112,2020-05-13,6512,303.62436286800727,306989.0026468918,True,113,3236.829116379626,461777.8142659025
113,2020-05-14,6607,303.62436286800727,306989.0026468918,True,114,3326.5518776309373,461777.8142659025
114,2020-05-15,6652,303.62436286800727,306989.0026468918,True,115,3418.747772654669,461777.8142659025
115,2020-05-16,6741,303.62436286800727,306989.0026468918,True,116,3513.484189135939,461777.8142659025
116,2020-05-17,6870,303.62436286800727,306989.0026468918,True,117,3610.8303069963004,461777.8142659025
117,2020-05-18,6952,303.62436286800727,306989.0026468918,True,118,3710.8571435855865,461777.8142659025
118,2020-05-19,7023,303.62436286800727,306989.0026468918,True,119,3813.6375998724056,461777.8142659025
119,2020-05-20,7133,303.62436286800727,306989.0026468918,True,120,3919.246507647084,461777.8142659025
120,2020-05-21,7211,303.62436286800727,306989.0026468918,True,121,4027.7606777504507,461777.8142659025
121,2020-05-22,7332,303.62436286800727,306989.0026468918,True,122,4139.2589493415035,461777.8142659025
122,2020-05-23,7406,303.62436286800727,306989.0026468918,True,123,4253.82224021651,461777.8142659025
123,2020-05-24,7433,303.62436286800727,306989.0026468918,True,124,4371.533598191606,461777.8142659025
124,2020-05-25,7532,303.62436286800727,306989.0026468918,True,125,4492.478253560412,461777.8142659025
125,2020-05-26,7577,303.62436286800727,306989.0026468918,True,126,4616.743672637531,461777.8142659025
126,2020-05-27,7601,303.62436286800727,306989.0026468918,True,127,4744.419612398143,461777.8142659025
127,2020-05-28,7643,303.62436286800727,306989.0026468918,True,128,4875.59817622315,461777.8142659025
128,2020-05-29,7714,303.62436286800727,306989.0026468918,True,129,5010.3738707584935,461777.8142659025
129,2020-05-30,7780,303.62436286800727,306989.0026468918,True,130,5148.84366389637,461777.8142659025
130,2020-05-31,7807,303.62436286800727,306989.0026468918,True,131,5291.10704388514,461777.8142659025
131,2020-06-01,7833,303.62436286800727,306989.0026468918,True,132,5437.266079573579,461777.8142659025
132,2020-06-02,7866,303.62436286800727,306989.0026468918,True,133,5587.425481794051,461777.8142659025
133,2020-06-03,7922,303.62436286800727,306989.0026468918,True,134,5741.692665887902,461777.8142659025
134,2020-06-04,8003,303.62436286800727,306989.0026468918,True,135,5900.177815375027,461777.8142659025
135,2020-06-05,8071,303.62436286800727,306989.0026468918,True,136,6062.99394676813,461777.8142659025
136,2020-06-06,8151,303.62436286800727,306989.0026468918,True,137,6230.256975530643,461777.8142659025
137,2020-06-07,8224,303.62436286800727,306989.0026468918,True,138,6402.085783175578,461777.8142659025
138,2020-06-08,8302,303.62436286800727,306989.0026468918,True,139,6578.602285500815,461777.8142659025
139,2020-06-09,8437,303.62436286800727,306989.0026468918,True,140,6759.931501954367,461777.8142659025
140,2020-06-10,8508,303.62436286800727,306989.0026468918,True,141,6946.201626121177,461777.8142659025
141,2020-06-11,8537,303.62436286800727,306989.0026468918,True,142,7137.54409732072,461777.8142659025
142,2020-06-12,8610,303.62436286800727,306989.0026468918,True,143,7334.093673302402,461777.8142659025
143,2020-06-13,8692,303.62436286800727,306989.0026468918,True,144,7535.988504023203,461777.8142659025
144,2020-06-14,8793,303.62436286800727,306989.0026468918,True,145,7743.370206489376,461777.8142659025
145,2020-06-15,8885,303.62436286800727,306989.0026468918,True,146,7956.383940641162,461777.8142659025
146,2020-06-16,8931,303.62436286800727,306989.0026468918,True,147,8175.178486256466,461777.8142659025
147,2020-06-17,8997,303.62436286800727,306989.0026468918,True,148,8399.906320846283,461777.8142659025
148,2020-06-18,9074,303.62436286800727,306989.0026468918,True,149,8630.723698511147,461777.8142659025
149,2020-06-19,9613,303.62436286800727,306989.0026468918,True,150,8867.790729724506,461777.8142659025
150,2020-06-20,9839,303.62436286800727,306989.0026468918,True,151,9111.271462004792,461777.8142659025
