,Report_Date,Vietnam_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
96,2020-04-27,270,202.78253266032883,752.4758076490383,True,97,177.7298444395638,1408.7561475022214
97,2020-04-28,270,202.78253266032883,752.4758076490383,True,98,180.73065887447186,1408.7561475022214
98,2020-04-29,270,202.78253266032883,752.4758076490383,True,99,183.77512392047498,1408.7561475022214
99,2020-04-30,270,202.78253266032883,752.4758076490383,True,100,186.86363700997285,1408.7561475022214
100,2020-05-01,270,202.78253266032883,752.4758076490383,True,101,189.99659101635768,1408.7561475022214
101,2020-05-02,270,202.78253266032883,752.4758076490383,True,102,193.1743739153735,1408.7561475022214
102,2020-05-03,271,202.78253266032883,752.4758076490383,True,103,196.39736843912743,1408.7561475022214
103,2020-05-04,271,202.78253266032883,752.4758076490383,True,104,199.66595172286273,1408.7561475022214
104,2020-05-05,271,202.78253266032883,752.4758076490383,True,105,202.9804949446161,1408.7561475022214
105,2020-05-06,271,202.78253266032883,752.4758076490383,True,106,206.34136295790006,1408.7561475022214
106,2020-05-07,288,202.78253266032883,752.4758076490383,True,107,209.74891391756773,1408.7561475022214
107,2020-05-08,288,202.78253266032883,752.4758076490383,True,108,213.2034988990345,1408.7561475022214
108,2020-05-09,288,202.78253266032883,752.4758076490383,True,109,216.70546151104801,1408.7561475022214
109,2020-05-10,288,202.78253266032883,752.4758076490383,True,110,220.25513750221864,1408.7561475022214
110,2020-05-11,288,202.78253266032883,752.4758076490383,True,111,223.85285436153916,1408.7561475022214
111,2020-05-12,288,202.78253266032883,752.4758076490383,True,112,227.49893091314203,1408.7561475022214
112,2020-05-13,288,202.78253266032883,752.4758076490383,True,113,231.19367690556456,1408.7561475022214
113,2020-05-14,312,202.78253266032883,752.4758076490383,True,114,234.93739259580778,1408.7561475022214
114,2020-05-15,314,202.78253266032883,752.4758076490383,True,115,238.73036832850096,1408.7561475022214
115,2020-05-16,318,202.78253266032883,752.4758076490383,True,116,242.57288411049984,1408.7561475022214
116,2020-05-17,320,202.78253266032883,752.4758076490383,True,117,246.46520918126959,1408.7561475022214
117,2020-05-18,324,202.78253266032883,752.4758076490383,True,118,250.40760157942572,1408.7561475022214
118,2020-05-19,324,202.78253266032883,752.4758076490383,True,119,254.40030770582473,1408.7561475022214
119,2020-05-20,324,202.78253266032883,752.4758076490383,True,120,258.44356188362224,1408.7561475022214
120,2020-05-21,324,202.78253266032883,752.4758076490383,True,121,262.5375859157333,1408.7561475022214
121,2020-05-22,324,202.78253266032883,752.4758076490383,True,122,266.6825886401564,1408.7561475022214
122,2020-05-23,325,202.78253266032883,752.4758076490383,True,123,270.87876548363874,1408.7561475022214
123,2020-05-24,325,202.78253266032883,752.4758076490383,True,124,275.12629801418916,1408.7561475022214
124,2020-05-25,326,202.78253266032883,752.4758076490383,True,125,279.42535349295946,1408.7561475022214
125,2020-05-26,327,202.78253266032883,752.4758076490383,True,126,283.77608442604225,1408.7561475022214
126,2020-05-27,327,202.78253266032883,752.4758076490383,True,127,288.17862811675155,1408.7561475022214
127,2020-05-28,327,202.78253266032883,752.4758076490383,True,128,292.63310621897307,1408.7561475022214
128,2020-05-29,328,202.78253266032883,752.4758076490383,True,129,297.13962429219424,1408.7561475022214
129,2020-05-30,328,202.78253266032883,752.4758076490383,True,130,301.6982713588413,1408.7561475022214
130,2020-05-31,328,202.78253266032883,752.4758076490383,True,131,306.30911946457184,1408.7561475022214
131,2020-06-01,328,202.78253266032883,752.4758076490383,True,132,310.97222324218967,1408.7561475022214
132,2020-06-02,328,202.78253266032883,752.4758076490383,True,133,315.68761947986644,1408.7561475022214
133,2020-06-03,328,202.78253266032883,752.4758076490383,True,134,320.4553266943732,1408.7561475022214
134,2020-06-04,328,202.78253266032883,752.4758076490383,True,135,325.2753447100408,1408.7561475022214
135,2020-06-05,328,202.78253266032883,752.4758076490383,True,136,330.14765424418306,1408.7561475022214
136,2020-06-06,329,202.78253266032883,752.4758076490383,True,137,335.0722164997318,1408.7561475022214
137,2020-06-07,331,202.78253266032883,752.4758076490383,True,138,340.0489727658461,1408.7561475022214
138,2020-06-08,332,202.78253266032883,752.4758076490383,True,139,345.0778440272707,1408.7561475022214
139,2020-06-09,332,202.78253266032883,752.4758076490383,True,140,350.1587305832285,1408.7561475022214
140,2020-06-10,332,202.78253266032883,752.4758076490383,True,141,355.2915116766413,1408.7561475022214
141,2020-06-11,332,202.78253266032883,752.4758076490383,True,142,360.47604513448226,1408.7561475022214
142,2020-06-12,333,202.78253266032883,752.4758076490383,True,143,365.7121670200683,1408.7561475022214
143,2020-06-13,334,202.78253266032883,752.4758076490383,True,144,370.9996912981077,1408.7561475022214
144,2020-06-14,334,202.78253266032883,752.4758076490383,True,145,376.3384095133164,1408.7561475022214
145,2020-06-15,334,202.78253266032883,752.4758076490383,True,146,381.72809048342526,1408.7561475022214
146,2020-06-16,334,202.78253266032883,752.4758076490383,True,147,387.1684800073903,1408.7561475022214
147,2020-06-17,335,202.78253266032883,752.4758076490383,True,148,392.6593005896246,1408.7561475022214
148,2020-06-18,342,202.78253266032883,752.4758076490383,True,149,398.200251181059,1408.7561475022214
149,2020-06-19,349,202.78253266032883,752.4758076490383,True,150,403.7910069378343,1408.7561475022214
150,2020-06-20,349,202.78253266032883,752.4758076490383,True,151,409.43121899842106,1408.7561475022214
151,2020-06-21,349,202.78253266032883,752.4758076490383,True,152,415.1205142799449,1408.7561475022214
152,2020-06-22,349,202.78253266032883,752.4758076490383,True,153,420.85849529449195,1408.7561475022214
153,2020-06-23,349,202.78253266032883,752.4758076490383,True,154,426.64473998614284,1408.7561475022214
154,2020-06-24,352,202.78253266032883,752.4758076490383,True,155,432.4788015894732,1408.7561475022214
155,2020-06-25,352,202.78253266032883,752.4758076490383,True,156,438.36020851023466,1408.7561475022214
156,2020-06-26,353,202.78253266032883,752.4758076490383,True,157,444.28846422890643,1408.7561475022214
157,2020-06-27,355,202.78253266032883,752.4758076490383,True,158,450.2630472277875,1408.7561475022214
158,2020-06-28,355,202.78253266032883,752.4758076490383,True,159,456.28341094226437,1408.7561475022214
159,2020-06-29,355,202.78253266032883,752.4758076490383,True,160,462.34898373686667,1408.7561475022214
160,2020-06-30,355,202.78253266032883,752.4758076490383,True,161,468.4591689066844,1408.7561475022214
161,2020-07-01,355,202.78253266032883,752.4758076490383,True,162,474.6133447046901,1408.7561475022214
162,2020-07-02,355,202.78253266032883,752.4758076490383,True,163,480.8108643954711,1408.7561475022214
163,2020-07-03,355,202.78253266032883,752.4758076490383,True,164,487.05105633583497,1408.7561475022214
164,2020-07-04,355,202.78253266032883,752.4758076490383,True,165,493.3332240827149,1408.7561475022214
165,2020-07-05,355,202.78253266032883,752.4758076490383,True,166,499.65664652875273,1408.7561475022214
166,2020-07-06,369,202.78253266032883,752.4758076490383,True,167,506.02057806589653,1408.7561475022214
167,2020-07-07,369,202.78253266032883,752.4758076490383,True,168,512.4242487772972,1408.7561475022214
168,2020-07-08,369,202.78253266032883,752.4758076490383,True,169,518.8668646577431,1408.7561475022214
169,2020-07-09,369,202.78253266032883,752.4758076490383,True,170,525.3476078628187,1408.7561475022214
170,2020-07-10,370,202.78253266032883,752.4758076490383,True,171,531.8656369869177,1408.7561475022214
171,2020-07-11,370,202.78253266032883,752.4758076490383,True,172,538.4200873701924,1408.7561475022214
172,2020-07-12,372,202.78253266032883,752.4758076490383,True,173,545.0100714344599,1408.7561475022214
173,2020-07-13,373,202.78253266032883,752.4758076490383,True,174,551.6346790480299,1408.7561475022214
174,2020-07-14,373,202.78253266032883,752.4758076490383,True,175,558.2929779193632,1408.7561475022214
175,2020-07-15,381,202.78253266032883,752.4758076490383,True,176,564.9840140194062,1408.7561475022214
176,2020-07-16,381,202.78253266032883,752.4758076490383,True,177,571.7068120323906,1408.7561475022214
177,2020-07-17,382,202.78253266032883,752.4758076490383,True,178,578.4603758348267,1408.7561475022214
178,2020-07-18,382,202.78253266032883,752.4758076490383,True,179,585.2436890023538,1408.7561475022214
179,2020-07-19,383,202.78253266032883,752.4758076490383,True,180,592.0557153440557,1408.7561475022214
180,2020-07-20,384,202.78253266032883,752.4758076490383,True,181,598.8953994637832,1408.7561475022214
181,2020-07-21,401,202.78253266032883,752.4758076490383,True,182,605.7616673479683,1408.7561475022214
182,2020-07-22,408,202.78253266032883,752.4758076490383,True,183,612.6534269793515,1408.7561475022214
183,2020-07-23,412,202.78253266032883,752.4758076490383,True,184,619.5695689759846,1408.7561475022214
184,2020-07-24,415,202.78253266032883,752.4758076490383,True,185,626.508967254812,1408.7561475022214
185,2020-07-25,417,202.78253266032883,752.4758076490383,True,186,633.4704797190768,1408.7561475022214
186,2020-07-26,420,202.78253266032883,752.4758076490383,True,187,640.4529489687365,1408.7561475022214
187,2020-07-27,431,202.78253266032883,752.4758076490383,True,188,647.4552030330244,1408.7561475022214
188,2020-07-28,446,202.78253266032883,752.4758076490383,True,189,654.476056124231,1408.7561475022214
189,2020-07-29,459,202.78253266032883,752.4758076490383,True,190,661.514309411734,1408.7561475022214
190,2020-07-30,509,202.78253266032883,752.4758076490383,True,191,668.5687518152504,1408.7561475022214
191,2020-07-31,558,202.78253266032883,752.4758076490383,True,192,675.6381608162415,1408.7561475022214
