,Report_Date,San Marino_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
36,2020-02-27,1,68.34740805628621,223.08699865033225,True,37,18.690374129704324,422.0254465362912
37,2020-02-28,1,68.34740805628621,223.08699865033225,True,38,20.562429246200857,422.0254465362912
38,2020-02-29,1,68.34740805628621,223.08699865033225,True,39,22.612073764817964,422.0254465362912
39,2020-03-01,1,68.34740805628621,223.08699865033225,True,40,24.85409427741879,422.0254465362912
40,2020-03-02,8,68.34740805628621,223.08699865033225,True,41,27.304084327022636,422.0254465362912
41,2020-03-03,10,68.34740805628621,223.08699865033225,True,42,29.978397805764946,422.0254465362912
42,2020-03-04,16,68.34740805628621,223.08699865033225,True,43,32.89407832109165,422.0254465362912
43,2020-03-05,21,68.34740805628621,223.08699865033225,True,44,36.06876046869945,422.0254465362912
44,2020-03-06,21,68.34740805628621,223.08699865033225,True,45,39.52053881922464,422.0254465362912
45,2020-03-07,23,68.34740805628621,223.08699865033225,True,46,43.267800454390695,422.0254465362912
46,2020-03-08,36,68.34740805628621,223.08699865033225,True,47,47.32901713386019,422.0254465362912
47,2020-03-09,36,68.34740805628621,223.08699865033225,True,48,51.72249369893617,422.0254465362912
48,2020-03-10,51,68.34740805628621,223.08699865033225,True,49,56.46607018860424,422.0254465362912
49,2020-03-11,62,68.34740805628621,223.08699865033225,True,50,61.57677641943851,422.0254465362912
50,2020-03-12,69,68.34740805628621,223.08699865033225,True,51,67.07043951544823,422.0254465362912
51,2020-03-13,80,68.34740805628621,223.08699865033225,True,52,72.96124709852786,422.0254465362912
52,2020-03-14,80,68.34740805628621,223.08699865033225,True,53,79.26127156413338,422.0254465362912
53,2020-03-15,101,68.34740805628621,223.08699865033225,True,54,85.97996402419838,422.0254465362912
54,2020-03-16,109,68.34740805628621,223.08699865033225,True,55,93.12362999614477,422.0254465362912
55,2020-03-17,109,68.34740805628621,223.08699865033225,True,56,100.69490258070165,422.0254465362912
56,2020-03-18,119,68.34740805628621,223.08699865033225,True,57,108.69223245617404,422.0254465362912
57,2020-03-19,119,68.34740805628621,223.08699865033225,True,58,117.1094172065663,422.0254465362912
58,2020-03-20,144,68.34740805628621,223.08699865033225,True,59,125.93519492383945,422.0254465362912
59,2020-03-21,144,68.34740805628621,223.08699865033225,True,60,135.152928281538,422.0254465362912
60,2020-03-22,175,68.34740805628621,223.08699865033225,True,61,144.74040498389795,422.0254465362912
61,2020-03-23,187,68.34740805628621,223.08699865033225,True,62,154.66977833543615,422.0254465362912
62,2020-03-24,187,68.34740805628621,223.08699865033225,True,63,164.9076674625722,422.0254465362912
63,2020-03-25,208,68.34740805628621,223.08699865033225,True,64,175.41543044617498,422.0254465362912
64,2020-03-26,208,68.34740805628621,223.08699865033225,True,65,186.1496155125382,422.0254465362912
65,2020-03-27,223,68.34740805628621,223.08699865033225,True,66,197.06258594200625,422.0254465362912
66,2020-03-28,224,68.34740805628621,223.08699865033225,True,67,208.1033041740293,422.0254465362912
67,2020-03-29,224,68.34740805628621,223.08699865033225,True,68,219.21825056539723,422.0254465362912
68,2020-03-30,230,68.34740805628621,223.08699865033225,True,69,230.35244331935377,422.0254465362912
69,2020-03-31,236,68.34740805628621,223.08699865033225,True,70,241.45051913065413,422.0254465362912
70,2020-04-01,236,68.34740805628621,223.08699865033225,True,71,252.45782980735765,422.0254465362912
71,2020-04-02,245,68.34740805628621,223.08699865033225,True,72,263.3215089907492,422.0254465362912
72,2020-04-03,245,68.34740805628621,223.08699865033225,True,73,273.9914652232093,422.0254465362912
73,2020-04-04,259,68.34740805628621,223.08699865033225,True,74,284.4212627809447,422.0254465362912
74,2020-04-05,266,68.34740805628621,223.08699865033225,True,75,294.56885934750176,422.0254465362912
75,2020-04-06,266,68.34740805628621,223.08699865033225,True,76,304.3971789714927,422.0254465362912
76,2020-04-07,279,68.34740805628621,223.08699865033225,True,77,313.874508919057,422.0254465362912
77,2020-04-08,279,68.34740805628621,223.08699865033225,True,78,322.97471908483124,422.0254465362912
78,2020-04-09,333,68.34740805628621,223.08699865033225,True,79,331.6773117563569,422.0254465362912
79,2020-04-10,344,68.34740805628621,223.08699865033225,True,80,339.9673171149534,422.0254465362912
80,2020-04-11,356,68.34740805628621,223.08699865033225,True,81,347.83505551269025,422.0254465362912
81,2020-04-12,356,68.34740805628621,223.08699865033225,True,82,355.27579114162535,422.0254465362912
82,2020-04-13,356,68.34740805628621,223.08699865033225,True,83,362.28930327409313,422.0254465362912
83,2020-04-14,371,68.34740805628621,223.08699865033225,True,84,368.8794010351177,422.0254465362912
84,2020-04-15,372,68.34740805628621,223.08699865033225,True,85,375.053406012873,422.0254465362912
85,2020-04-16,426,68.34740805628621,223.08699865033225,True,86,380.82162431444607,422.0254465362912
86,2020-04-17,435,68.34740805628621,223.08699865033225,True,87,386.19682632652643,422.0254465362912
