,Report_Date,Slovenia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
87,2020-04-18,1317,69.78274823610604,754.0080364522464,True,88,1344.3881037217668,1508.011121450172
88,2020-04-19,1330,69.78274823610604,754.0080364522464,True,89,1360.5051355625935,1508.011121450172
89,2020-04-20,1335,69.78274823610604,754.0080364522464,True,90,1375.1915150149046,1508.011121450172
90,2020-04-21,1344,69.78274823610604,754.0080364522464,True,91,1388.5441013595457,1508.011121450172
91,2020-04-22,1353,69.78274823610604,754.0080364522464,True,92,1400.659168832559,1508.011121450172
92,2020-04-23,1366,69.78274823610604,754.0080364522464,True,93,1411.6309844178147,1508.011121450172
93,2020-04-24,1373,69.78274823610604,754.0080364522464,True,94,1421.5507074022466,1508.011121450172
94,2020-04-25,1388,69.78274823610604,754.0080364522464,True,95,1430.5055730389586,1508.011121450172
95,2020-04-26,1396,69.78274823610604,754.0080364522464,True,96,1438.5783208784135,1508.011121450172
96,2020-04-27,1402,69.78274823610604,754.0080364522464,True,97,1445.8468289579064,1508.011121450172
97,2020-04-28,1408,69.78274823610604,754.0080364522464,True,98,1452.3839173168324,1508.011121450172
98,2020-04-29,1418,69.78274823610604,754.0080364522464,True,99,1458.2572876000372,1508.011121450172
99,2020-04-30,1429,69.78274823610604,754.0080364522464,True,100,1463.529569333462,1508.011121450172
100,2020-05-01,1434,69.78274823610604,754.0080364522464,True,101,1468.2584474431685,1508.011121450172
101,2020-05-02,1439,69.78274823610604,754.0080364522464,True,102,1472.4968494880427,1508.011121450172
102,2020-05-03,1439,69.78274823610604,754.0080364522464,True,103,1476.2931747242574,1508.011121450172
103,2020-05-04,1439,69.78274823610604,754.0080364522464,True,104,1479.6915504208944,1508.011121450172
104,2020-05-05,1445,69.78274823610604,754.0080364522464,True,105,1482.7321037564966,1508.011121450172
105,2020-05-06,1448,69.78274823610604,754.0080364522464,True,106,1485.4512401369816,1508.011121450172
106,2020-05-07,1449,69.78274823610604,754.0080364522464,True,107,1487.8819209010808,1508.011121450172
107,2020-05-08,1450,69.78274823610604,754.0080364522464,True,108,1490.0539351494517,1508.011121450172
108,2020-05-09,1454,69.78274823610604,754.0080364522464,True,109,1491.9941618847542,1508.011121450172
109,2020-05-10,1457,69.78274823610604,754.0080364522464,True,110,1493.7268198220602,1508.011121450172
110,2020-05-11,1460,69.78274823610604,754.0080364522464,True,111,1495.273703161584,1508.011121450172
111,2020-05-12,1461,69.78274823610604,754.0080364522464,True,112,1496.654402346185,1508.011121450172
112,2020-05-13,1463,69.78274823610604,754.0080364522464,True,113,1497.8865093884467,1508.011121450172
113,2020-05-14,1464,69.78274823610604,754.0080364522464,True,114,1498.985807776413,1508.011121450172
114,2020-05-15,1465,69.78274823610604,754.0080364522464,True,115,1499.9664472794677,1508.011121450172
115,2020-05-16,1465,69.78274823610604,754.0080364522464,True,116,1500.841104198581,1508.011121450172
116,2020-05-17,1466,69.78274823610604,754.0080364522464,True,117,1501.621127756934,1508.011121450172
117,2020-05-18,1466,69.78274823610604,754.0080364522464,True,118,1502.316673423334,1508.011121450172
118,2020-05-19,1467,69.78274823610604,754.0080364522464,True,119,1502.9368240145086,1508.011121450172
119,2020-05-20,1468,69.78274823610604,754.0080364522464,True,120,1503.4896994437267,1508.011121450172
120,2020-05-21,1468,69.78274823610604,754.0080364522464,True,121,1503.9825559804738,1508.011121450172
121,2020-05-22,1468,69.78274823610604,754.0080364522464,True,122,1504.4218758657648,1508.011121450172
122,2020-05-23,1468,69.78274823610604,754.0080364522464,True,123,1504.8134480953076,1508.011121450172
123,2020-05-24,1468,69.78274823610604,754.0080364522464,True,124,1505.1624411421592,1508.011121450172
124,2020-05-25,1469,69.78274823610604,754.0080364522464,True,125,1505.473468344924,1508.011121450172
125,2020-05-26,1469,69.78274823610604,754.0080364522464,True,126,1505.7506466392604,1508.011121450172
126,2020-05-27,1471,69.78274823610604,754.0080364522464,True,127,1505.997649261286,1508.011121450172
127,2020-05-28,1473,69.78274823610604,754.0080364522464,True,128,1506.217753002712,1508.011121450172
128,2020-05-29,1473,69.78274823610604,754.0080364522464,True,129,1506.413880550113,1508.011121450172
129,2020-05-30,1473,69.78274823610604,754.0080364522464,True,130,1506.5886383952852,1508.011121450172
130,2020-05-31,1473,69.78274823610604,754.0080364522464,True,131,1506.744350760626,1508.011121450172
131,2020-06-01,1473,69.78274823610604,754.0080364522464,True,132,1506.8830899430575,1508.011121450172
132,2020-06-02,1475,69.78274823610604,754.0080364522464,True,133,1507.0067034424094,1508.011121450172
133,2020-06-03,1477,69.78274823610604,754.0080364522464,True,134,1507.116838205362,1508.011121450172
134,2020-06-04,1477,69.78274823610604,754.0080364522464,True,135,1507.2149622839725,1508.011121450172
135,2020-06-05,1479,69.78274823610604,754.0080364522464,True,136,1507.3023841784302,1508.011121450172
136,2020-06-06,1484,69.78274823610604,754.0080364522464,True,137,1507.380270106831,1508.011121450172
137,2020-06-07,1485,69.78274823610604,754.0080364522464,True,138,1507.4496594203063,1508.011121450172
138,2020-06-08,1485,69.78274823610604,754.0080364522464,True,139,1507.5114783596568,1508.011121450172
139,2020-06-09,1486,69.78274823610604,754.0080364522464,True,140,1507.5665523295183,1508.011121450172
140,2020-06-10,1488,69.78274823610604,754.0080364522464,True,141,1507.615616847906,1508.011121450172
141,2020-06-11,1488,69.78274823610604,754.0080364522464,True,142,1507.659327312583,1508.011121450172
142,2020-06-12,1490,69.78274823610604,754.0080364522464,True,143,1507.6982677108922,1508.011121450172
143,2020-06-13,1492,69.78274823610604,754.0080364522464,True,144,1507.7329583864093,1508.011121450172
144,2020-06-14,1495,69.78274823610604,754.0080364522464,True,145,1507.7638629637806,1508.011121450172
145,2020-06-15,1496,69.78274823610604,754.0080364522464,True,146,1507.7913945224047,1508.011121450172
146,2020-06-16,1499,69.78274823610604,754.0080364522464,True,147,1507.815921099951,1508.011121450172
147,2020-06-17,1503,69.78274823610604,754.0080364522464,True,148,1507.8377705980895,1508.011121450172
148,2020-06-18,1511,69.78274823610604,754.0080364522464,True,149,1507.8572351550617,1508.011121450172
149,2020-06-19,1513,69.78274823610604,754.0080364522464,True,150,1507.8745750428018,1508.011121450172
150,2020-06-20,1519,69.78274823610604,754.0080364522464,True,151,1507.8900221401127,1508.011121450172
151,2020-06-21,1520,69.78274823610604,754.0080364522464,True,152,1507.9037830278708,1508.011121450172
152,2020-06-22,1521,69.78274823610604,754.0080364522464,True,153,1507.9160417472697,1508.011121450172
153,2020-06-23,1534,69.78274823610604,754.0080364522464,True,154,1507.9269622576944,1508.011121450172
154,2020-06-24,1541,69.78274823610604,754.0080364522464,True,155,1507.9366906268592,1508.011121450172
155,2020-06-25,1547,69.78274823610604,754.0080364522464,True,156,1507.9453569823177,1508.011121450172
156,2020-06-26,1558,69.78274823610604,754.0080364522464,True,157,1507.9530772502924,1508.011121450172
157,2020-06-27,1572,69.78274823610604,754.0080364522464,True,158,1507.95995470497,1508.011121450172
158,2020-06-28,1581,69.78274823610604,754.0080364522464,True,159,1507.9660813488917,1508.011121450172
159,2020-06-29,1585,69.78274823610604,754.0080364522464,True,160,1507.9715391428226,1508.011121450172
160,2020-06-30,1600,69.78274823610604,754.0080364522464,True,161,1507.9764011015054,1508.011121450172
161,2020-07-01,1613,69.78274823610604,754.0080364522464,True,162,1507.980732269899,1508.011121450172
162,2020-07-02,1634,69.78274823610604,754.0080364522464,True,163,1507.9845905929312,1508.011121450172
163,2020-07-03,1650,69.78274823610604,754.0080364522464,True,164,1507.9880276903702,1508.011121450172
164,2020-07-04,1679,69.78274823610604,754.0080364522464,True,165,1507.9910895471587,1508.011121450172
165,2020-07-05,1700,69.78274823610604,754.0080364522464,True,166,1507.9938171284236,1508.011121450172
166,2020-07-06,1716,69.78274823610604,754.0080364522464,True,167,1507.996246927383,1508.011121450172
167,2020-07-07,1739,69.78274823610604,754.0080364522464,True,168,1507.9984114534616,1508.011121450172
168,2020-07-08,1763,69.78274823610604,754.0080364522464,True,169,1508.0003396671384,1508.011121450172
