,Report_Date,Bahrain_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
92,2020-04-23,2217,144.25469037306462,17631.943593133852,False,93,2170.486702969689,35263.88718626771
93,2020-04-24,2518,144.25469037306462,17631.943593133852,False,94,2281.312099905428,35263.88718626771
94,2020-04-25,2588,144.25469037306462,17631.943593133852,False,95,2397.3863213530785,35263.88718626771
95,2020-04-26,2647,144.25469037306462,17631.943593133852,False,96,2518.9154123612843,35263.88718626771
96,2020-04-27,2723,144.25469037306462,17631.943593133852,False,97,2646.109101396391,35263.88718626771
97,2020-04-28,2811,144.25469037306462,17631.943593133852,False,98,2779.180372133612,35263.88718626771
98,2020-04-29,2921,144.25469037306462,17631.943593133852,False,99,2918.3449721508628,35263.88718626771
99,2020-04-30,3040,144.25469037306462,17631.943593133852,False,100,3063.820854559601,35263.88718626771
100,2020-05-01,3170,144.25469037306462,17631.943593133852,False,101,3215.827548749054,35263.88718626771
101,2020-05-02,3284,144.25469037306462,17631.943593133852,False,102,3374.585456637111,35263.88718626771
102,2020-05-03,3383,144.25469037306462,17631.943593133852,False,103,3540.3150711224753,35263.88718626771
103,2020-05-04,3533,144.25469037306462,17631.943593133852,False,104,3713.236113828052,35263.88718626771
104,2020-05-05,3720,144.25469037306462,17631.943593133852,False,105,3893.566589724432,35263.88718626771
105,2020-05-06,3934,144.25469037306462,17631.943593133852,False,106,4081.521756833748,35263.88718626771
106,2020-05-07,4199,144.25469037306462,17631.943593133852,False,107,4277.313009946395,35263.88718626771
107,2020-05-08,4444,144.25469037306462,17631.943593133852,False,108,4481.146678142928,35263.88718626771
108,2020-05-09,4774,144.25469037306462,17631.943593133852,False,109,4693.222736906609,35263.88718626771
109,2020-05-10,4941,144.25469037306462,17631.943593133852,False,110,4913.733436741355,35263.88718626771
110,2020-05-11,5236,144.25469037306462,17631.943593133852,False,111,5142.861851476281,35263.88718626771
111,2020-05-12,5531,144.25469037306462,17631.943593133852,False,112,5380.780350838632,35263.88718626771
112,2020-05-13,5816,144.25469037306462,17631.943593133852,False,113,5627.649003405482,35263.88718626771
113,2020-05-14,6198,144.25469037306462,17631.943593133852,False,114,5883.613917690255,35263.88718626771
114,2020-05-15,6583,144.25469037306462,17631.943593133852,False,115,6148.805530867336,35263.88718626771
115,2020-05-16,6747,144.25469037306462,17631.943593133852,False,116,6423.336856465889,35263.88718626771
116,2020-05-17,6956,144.25469037306462,17631.943593133852,False,117,6707.301704245895,35263.88718626771
117,2020-05-18,7184,144.25469037306462,17631.943593133852,False,118,7000.772887372968,35263.88718626771
