,Report_Date,Cameroon_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
39,2020-03-01,0,77.37290022559388,605.8962462465853,True,40,4.6413680396101515,1140.449150087742
40,2020-03-02,0,77.37290022559388,605.8962462465853,True,41,5.38271420826966,1140.449150087742
41,2020-03-03,0,77.37290022559388,605.8962462465853,True,42,6.241860200324523,1140.449150087742
42,2020-03-04,0,77.37290022559388,605.8962462465853,True,43,7.237313586172024,1140.449150087742
43,2020-03-05,0,77.37290022559388,605.8962462465853,True,44,8.390417213083246,1140.449150087742
44,2020-03-06,1,77.37290022559388,605.8962462465853,True,45,9.725758652699588,1140.449150087742
45,2020-03-07,1,77.37290022559388,605.8962462465853,True,46,11.271630155060024,1140.449150087742
46,2020-03-08,2,77.37290022559388,605.8962462465853,True,47,13.060542259102725,1140.449150087742
47,2020-03-09,2,77.37290022559388,605.8962462465853,True,48,15.129793165915459,1140.449150087742
48,2020-03-10,2,77.37290022559388,605.8962462465853,True,49,17.52209432222216,1140.449150087742
49,2020-03-11,2,77.37290022559388,605.8962462465853,True,50,20.286250180013077,1140.449150087742
50,2020-03-12,2,77.37290022559388,605.8962462465853,True,51,23.477886537977323,1140.449150087742
51,2020-03-13,2,77.37290022559388,605.8962462465853,True,52,27.160216925089006,1140.449150087742
52,2020-03-14,2,77.37290022559388,605.8962462465853,True,53,31.404829802897243,1140.449150087742
53,2020-03-15,2,77.37290022559388,605.8962462465853,True,54,36.29247055386966,1140.449150087742
54,2020-03-16,4,77.37290022559388,605.8962462465853,True,55,41.913780898034126,1140.449150087742
55,2020-03-17,10,77.37290022559388,605.8962462465853,True,56,48.369944199492494,1140.449150087742
56,2020-03-18,10,77.37290022559388,605.8962462465853,True,57,55.77316788877121,1140.449150087742
57,2020-03-19,13,77.37290022559388,605.8962462465853,True,58,64.24691401338382,1140.449150087742
58,2020-03-20,20,77.37290022559388,605.8962462465853,True,59,73.92576628402823,1140.449150087742
59,2020-03-21,27,77.37290022559388,605.8962462465853,True,60,84.9547981796375,1140.449150087742
60,2020-03-22,40,77.37290022559388,605.8962462465853,True,61,97.48828401907943,1140.449150087742
61,2020-03-23,56,77.37290022559388,605.8962462465853,True,62,111.68757707689748,1140.449150087742
62,2020-03-24,66,77.37290022559388,605.8962462465853,True,63,127.71797114117955,1140.449150087742
63,2020-03-25,75,77.37290022559388,605.8962462465853,True,64,145.74437146173855,1140.449150087742
64,2020-03-26,75,77.37290022559388,605.8962462465853,True,65,165.92563637687002,1140.449150087742
65,2020-03-27,91,77.37290022559388,605.8962462465853,True,66,188.40752118955615,1140.449150087742
66,2020-03-28,91,77.37290022559388,605.8962462465853,True,67,213.31426907074066,1140.449150087742
67,2020-03-29,139,77.37290022559388,605.8962462465853,True,68,240.73905392490386,1140.449150087742
68,2020-03-30,139,77.37290022559388,605.8962462465853,True,69,270.7336836585547,1140.449150087742
69,2020-03-31,193,77.37290022559388,605.8962462465853,True,70,303.2982039672908,1140.449150087742
70,2020-04-01,233,77.37290022559388,605.8962462465853,True,71,338.3712729009665,1140.449150087742
71,2020-04-02,306,77.37290022559388,605.8962462465853,True,72,375.8223607644108,1140.449150087742
72,2020-04-03,509,77.37290022559388,605.8962462465853,True,73,415.4469141911058,1140.449150087742
73,2020-04-04,555,77.37290022559388,605.8962462465853,True,74,456.96555425225847,1140.449150087742
74,2020-04-05,650,77.37290022559388,605.8962462465853,True,75,500.02811991581723,1140.449150087742
75,2020-04-06,658,77.37290022559388,605.8962462465853,True,76,544.2229180477577,1140.449150087742
76,2020-04-07,658,77.37290022559388,605.8962462465853,True,77,589.0909441299326,1140.449150087742
77,2020-04-08,730,77.37290022559388,605.8962462465853,True,78,634.1441855866935,1140.449150087742
78,2020-04-09,730,77.37290022559388,605.8962462465853,True,79,678.8865346669852,1140.449150087742
79,2020-04-10,820,77.37290022559388,605.8962462465853,True,80,722.8354435763879,1140.449150087742
80,2020-04-11,820,77.37290022559388,605.8962462465853,True,81,765.5423397201827,1140.449150087742
81,2020-04-12,820,77.37290022559388,605.8962462465853,True,82,806.610010086495,1140.449150087742
82,2020-04-13,820,77.37290022559388,605.8962462465853,True,83,845.7056168930304,1140.449150087742
83,2020-04-14,848,77.37290022559388,605.8962462465853,True,84,882.568620962125,1140.449150087742
84,2020-04-15,848,77.37290022559388,605.8962462465853,True,85,917.0135383501339,1140.449150087742
85,2020-04-16,848,77.37290022559388,605.8962462465853,True,86,948.9280224042444,1140.449150087742
