,Report_Date,Greece_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
25,2020-02-16,0,68.22607866290299,1180.2471396996132,True,26,4.328001395548951,2303.320272267028
26,2020-02-17,0,68.22607866290299,1180.2471396996132,True,27,5.022864323332266,2303.320272267028
27,2020-02-18,0,68.22607866290299,1180.2471396996132,True,28,5.829011869874148,2303.320272267028
28,2020-02-19,0,68.22607866290299,1180.2471396996132,True,29,6.7641709907501255,2303.320272267028
29,2020-02-20,0,68.22607866290299,1180.2471396996132,True,30,7.8488593173979675,2303.320272267028
30,2020-02-21,0,68.22607866290299,1180.2471396996132,True,31,9.10681301312244,2303.320272267028
31,2020-02-22,0,68.22607866290299,1180.2471396996132,True,32,10.565476243345007,2303.320272267028
32,2020-02-23,0,68.22607866290299,1180.2471396996132,True,33,12.256559732012233,2303.320272267028
33,2020-02-24,0,68.22607866290299,1180.2471396996132,True,34,14.21667626851049,2303.320272267028
34,2020-02-25,0,68.22607866290299,1180.2471396996132,True,35,16.488061224950382,2303.320272267028
35,2020-02-26,1,68.22607866290299,1180.2471396996132,True,36,19.11938603184058,2303.320272267028
36,2020-02-27,3,68.22607866290299,1180.2471396996132,True,37,22.166671991587297,2303.320272267028
37,2020-02-28,4,68.22607866290299,1180.2471396996132,True,38,25.694310585205034,2303.320272267028
38,2020-02-29,4,68.22607866290299,1180.2471396996132,True,39,29.77619428810972,2303.320272267028
39,2020-03-01,7,68.22607866290299,1180.2471396996132,True,40,34.496958521712465,2303.320272267028
40,2020-03-02,7,68.22607866290299,1180.2471396996132,True,41,39.953330307692745,2303.320272267028
41,2020-03-03,7,68.22607866290299,1180.2471396996132,True,42,46.25557194311481,2303.320272267028
42,2020-03-04,9,68.22607866290299,1180.2471396996132,True,43,53.528997957534266,2303.320272267028
43,2020-03-05,31,68.22607866290299,1180.2471396996132,True,44,61.91553003532271,2303.320272267028
44,2020-03-06,45,68.22607866290299,1180.2471396996132,True,45,71.57523671099915,2303.320272267028
45,2020-03-07,46,68.22607866290299,1180.2471396996132,True,46,82.68778169482667,2303.320272267028
46,2020-03-08,73,68.22607866290299,1180.2471396996132,True,47,95.45367599581975,2303.320272267028
47,2020-03-09,73,68.22607866290299,1180.2471396996132,True,48,110.09519421449868,2303.320272267028
48,2020-03-10,89,68.22607866290299,1180.2471396996132,True,49,126.85677469459732,2303.320272267028
49,2020-03-11,99,68.22607866290299,1180.2471396996132,True,50,146.00467784830346,2303.320272267028
50,2020-03-12,99,68.22607866290299,1180.2471396996132,True,51,167.82562960556967,2303.320272267028
51,2020-03-13,190,68.22607866290299,1180.2471396996132,True,52,192.6241324232942,2303.320272267028
52,2020-03-14,228,68.22607866290299,1180.2471396996132,True,53,220.71809226595735,2303.320272267028
53,2020-03-15,331,68.22607866290299,1180.2471396996132,True,54,252.43239742388712,2303.320272267028
54,2020-03-16,331,68.22607866290299,1180.2471396996132,True,55,288.0901084559451,2303.320272267028
55,2020-03-17,387,68.22607866290299,1180.2471396996132,True,56,328.00099527218333,2303.320272267028
56,2020-03-18,418,68.22607866290299,1180.2471396996132,True,57,372.44730565855156,2303.320272267028
57,2020-03-19,418,68.22607866290299,1180.2471396996132,True,58,421.6668847963609,2303.320272267028
58,2020-03-20,495,68.22607866290299,1180.2471396996132,True,59,475.8340942932697,2303.320272267028
59,2020-03-21,530,68.22607866290299,1180.2471396996132,True,60,535.0393924866553,2303.320272267028
60,2020-03-22,624,68.22607866290299,1180.2471396996132,True,61,599.2689018364064,2303.320272267028
61,2020-03-23,695,68.22607866290299,1180.2471396996132,True,62,668.3857411265767,2303.320272267028
62,2020-03-24,743,68.22607866290299,1180.2471396996132,True,63,742.1152482535991,2303.320272267028
63,2020-03-25,821,68.22607866290299,1180.2471396996132,True,64,820.0363541334251,2303.320272267028
64,2020-03-26,892,68.22607866290299,1180.2471396996132,True,65,901.5811856498151,2303.320272267028
65,2020-03-27,966,68.22607866290299,1180.2471396996132,True,66,986.0444099403759,2303.320272267028
66,2020-03-28,1061,68.22607866290299,1180.2471396996132,True,67,1072.60289088434,2303.320272267028
67,2020-03-29,1156,68.22607866290299,1180.2471396996132,True,68,1160.3450138884311,2303.320272267028
68,2020-03-30,1212,68.22607866290299,1180.2471396996132,True,69,1248.3077411467636,2303.320272267028
69,2020-03-31,1314,68.22607866290299,1180.2471396996132,True,70,1335.518335802695,2303.320272267028
