,Report_Date,Egypt_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
62,2020-03-24,402,148.45192989316305,49880.91572685157,True,63,488.96218998226743,98535.7917661659
63,2020-03-25,456,148.45192989316305,49880.91572685157,True,64,520.167094662596,98535.7917661659
64,2020-03-26,495,148.45192989316305,49880.91572685157,True,65,553.3523536168219,98535.7917661659
65,2020-03-27,536,148.45192989316305,49880.91572685157,True,66,588.6421851193456,98535.7917661659
66,2020-03-28,576,148.45192989316305,49880.91572685157,True,67,626.1684069720933,98535.7917661659
67,2020-03-29,609,148.45192989316305,49880.91572685157,True,68,666.0708761229132,98535.7917661659
68,2020-03-30,656,148.45192989316305,49880.91572685157,True,69,708.497950345818,98535.7917661659
69,2020-03-31,710,148.45192989316305,49880.91572685157,True,70,753.6069726261243,98535.7917661659
70,2020-04-01,779,148.45192989316305,49880.91572685157,True,71,801.5647788406852,98535.7917661659
71,2020-04-02,865,148.45192989316305,49880.91572685157,True,72,852.5482292563047,98535.7917661659
72,2020-04-03,985,148.45192989316305,49880.91572685157,True,73,906.7447642860049,98535.7917661659
73,2020-04-04,1070,148.45192989316305,49880.91572685157,True,74,964.352984840839,98535.7917661659
74,2020-04-05,1173,148.45192989316305,49880.91572685157,True,75,1025.5832574919393,98535.7917661659
75,2020-04-06,1322,148.45192989316305,49880.91572685157,True,76,1090.658344510624,98535.7917661659
76,2020-04-07,1450,148.45192989316305,49880.91572685157,True,77,1159.8140586807053,98535.7917661659
77,2020-04-08,1560,148.45192989316305,49880.91572685157,True,78,1233.2999425733517,98535.7917661659
78,2020-04-09,1699,148.45192989316305,49880.91572685157,True,79,1311.379971737291,98535.7917661659
79,2020-04-10,1794,148.45192989316305,49880.91572685157,True,80,1394.333280982013,98535.7917661659
80,2020-04-11,1939,148.45192989316305,49880.91572685157,True,81,1482.4549126147283,98535.7917661659
81,2020-04-12,2065,148.45192989316305,49880.91572685157,True,82,1576.0565851286701,98535.7917661659
82,2020-04-13,2190,148.45192989316305,49880.91572685157,True,83,1675.4674804261913,98535.7917661659
83,2020-04-14,2350,148.45192989316305,49880.91572685157,True,84,1781.0350471900422,98535.7917661659
84,2020-04-15,2505,148.45192989316305,49880.91572685157,True,85,1893.125817484943,98535.7917661659
85,2020-04-16,2673,148.45192989316305,49880.91572685157,True,86,2012.1262330737547,98535.7917661659
86,2020-04-17,2844,148.45192989316305,49880.91572685157,True,87,2138.443477262837,98535.7917661659
87,2020-04-18,3032,148.45192989316305,49880.91572685157,True,88,2272.506307343941,98535.7917661659
88,2020-04-19,3144,148.45192989316305,49880.91572685157,True,89,2414.765881869975,98535.7917661659
89,2020-04-20,3333,148.45192989316305,49880.91572685157,True,90,2565.6965760842513,98535.7917661659
90,2020-04-21,3490,148.45192989316305,49880.91572685157,True,91,2725.796777812446,98535.7917661659
91,2020-04-22,3659,148.45192989316305,49880.91572685157,True,92,2895.5896550198686,98535.7917661659
92,2020-04-23,3891,148.45192989316305,49880.91572685157,True,93,3075.623885030596,98535.7917661659
93,2020-04-24,4092,148.45192989316305,49880.91572685157,True,94,3266.4743340977916,98535.7917661659
94,2020-04-25,4319,148.45192989316305,49880.91572685157,True,95,3468.7426746061333,98535.7917661659
95,2020-04-26,4534,148.45192989316305,49880.91572685157,True,96,3683.0579256796827,98535.7917661659
96,2020-04-27,4782,148.45192989316305,49880.91572685157,True,97,3910.0769013662252,98535.7917661659
97,2020-04-28,5042,148.45192989316305,49880.91572685157,True,98,4150.484548879844,98535.7917661659
98,2020-04-29,5268,148.45192989316305,49880.91572685157,True,99,4404.99415761889,98535.7917661659
