,Report_Date,Ghana_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
59,2020-03-21,19,172.80341175162485,25005.901195799543,True,60,435.6326069199495,49973.9394225275
60,2020-03-22,23,172.80341175162485,25005.901195799543,True,61,454.1360805949594,49973.9394225275
61,2020-03-23,27,172.80341175162485,25005.901195799543,True,62,473.41798328435107,49973.9394225275
62,2020-03-24,53,172.80341175162485,25005.901195799543,True,63,493.5104125334539,49973.9394225275
63,2020-03-25,93,172.80341175162485,25005.901195799543,True,64,514.4467330581735,49973.9394225275
64,2020-03-26,132,172.80341175162485,25005.901195799543,True,65,536.2616218715705,49973.9394225275
65,2020-03-27,137,172.80341175162485,25005.901195799543,True,66,558.9911145826559,49973.9394225275
66,2020-03-28,141,172.80341175162485,25005.901195799543,True,67,582.6726528564393,49973.9394225275
67,2020-03-29,152,172.80341175162485,25005.901195799543,True,68,607.3451330191373,49973.9394225275
68,2020-03-30,152,172.80341175162485,25005.901195799543,True,69,633.0489557867909,49973.9394225275
69,2020-03-31,161,172.80341175162485,25005.901195799543,True,70,659.8260770892995,49973.9394225275
70,2020-04-01,195,172.80341175162485,25005.901195799543,True,71,687.7200599550092,49973.9394225275
71,2020-04-02,204,172.80341175162485,25005.901195799543,True,72,716.776127413482,49973.9394225275
72,2020-04-03,205,172.80341175162485,25005.901195799543,True,73,747.0412163658156,49973.9394225275
73,2020-04-04,205,172.80341175162485,25005.901195799543,True,74,778.5640323629023,49973.9394225275
74,2020-04-05,214,172.80341175162485,25005.901195799543,True,75,811.3951052222033,49973.9394225275
75,2020-04-06,214,172.80341175162485,25005.901195799543,True,76,845.5868454029555,49973.9394225275
76,2020-04-07,287,172.80341175162485,25005.901195799543,True,77,881.1936010481514,49973.9394225275
77,2020-04-08,313,172.80341175162485,25005.901195799543,True,78,918.2717155890984,49973.9394225275
78,2020-04-09,378,172.80341175162485,25005.901195799543,True,79,956.8795857948113,49973.9394225275
79,2020-04-10,378,172.80341175162485,25005.901195799543,True,80,997.0777201338549,49973.9394225275
80,2020-04-11,408,172.80341175162485,25005.901195799543,True,81,1038.928797300521,49973.9394225275
81,2020-04-12,566,172.80341175162485,25005.901195799543,True,82,1082.4977247402737,49973.9394225275
82,2020-04-13,566,172.80341175162485,25005.901195799543,True,83,1127.8516969912512,49973.9394225275
83,2020-04-14,636,172.80341175162485,25005.901195799543,True,84,1175.060253639164,49973.9394225275
84,2020-04-15,636,172.80341175162485,25005.901195799543,True,85,1224.1953366621663,49973.9394225275
85,2020-04-16,641,172.80341175162485,25005.901195799543,True,86,1275.3313469201319,49973.9394225275
86,2020-04-17,641,172.80341175162485,25005.901195799543,True,87,1328.5451995192302,49973.9394225275
87,2020-04-18,834,172.80341175162485,25005.901195799543,True,88,1383.9163777577012,49973.9394225275
88,2020-04-19,1042,172.80341175162485,25005.901195799543,True,89,1441.5269853322775,49973.9394225275
89,2020-04-20,1042,172.80341175162485,25005.901195799543,True,90,1501.4617964567824,49973.9394225275
90,2020-04-21,1042,172.80341175162485,25005.901195799543,True,91,1563.8083035149991,49973.9394225275
91,2020-04-22,1154,172.80341175162485,25005.901195799543,True,92,1628.65676183903,49973.9394225275
92,2020-04-23,1154,172.80341175162485,25005.901195799543,True,93,1696.1002311720147,49973.9394225275
93,2020-04-24,1279,172.80341175162485,25005.901195799543,True,94,1766.234613340318,49973.9394225275
94,2020-04-25,1279,172.80341175162485,25005.901195799543,True,95,1839.1586856252004,49973.9394225275
95,2020-04-26,1550,172.80341175162485,25005.901195799543,True,96,1914.9741292876001,49973.9394225275
96,2020-04-27,1550,172.80341175162485,25005.901195799543,True,97,1993.7855526621156,49973.9394225275
97,2020-04-28,1671,172.80341175162485,25005.901195799543,True,98,2075.700508197729,49973.9394225275
98,2020-04-29,1671,172.80341175162485,25005.901195799543,True,99,2160.829502783374,49973.9394225275
99,2020-04-30,2074,172.80341175162485,25005.901195799543,True,100,2249.28600065639,49973.9394225275
