,Report_Date,Afghanistan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
24,2020-02-15,0,82.11955895107722,617.0187462405179,True,25,0.4105392774330543,1013.5560021856439
25,2020-02-16,0,82.11955895107722,617.0187462405179,True,26,0.4723020213199269,1013.5560021856439
26,2020-02-17,0,82.11955895107722,617.0187462405179,True,27,0.5433524426127927,1013.5560021856439
27,2020-02-18,0,82.11955895107722,617.0187462405179,True,28,0.6250858677404392,1013.5560021856439
28,2020-02-19,0,82.11955895107722,617.0187462405179,True,29,0.7191068206742729,1013.5560021856439
29,2020-02-20,0,82.11955895107722,617.0187462405179,True,30,0.8272602488781673,1013.5560021856439
30,2020-02-21,0,82.11955895107722,617.0187462405179,True,31,0.9516673654014097,1013.5560021856439
31,2020-02-22,0,82.11955895107722,617.0187462405179,True,32,1.0947667749917545,1013.5560021856439
32,2020-02-23,0,82.11955895107722,617.0187462405179,True,33,1.2593616439979807,1013.5560021856439
33,2020-02-24,1,82.11955895107722,617.0187462405179,True,34,1.4486737767981528,1013.5560021856439
34,2020-02-25,1,82.11955895107722,617.0187462405179,True,35,1.6664055763242396,1013.5560021856439
35,2020-02-26,1,82.11955895107722,617.0187462405179,True,36,1.9168109935955577,1013.5560021856439
36,2020-02-27,1,82.11955895107722,617.0187462405179,True,37,2.204776711401993,1013.5560021856439
37,2020-02-28,1,82.11955895107722,617.0187462405179,True,38,2.535914960364899,1013.5560021856439
38,2020-02-29,1,82.11955895107722,617.0187462405179,True,39,2.916669530913167,1013.5560021856439
39,2020-03-01,1,82.11955895107722,617.0187462405179,True,40,3.3544367207304706,1013.5560021856439
40,2020-03-02,1,82.11955895107722,617.0187462405179,True,41,3.8577031412065623,1013.5560021856439
41,2020-03-03,1,82.11955895107722,617.0187462405179,True,42,4.436202493898263,1013.5560021856439
42,2020-03-04,1,82.11955895107722,617.0187462405179,True,43,5.101093612181421,1013.5560021856439
43,2020-03-05,1,82.11955895107722,617.0187462405179,True,44,5.865162234228426,1013.5560021856439
44,2020-03-06,1,82.11955895107722,617.0187462405179,True,45,6.743049117095182,1013.5560021856439
45,2020-03-07,1,82.11955895107722,617.0187462405179,True,46,7.751507198515784,1013.5560021856439
46,2020-03-08,4,82.11955895107722,617.0187462405179,True,47,8.909690536391038,1013.5560021856439
