,Report_Date,Thailand_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
73,2020-04-04,2067,68.55011608704585,1419.900989434428,True,74,2027.857256386785,2811.824288966912
74,2020-04-05,2169,68.55011608704585,1419.900989434428,True,75,2121.6411968172897,2811.824288966912
75,2020-04-06,2220,68.55011608704585,1419.900989434428,True,76,2207.967767180874,2811.824288966912
76,2020-04-07,2258,68.55011608704585,1419.900989434428,True,77,2286.623029547803,2811.824288966912
77,2020-04-08,2369,68.55011608704585,1419.900989434428,True,78,2357.625007559916,2811.824288966912
78,2020-04-09,2423,68.55011608704585,1419.900989434428,True,79,2421.1820956540396,2811.824288966912
79,2020-04-10,2473,68.55011608704585,1419.900989434428,True,80,2477.648431527452,2811.824288966912
80,2020-04-11,2518,68.55011608704585,1419.900989434428,True,81,2527.4807008179537,2811.824288966912
81,2020-04-12,2551,68.55011608704585,1419.900989434428,True,82,2571.199417718059,2811.824288966912
82,2020-04-13,2579,68.55011608704585,1419.900989434428,True,83,2609.356364653728,2811.824288966912
83,2020-04-14,2613,68.55011608704585,1419.900989434428,True,84,2642.508763338697,2811.824288966912
84,2020-04-15,2643,68.55011608704585,1419.900989434428,True,85,2671.199957426046,2811.824288966912
85,2020-04-16,2672,68.55011608704585,1419.900989434428,True,86,2695.945901295423,2811.824288966912
