,Report_Date,Eritrea_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
31,2020-02-22,0,73.95847600381808,22.292511005599298,True,32,0.06485342379163068,43.18790178541961
32,2020-02-23,0,73.95847600381808,22.292511005599298,True,33,0.07575861367394283,43.18790178541961
33,2020-02-24,0,73.95847600381808,22.292511005599298,True,34,0.08849388087218679,43.18790178541961
34,2020-02-25,0,73.95847600381808,22.292511005599298,True,35,0.10336501581694095,43.18790178541961
35,2020-02-26,0,73.95847600381808,22.292511005599298,True,36,0.12072842055737447,43.18790178541961
36,2020-02-27,0,73.95847600381808,22.292511005599298,True,37,0.14099930958083934,43.18790178541961
37,2020-02-28,0,73.95847600381808,22.292511005599298,True,38,0.1646611752496309,43.18790178541961
38,2020-02-29,0,73.95847600381808,22.292511005599298,True,39,0.19227668921391788,43.18790178541961
39,2020-03-01,0,73.95847600381808,22.292511005599298,True,40,0.22450022538370934,43.18790178541961
40,2020-03-02,0,73.95847600381808,22.292511005599298,True,41,0.26209220164910346,43.18790178541961
41,2020-03-03,0,73.95847600381808,22.292511005599298,True,42,0.30593544444732695,43.18790178541961
42,2020-03-04,0,73.95847600381808,22.292511005599298,True,43,0.35705377956785406,43.18790178541961
43,2020-03-05,0,73.95847600381808,22.292511005599298,True,44,0.4166330402445708,43.18790178541961
44,2020-03-06,0,73.95847600381808,22.292511005599298,True,45,0.4860446541743028,43.18790178541961
45,2020-03-07,0,73.95847600381808,22.292511005599298,True,46,0.5668719174128779,43.18790178541961
46,2020-03-08,0,73.95847600381808,22.292511005599298,True,47,0.660938975741516,43.18790178541961
47,2020-03-09,0,73.95847600381808,22.292511005599298,True,48,0.770342401095491,43.18790178541961
48,2020-03-10,0,73.95847600381808,22.292511005599298,True,49,0.8974850571232406,43.18790178541961
49,2020-03-11,0,73.95847600381808,22.292511005599298,True,50,1.045111675979468,43.18790178541961
50,2020-03-12,0,73.95847600381808,22.292511005599298,True,51,1.216345197365626,43.18790178541961
51,2020-03-13,0,73.95847600381808,22.292511005599298,True,52,1.4147224281455804,43.18790178541961
52,2020-03-14,0,73.95847600381808,22.292511005599298,True,53,1.644226944465806,43.18790178541961
53,2020-03-15,0,73.95847600381808,22.292511005599298,True,54,1.909316360326964,43.18790178541961
54,2020-03-16,0,73.95847600381808,22.292511005599298,True,55,2.2149401197546092,43.18790178541961
55,2020-03-17,0,73.95847600381808,22.292511005599298,True,56,2.566542847193497,43.18790178541961
56,2020-03-18,0,73.95847600381808,22.292511005599298,True,57,2.9700470595460855,43.18790178541961
57,2020-03-19,0,73.95847600381808,22.292511005599298,True,58,3.4318078020314804,43.18790178541961
58,2020-03-20,0,73.95847600381808,22.292511005599298,True,59,3.958530689480933,43.18790178541961
59,2020-03-21,1,73.95847600381808,22.292511005599298,True,60,4.557144177535325,43.18790178541961
60,2020-03-22,1,73.95847600381808,22.292511005599298,True,61,5.234617021671876,43.18790178541961
61,2020-03-23,1,73.95847600381808,22.292511005599298,True,62,5.997713271489707,43.18790178541961
62,2020-03-24,1,73.95847600381808,22.292511005599298,True,63,6.8526803161849195,43.18790178541961
63,2020-03-25,4,73.95847600381808,22.292511005599298,True,64,7.804870932342279,43.18790178541961
64,2020-03-26,6,73.95847600381808,22.292511005599298,True,65,8.858308281488439,43.18790178541961
65,2020-03-27,6,73.95847600381808,22.292511005599298,True,66,10.015213243298431,43.18790178541961
66,2020-03-28,6,73.95847600381808,22.292511005599298,True,67,11.275525570837113,43.18790178541961
67,2020-03-29,12,73.95847600381808,22.292511005599298,True,68,12.63646247963403,43.18790178541961
68,2020-03-30,12,73.95847600381808,22.292511005599298,True,69,14.092167917052146,43.18790178541961
69,2020-03-31,15,73.95847600381808,22.292511005599298,True,70,15.63350979673668,43.18790178541961
70,2020-04-01,15,73.95847600381808,22.292511005599298,True,71,17.248077909928572,43.18790178541961
71,2020-04-02,22,73.95847600381808,22.292511005599298,True,72,18.920420126809766,43.18790178541961
72,2020-04-03,22,73.95847600381808,22.292511005599298,True,73,20.63252913257518,43.18790178541961
73,2020-04-04,29,73.95847600381808,22.292511005599298,True,74,22.364559409442133,43.18790178541961
74,2020-04-05,29,73.95847600381808,22.292511005599298,True,75,24.095720257918476,43.18790178541961
75,2020-04-06,31,73.95847600381808,22.292511005599298,True,76,25.805262568066148,43.18790178541961
76,2020-04-07,31,73.95847600381808,22.292511005599298,True,77,27.47346142046738,43.18790178541961
77,2020-04-08,33,73.95847600381808,22.292511005599298,True,78,29.082497301352735,43.18790178541961
78,2020-04-09,33,73.95847600381808,22.292511005599298,True,79,30.61715557895302,43.18790178541961
79,2020-04-10,34,73.95847600381808,22.292511005599298,True,80,32.06529273053916,43.18790178541961
80,2020-04-11,34,73.95847600381808,22.292511005599298,True,81,33.418051879627214,43.18790178541961
81,2020-04-12,34,73.95847600381808,22.292511005599298,True,82,34.66984232984685,43.18790178541961
82,2020-04-13,34,73.95847600381808,22.292511005599298,True,83,35.81812237490233,43.18790178541961
83,2020-04-14,34,73.95847600381808,22.292511005599298,True,84,36.86303886222611,43.18790178541961
84,2020-04-15,35,73.95847600381808,22.292511005599298,True,85,37.806980750350846,43.18790178541961
85,2020-04-16,35,73.95847600381808,22.292511005599298,True,86,38.65409927491276,43.18790178541961
