,Report_Date,Belize_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
55,2020-03-17,0,92.26782448870284,27.027640790702964,False,56,0.6475314330898307,0.06508746071356952
56,2020-03-18,0,92.26782448870284,27.027640790702964,False,57,0.7301750161195117,0.06508746071356952
57,2020-03-19,0,92.26782448870284,27.027640790702964,False,58,0.8232037131786906,0.06508746071356952
58,2020-03-20,0,92.26782448870284,27.027640790702964,False,59,0.927878589950586,0.06508746071356952
59,2020-03-21,0,92.26782448870284,27.027640790702964,False,60,1.045602013508043,0.06508746071356952
60,2020-03-22,0,92.26782448870284,27.027640790702964,False,61,1.1779302893865398,0.06508746071356952
61,2020-03-23,1,92.26782448870284,27.027640790702964,False,62,1.3265865360561873,0.06508746071356952
62,2020-03-24,1,92.26782448870284,27.027640790702964,False,63,1.4934735069202638,0.06508746071356952
63,2020-03-25,2,92.26782448870284,27.027640790702964,False,64,1.6806859696534249,0.06508746071356952
64,2020-03-26,2,92.26782448870284,27.027640790702964,False,65,1.8905221316790752,0.06508746071356952
65,2020-03-27,2,92.26782448870284,27.027640790702964,False,66,2.125493457367065,0.06508746071356952
66,2020-03-28,2,92.26782448870284,27.027640790702964,False,67,2.3883320566950044,0.06508746071356952
67,2020-03-29,2,92.26782448870284,27.027640790702964,False,68,2.681994638008626,0.06508746071356952
68,2020-03-30,3,92.26782448870284,27.027640790702964,False,69,3.0096618131313364,0.06508746071356952
69,2020-03-31,3,92.26782448870284,27.027640790702964,False,70,3.37473132913477,0.06508746071356952
70,2020-04-01,3,92.26782448870284,27.027640790702964,False,71,3.7808035903173938,0.06508746071356952
71,2020-04-02,3,92.26782448870284,27.027640790702964,False,72,4.231657645443998,0.06508746071356952
72,2020-04-03,4,92.26782448870284,27.027640790702964,False,73,4.73121567583496,0.06508746071356952
73,2020-04-04,4,92.26782448870284,27.027640790702964,False,74,5.283493964812946,0.06508746071356952
74,2020-04-05,5,92.26782448870284,27.027640790702964,False,75,5.892538402398804,0.06508746071356952
75,2020-04-06,7,92.26782448870284,27.027640790702964,False,76,6.562342832570612,0.06508746071356952
76,2020-04-07,7,92.26782448870284,27.027640790702964,False,77,7.296749039607761,0.06508746071356952
77,2020-04-08,8,92.26782448870284,27.027640790702964,False,78,8.099327948835828,0.06508746071356952
78,2020-04-09,9,92.26782448870284,27.027640790702964,False,79,8.973242727825511,0.06508746071356952
79,2020-04-10,10,92.26782448870284,27.027640790702964,False,80,9.921095934714785,0.06508746071356952
80,2020-04-11,13,92.26782448870284,27.027640790702964,False,81,10.944764648597529,0.06508746071356952
81,2020-04-12,13,92.26782448870284,27.027640790702964,False,82,12.045229553969792,0.06508746071356952
