,Report_Date,Germany_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
72,2020-04-03,91159,721.7841886168698,346527454.89835346,False,73,22204.707255699857,693054909.7967073
73,2020-04-04,96092,721.7841886168698,346527454.89835346,False,74,22561.714875439455,693054909.7967073
74,2020-04-05,100123,721.7841886168698,346527454.89835346,False,75,22924.462279229636,693054909.7967073
75,2020-04-06,103374,721.7841886168698,346527454.89835346,False,76,23293.041742198187,693054909.7967073
76,2020-04-07,107663,721.7841886168698,346527454.89835346,False,77,23667.547022726303,693054909.7967073
77,2020-04-08,113296,721.7841886168698,346527454.89835346,False,78,24048.073386284268,693054909.7967073
78,2020-04-09,118181,721.7841886168698,346527454.89835346,False,79,24434.717629650037,693054909.7967073
79,2020-04-10,122171,721.7841886168698,346527454.89835346,False,80,24827.5781055167,693054909.7967073
80,2020-04-11,124908,721.7841886168698,346527454.89835346,False,81,25226.75474749528,693054909.7967073
81,2020-04-12,127854,721.7841886168698,346527454.89835346,False,82,25632.349095518948,693054909.7967073
82,2020-04-13,130072,721.7841886168698,346527454.89835346,False,83,26044.464321655294,693054909.7967073
83,2020-04-14,131359,721.7841886168698,346527454.89835346,False,84,26463.20525633317,693054909.7967073
84,2020-04-15,134753,721.7841886168698,346527454.89835346,False,85,26888.67841499063,693054909.7967073
85,2020-04-16,137698,721.7841886168698,346527454.89835346,False,86,27320.992025150896,693054909.7967073
86,2020-04-17,141397,721.7841886168698,346527454.89835346,False,87,27760.256053933044,693054909.7967073
87,2020-04-18,143342,721.7841886168698,346527454.89835346,False,88,28206.582236004575,693054909.7967073
88,2020-04-19,145184,721.7841886168698,346527454.89835346,False,89,28660.08410198272,693054909.7967073
89,2020-04-20,147065,721.7841886168698,346527454.89835346,False,90,29120.877007291958,693054909.7967073
90,2020-04-21,148291,721.7841886168698,346527454.89835346,False,91,29589.078161484726,693054909.7967073
91,2020-04-22,150648,721.7841886168698,346527454.89835346,False,92,30064.80665803315,693054909.7967073
92,2020-04-23,153129,721.7841886168698,346527454.89835346,False,93,30548.18350459893,693054909.7967073
93,2020-04-24,154999,721.7841886168698,346527454.89835346,False,94,31039.331653789388,693054909.7967073
94,2020-04-25,156513,721.7841886168698,346527454.89835346,False,95,31538.376034407265,693054909.7967073
95,2020-04-26,157770,721.7841886168698,346527454.89835346,False,96,32045.4435832023,693054909.7967073
96,2020-04-27,158758,721.7841886168698,346527454.89835346,False,97,32560.663277132535,693054909.7967073
97,2020-04-28,159912,721.7841886168698,346527454.89835346,False,98,33084.16616614363,693054909.7967073
98,2020-04-29,161539,721.7841886168698,346527454.89835346,False,99,33616.085406474405,693054909.7967073
99,2020-04-30,163009,721.7841886168698,346527454.89835346,False,100,34156.55629449706,693054909.7967073
100,2020-05-01,164077,721.7841886168698,346527454.89835346,False,101,34705.71630110071,693054909.7967073
101,2020-05-02,164967,721.7841886168698,346527454.89835346,False,102,35263.70510662678,693054909.7967073
102,2020-05-03,165664,721.7841886168698,346527454.89835346,False,103,35830.66463636542,693054909.7967073
103,2020-05-04,166152,721.7841886168698,346527454.89835346,False,104,36406.739096621495,693054909.7967073
104,2020-05-05,167007,721.7841886168698,346527454.89835346,False,105,36992.07501135964,693054909.7967073
105,2020-05-06,168162,721.7841886168698,346527454.89835346,False,106,37586.8212594375,693054909.7967073
106,2020-05-07,169430,721.7841886168698,346527454.89835346,False,107,38191.12911243669,693054909.7967073
107,2020-05-08,170588,721.7841886168698,346527454.89835346,False,108,38805.15227310078,693054909.7967073
108,2020-05-09,171324,721.7841886168698,346527454.89835346,False,109,39429.04691439044,693054909.7967073
109,2020-05-10,171879,721.7841886168698,346527454.89835346,False,110,40062.97171916529,693054909.7967073
110,2020-05-11,172576,721.7841886168698,346527454.89835346,False,111,40707.087920502614,693054909.7967073
111,2020-05-12,173171,721.7841886168698,346527454.89835346,False,112,41361.5593426633,693054909.7967073
112,2020-05-13,174098,721.7841886168698,346527454.89835346,False,113,42026.55244271496,693054909.7967073
113,2020-05-14,174478,721.7841886168698,346527454.89835346,False,114,42702.236352823296,693054909.7967073
114,2020-05-15,175233,721.7841886168698,346527454.89835346,False,115,43388.782923221945,693054909.7967073
115,2020-05-16,175752,721.7841886168698,346527454.89835346,False,116,44086.36676587201,693054909.7967073
116,2020-05-17,176369,721.7841886168698,346527454.89835346,False,117,44795.16529882195,693054909.7967073
117,2020-05-18,176551,721.7841886168698,346527454.89835346,False,118,45515.358791279614,693054909.7967073
118,2020-05-19,177778,721.7841886168698,346527454.89835346,False,119,46247.1304094071,693054909.7967073
119,2020-05-20,178473,721.7841886168698,346527454.89835346,False,120,46990.66626285071,693054909.7967073
120,2020-05-21,179021,721.7841886168698,346527454.89835346,False,121,47746.15545201723,693054909.7967073
121,2020-05-22,179710,721.7841886168698,346527454.89835346,False,122,48513.79011610884,693054909.7967073
122,2020-05-23,179986,721.7841886168698,346527454.89835346,False,123,49293.765481928574,693054909.7967073
123,2020-05-24,180328,721.7841886168698,346527454.89835346,False,124,50086.27991346884,693054909.7967073
124,2020-05-25,180600,721.7841886168698,346527454.89835346,False,125,50891.53496229537,693054909.7967073
125,2020-05-26,181200,721.7841886168698,346527454.89835346,False,126,51709.73541873946,693054909.7967073
126,2020-05-27,181524,721.7841886168698,346527454.89835346,False,127,52541.08936391136,693054909.7967073
127,2020-05-28,182196,721.7841886168698,346527454.89835346,False,128,53385.80822254794,693054909.7967073
128,2020-05-29,182922,721.7841886168698,346527454.89835346,False,129,54244.10681670818,693054909.7967073
129,2020-05-30,183189,721.7841886168698,346527454.89835346,False,130,55116.203420329715,693054909.7967073
130,2020-05-31,183410,721.7841886168698,346527454.89835346,False,131,56002.31981466036,693054909.7967073
131,2020-06-01,183594,721.7841886168698,346527454.89835346,False,132,56902.68134457892,693054909.7967073
132,2020-06-02,183879,721.7841886168698,346527454.89835346,False,133,57817.51697581888,693054909.7967073
133,2020-06-03,184121,721.7841886168698,346527454.89835346,False,134,58747.059353110024,693054909.7967073
134,2020-06-04,184472,721.7841886168698,346527454.89835346,False,135,59691.54485925218,693054909.7967073
