,Report_Date,Monaco_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
20,2020-02-11,0,68.91715356299304,48.72317113311457,True,21,0.03252288094554618,97.4462649125697
21,2020-02-12,0,68.91715356299304,48.72317113311457,True,22,0.03843381843397983,97.4462649125697
22,2020-02-13,0,68.91715356299304,48.72317113311457,True,23,0.045418550457639324,97.4462649125697
23,2020-02-14,0,68.91715356299304,48.72317113311457,True,24,0.05367194643359954,97.4462649125697
24,2020-02-15,0,68.91715356299304,48.72317113311457,True,25,0.06342416145982475,97.4462649125697
25,2020-02-16,0,68.91715356299304,48.72317113311457,True,26,0.07494699441853823,97.4462649125697
26,2020-02-17,0,68.91715356299304,48.72317113311457,True,27,0.08856137937088716,97.4462649125697
27,2020-02-18,0,68.91715356299304,48.72317113311457,True,28,0.10464620732911352,97.4462649125697
28,2020-02-19,0,68.91715356299304,48.72317113311457,True,29,0.12364870780145572,97.4462649125697
29,2020-02-20,0,68.91715356299304,48.72317113311457,True,30,0.14609665631102728,97.4462649125697
30,2020-02-21,0,68.91715356299304,48.72317113311457,True,31,0.17261271567770153,97.4462649125697
31,2020-02-22,0,68.91715356299304,48.72317113311457,True,32,0.20393126535543482,97.4462649125697
32,2020-02-23,0,68.91715356299304,48.72317113311457,True,33,0.24091812441712054,97.4462649125697
33,2020-02-24,0,68.91715356299304,48.72317113311457,True,34,0.28459362935542337,97.4462649125697
34,2020-02-25,0,68.91715356299304,48.72317113311457,True,35,0.33615958659316003,97.4462649125697
35,2020-02-26,0,68.91715356299304,48.72317113311457,True,36,0.39703067944417,97.4462649125697
36,2020-02-27,0,68.91715356299304,48.72317113311457,True,37,0.4688709669108308,97.4462649125697
37,2020-02-28,0,68.91715356299304,48.72317113311457,True,38,0.5536361619839201,97.4462649125697
38,2020-02-29,1,68.91715356299304,48.72317113311457,True,39,0.6536224123001665,97.4462649125697
39,2020-03-01,1,68.91715356299304,48.72317113311457,True,40,0.7715223148829558,97.4462649125697
40,2020-03-02,1,68.91715356299304,48.72317113311457,True,41,0.9104888632994271,97.4462649125697
41,2020-03-03,1,68.91715356299304,48.72317113311457,True,42,1.0742079277565817,97.4462649125697
42,2020-03-04,1,68.91715356299304,48.72317113311457,True,43,1.2669796762732857,97.4462649125697
43,2020-03-05,1,68.91715356299304,48.72317113311457,True,44,1.4938090179404573,97.4462649125697
44,2020-03-06,1,68.91715356299304,48.72317113311457,True,45,1.7605046352129907,97.4462649125697
45,2020-03-07,1,68.91715356299304,48.72317113311457,True,46,2.0737854052485747,97.4462649125697
46,2020-03-08,1,68.91715356299304,48.72317113311457,True,47,2.4413919103100734,97.4462649125697
47,2020-03-09,1,68.91715356299304,48.72317113311457,True,48,2.872199211380621,97.4462649125697
48,2020-03-10,1,68.91715356299304,48.72317113311457,True,49,3.376325007898798,97.4462649125697
49,2020-03-11,1,68.91715356299304,48.72317113311457,True,50,3.965224636509088,97.4462649125697
50,2020-03-12,2,68.91715356299304,48.72317113311457,True,51,4.651761009111198,97.4462649125697
51,2020-03-13,2,68.91715356299304,48.72317113311457,True,52,5.450233559586879,97.4462649125697
52,2020-03-14,2,68.91715356299304,48.72317113311457,True,53,6.3763456899177084,97.4462649125697
53,2020-03-15,2,68.91715356299304,48.72317113311457,True,54,7.447085416792916,97.4462649125697
54,2020-03-16,7,68.91715356299304,48.72317113311457,True,55,8.680489561234378,97.4462649125697
55,2020-03-17,7,68.91715356299304,48.72317113311457,True,56,10.095258946771427,97.4462649125697
56,2020-03-18,7,68.91715356299304,48.72317113311457,True,57,11.71019220999723,97.4462649125697
57,2020-03-19,7,68.91715356299304,48.72317113311457,True,58,13.54341098454396,97.4462649125697
58,2020-03-20,11,68.91715356299304,48.72317113311457,True,59,15.611361681137588,97.4462649125697
59,2020-03-21,11,68.91715356299304,48.72317113311457,True,60,17.927600956358965,97.4462649125697
60,2020-03-22,23,68.91715356299304,48.72317113311457,True,61,20.501404350658127,97.4462649125697
61,2020-03-23,23,68.91715356299304,48.72317113311457,True,62,23.33627946482587,97.4462649125697
62,2020-03-24,23,68.91715356299304,48.72317113311457,True,63,26.428512069874525,97.4462649125697
63,2020-03-25,31,68.91715356299304,48.72317113311457,True,64,29.765917201978443,97.4462649125697
64,2020-03-26,33,68.91715356299304,48.72317113311457,True,65,33.32699530402996,97.4462649125697
65,2020-03-27,42,68.91715356299304,48.72317113311457,True,66,37.08069203537894,97.4462649125697
66,2020-03-28,42,68.91715356299304,48.72317113311457,True,67,40.986918440858815,97.4462649125697
67,2020-03-29,46,68.91715356299304,48.72317113311457,True,68,44.997902875963256,97.4462649125697
68,2020-03-30,49,68.91715356299304,48.72317113311457,True,69,49.060327073036426,97.4462649125697
69,2020-03-31,52,68.91715356299304,48.72317113311457,True,70,53.11806874430163,97.4462649125697
70,2020-04-01,55,68.91715356299304,48.72317113311457,True,71,57.1152630407684,97.4462649125697
71,2020-04-02,60,68.91715356299304,48.72317113311457,True,72,60.9993344028697,97.4462649125697
72,2020-04-03,64,68.91715356299304,48.72317113311457,True,73,64.72365606243466,97.4462649125697
73,2020-04-04,66,68.91715356299304,48.72317113311457,True,74,68.24956503849918,97.4462649125697
74,2020-04-05,73,68.91715356299304,48.72317113311457,True,75,71.54757605535636,97.4462649125697
75,2020-04-06,77,68.91715356299304,48.72317113311457,True,76,74.5977679978993,97.4462649125697
76,2020-04-07,79,68.91715356299304,48.72317113311457,True,77,77.38943119458978,97.4462649125697
77,2020-04-08,81,68.91715356299304,48.72317113311457,True,78,79.92014222430142,97.4462649125697
78,2020-04-09,84,68.91715356299304,48.72317113311457,True,79,82.19446768069474,97.4462649125697
79,2020-04-10,90,68.91715356299304,48.72317113311457,True,80,84.22249398603766,97.4462649125697
80,2020-04-11,92,68.91715356299304,48.72317113311457,True,81,86.01834878806848,97.4462649125697
81,2020-04-12,93,68.91715356299304,48.72317113311457,True,82,87.59883449494382,97.4462649125697
82,2020-04-13,93,68.91715356299304,48.72317113311457,True,83,88.98224785576974,97.4462649125697
83,2020-04-14,93,68.91715356299304,48.72317113311457,True,84,90.18741898177718,97.4462649125697
84,2020-04-15,93,68.91715356299304,48.72317113311457,True,85,91.2329725603508,97.4462649125697
85,2020-04-16,93,68.91715356299304,48.72317113311457,True,86,92.1367938189896,97.4462649125697
