,Report_Date,Norway_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
32,2020-02-23,0,69.89728492809405,4238.837110194947,True,33,175.15899570790478,8477.580223229419
33,2020-02-24,0,69.89728492809405,4238.837110194947,True,34,194.02680403701456,8477.580223229419
34,2020-02-25,0,69.89728492809405,4238.837110194947,True,35,214.8744183805299,8477.580223229419
35,2020-02-26,1,69.89728492809405,4238.837110194947,True,36,237.89771719098806,8477.580223229419
36,2020-02-27,1,69.89728492809405,4238.837110194947,True,37,263.30929732686184,8477.580223229419
37,2020-02-28,6,69.89728492809405,4238.837110194947,True,38,291.33929790575024,8477.580223229419
38,2020-02-29,15,69.89728492809405,4238.837110194947,True,39,322.2361169396826,8477.580223229419
39,2020-03-01,19,69.89728492809405,4238.837110194947,True,40,356.2669756559297,8477.580223229419
40,2020-03-02,25,69.89728492809405,4238.837110194947,True,41,393.7182766559046,8477.580223229419
41,2020-03-03,32,69.89728492809405,4238.837110194947,True,42,434.89569258819535,8477.580223229419
42,2020-03-04,56,69.89728492809405,4238.837110194947,True,43,480.1239120495828,8477.580223229419
43,2020-03-05,87,69.89728492809405,4238.837110194947,True,44,529.7459593593828,8477.580223229419
44,2020-03-06,108,69.89728492809405,4238.837110194947,True,45,584.1219952313556,8477.580223229419
45,2020-03-07,147,69.89728492809405,4238.837110194947,True,46,643.6274969569102,8477.580223229419
46,2020-03-08,176,69.89728492809405,4238.837110194947,True,47,708.6507105175219,8477.580223229419
47,2020-03-09,205,69.89728492809405,4238.837110194947,True,48,779.5892643287282,8477.580223229419
48,2020-03-10,400,69.89728492809405,4238.837110194947,True,49,856.8458366113799,8477.580223229419
49,2020-03-11,598,69.89728492809405,4238.837110194947,True,50,940.8227774498071,8477.580223229419
50,2020-03-12,702,69.89728492809405,4238.837110194947,True,51,1031.9156043525804,8477.580223229419
51,2020-03-13,996,69.89728492809405,4238.837110194947,True,52,1130.505318527666,8477.580223229419
52,2020-03-14,1090,69.89728492809405,4238.837110194947,True,53,1236.9495298907163,8477.580223229419
53,2020-03-15,1221,69.89728492809405,4238.837110194947,True,54,1351.5724333536054,8477.580223229419
54,2020-03-16,1333,69.89728492809405,4238.837110194947,True,55,1474.6537476809635,8477.580223229419
55,2020-03-17,1463,69.89728492809405,4238.837110194947,True,56,1606.4168104107957,8477.580223229419
56,2020-03-18,1550,69.89728492809405,4238.837110194947,True,57,1747.0161155980893,8477.580223229419
57,2020-03-19,1746,69.89728492809405,4238.837110194947,True,58,1896.5246809953828,8477.580223229419
58,2020-03-20,1914,69.89728492809405,4238.837110194947,True,59,2054.921730982386,8477.580223229419
59,2020-03-21,2118,69.89728492809405,4238.837110194947,True,60,2222.081272081166,8477.580223229419
60,2020-03-22,2385,69.89728492809405,4238.837110194947,True,61,2397.762208345267,8477.580223229419
61,2020-03-23,2621,69.89728492809405,4238.837110194947,True,62,2581.6006823513203,8477.580223229419
