,Report_Date,Sri Lanka_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
88,2020-04-19,271,117.50583390110766,1106.4573307819167,True,89,323.0382317055314,2165.000785827176
89,2020-04-20,304,117.50583390110766,1106.4573307819167,True,90,340.5122741840069,2165.000785827176
90,2020-04-21,310,117.50583390110766,1106.4573307819167,True,91,358.7521070258007,2165.000785827176
91,2020-04-22,330,117.50583390110766,1106.4573307819167,True,92,377.77184827528924,2165.000785827176
92,2020-04-23,368,117.50583390110766,1106.4573307819167,True,93,397.58372768404695,2165.000785827176
93,2020-04-24,420,117.50583390110766,1106.4573307819167,True,94,418.1978481337532,2165.000785827176
94,2020-04-25,460,117.50583390110766,1106.4573307819167,True,95,439.62194390038894,2165.000785827176
95,2020-04-26,523,117.50583390110766,1106.4573307819167,True,96,461.8611387454246,2165.000785827176
96,2020-04-27,588,117.50583390110766,1106.4573307819167,True,97,484.9177072148217,2165.000785827176
97,2020-04-28,619,117.50583390110766,1106.4573307819167,True,98,508.79084289714314,2165.000785827176
98,2020-04-29,649,117.50583390110766,1106.4573307819167,True,99,533.4764377224725,2165.000785827176
99,2020-04-30,663,117.50583390110766,1106.4573307819167,True,100,558.9668766575969,2165.000785827176
100,2020-05-01,690,117.50583390110766,1106.4573307819167,True,101,585.2508523527193,2165.000785827176
101,2020-05-02,705,117.50583390110766,1106.4573307819167,True,102,612.313204403693,2165.000785827176
102,2020-05-03,718,117.50583390110766,1106.4573307819167,True,103,640.1347878950983,2165.000785827176
103,2020-05-04,751,117.50583390110766,1106.4573307819167,True,104,668.6923757688836,2165.000785827176
104,2020-05-05,771,117.50583390110766,1106.4573307819167,True,105,697.958599309175,2165.000785827176
105,2020-05-06,797,117.50583390110766,1106.4573307819167,True,106,727.9019306382721,2165.000785827176
106,2020-05-07,824,117.50583390110766,1106.4573307819167,True,107,758.4867105787928,2165.000785827176
107,2020-05-08,835,117.50583390110766,1106.4573307819167,True,108,789.6732245548685,2165.000785827176
108,2020-05-09,847,117.50583390110766,1106.4573307819167,True,109,821.4178283899445,2165.000785827176
109,2020-05-10,863,117.50583390110766,1106.4573307819167,True,110,853.6731249253816,2165.000785827176
110,2020-05-11,869,117.50583390110766,1106.4573307819167,True,111,886.3881913543936,2165.000785827176
111,2020-05-12,889,117.50583390110766,1106.4573307819167,True,112,919.5088560678067,2165.000785827176
112,2020-05-13,915,117.50583390110766,1106.4573307819167,True,113,952.9780226747536,2165.000785827176
113,2020-05-14,925,117.50583390110766,1106.4573307819167,True,114,986.7360377299531,2165.000785827176
114,2020-05-15,935,117.50583390110766,1106.4573307819167,True,115,1020.7210976092712,2165.000785827176
115,2020-05-16,960,117.50583390110766,1106.4573307819167,True,116,1054.8696889670432,2165.000785827176
116,2020-05-17,981,117.50583390110766,1106.4573307819167,True,117,1089.1170563210126,2165.000785827176
117,2020-05-18,992,117.50583390110766,1106.4573307819167,True,118,1123.3976895789374,2165.000785827176
118,2020-05-19,1027,117.50583390110766,1106.4573307819167,True,119,1157.6458237748625,2165.000785827176
119,2020-05-20,1028,117.50583390110766,1106.4573307819167,True,120,1191.7959429453972,2165.000785827176
120,2020-05-21,1055,117.50583390110766,1106.4573307819167,True,121,1225.78327996126,2165.000785827176
121,2020-05-22,1068,117.50583390110766,1106.4573307819167,True,122,1259.5443042417985,2165.000785827176
122,2020-05-23,1089,117.50583390110766,1106.4573307819167,True,123,1293.017189615279,2165.000785827176
123,2020-05-24,1141,117.50583390110766,1106.4573307819167,True,124,1326.142255131537,2165.000785827176
124,2020-05-25,1182,117.50583390110766,1106.4573307819167,True,125,1358.8623723633104,2165.000785827176
125,2020-05-26,1319,117.50583390110766,1106.4573307819167,True,126,1391.1233336186322,2165.000785827176
126,2020-05-27,1469,117.50583390110766,1106.4573307819167,True,127,1422.8741764936592,2165.000785827176
127,2020-05-28,1530,117.50583390110766,1106.4573307819167,True,128,1454.0674612845478,2165.000785827176
128,2020-05-29,1558,117.50583390110766,1106.4573307819167,True,129,1484.65949890821,2165.000785827176
129,2020-05-30,1620,117.50583390110766,1106.4573307819167,True,130,1514.6105281153405,2165.000785827176
130,2020-05-31,1633,117.50583390110766,1106.4573307819167,True,131,1543.8848418777716,2165.000785827176
131,2020-06-01,1643,117.50583390110766,1106.4573307819167,True,132,1572.4508638628517,2165.000785827176
132,2020-06-02,1683,117.50583390110766,1106.4573307819167,True,133,1600.2811768421516,2165.000785827176
133,2020-06-03,1749,117.50583390110766,1106.4573307819167,True,134,1627.3525056986273,2165.000785827176
134,2020-06-04,1797,117.50583390110766,1106.4573307819167,True,135,1653.6456583800602,2165.000785827176
135,2020-06-05,1801,117.50583390110766,1106.4573307819167,True,136,1679.1454286883259,2165.000785827176
136,2020-06-06,1814,117.50583390110766,1106.4573307819167,True,137,1703.8404651912904,2165.000785827176
137,2020-06-07,1835,117.50583390110766,1106.4573307819167,True,138,1727.7231107999064,2165.000785827176
138,2020-06-08,1857,117.50583390110766,1106.4573307819167,True,139,1750.7892176751272,2165.000785827176
139,2020-06-09,1859,117.50583390110766,1106.4573307819167,True,140,1773.0379421293112,2165.000785827176
140,2020-06-10,1869,117.50583390110766,1106.4573307819167,True,141,1794.4715240791993,2165.000785827176
141,2020-06-11,1877,117.50583390110766,1106.4573307819167,True,142,1815.09505540872,2165.000785827176
142,2020-06-12,1880,117.50583390110766,1106.4573307819167,True,143,1834.9162413268748,2165.000785827176
143,2020-06-13,1884,117.50583390110766,1106.4573307819167,True,144,1853.9451584761064,2165.000785827176
144,2020-06-14,1889,117.50583390110766,1106.4573307819167,True,145,1872.1940131764811,2165.000785827176
145,2020-06-15,1905,117.50583390110766,1106.4573307819167,True,146,1889.6769027960727,2165.000785827176
146,2020-06-16,1915,117.50583390110766,1106.4573307819167,True,147,1906.409582832116,2165.000785827176
147,2020-06-17,1924,117.50583390110766,1106.4573307819167,True,148,1922.4092418827174,2165.000785827176
148,2020-06-18,1947,117.50583390110766,1106.4573307819167,True,149,1937.6942862953274,2165.000785827176
149,2020-06-19,1950,117.50583390110766,1106.4573307819167,True,150,1952.284135903795,2165.000785827176
150,2020-06-20,1950,117.50583390110766,1106.4573307819167,True,151,1966.199031916848,2165.000785827176
151,2020-06-21,1950,117.50583390110766,1106.4573307819167,True,152,1979.4598577016582,2165.000785827176
152,2020-06-22,1951,117.50583390110766,1106.4573307819167,True,153,1992.0879729194266,2165.000785827176
153,2020-06-23,1991,117.50583390110766,1106.4573307819167,True,154,2004.1050612171564,2165.000785827176
154,2020-06-24,2001,117.50583390110766,1106.4573307819167,True,155,2015.532991461052,2165.000785827176
155,2020-06-25,2010,117.50583390110766,1106.4573307819167,True,156,2026.3936923115457,2165.000785827176
156,2020-06-26,2014,117.50583390110766,1106.4573307819167,True,157,2036.7090397863224,2165.000785827176
157,2020-06-27,2033,117.50583390110766,1106.4573307819167,True,158,2046.5007573337614,2165.000785827176
158,2020-06-28,2037,117.50583390110766,1106.4573307819167,True,159,2055.7903278425197,2165.000785827176
159,2020-06-29,2039,117.50583390110766,1106.4573307819167,True,160,2064.5989169408804,2165.000785827176
160,2020-06-30,2047,117.50583390110766,1106.4573307819167,True,161,2072.9473068891293,2165.000785827176
161,2020-07-01,2054,117.50583390110766,1106.4573307819167,True,162,2080.855840336919,2165.000785827176
162,2020-07-02,2066,117.50583390110766,1106.4573307819167,True,163,2088.3443732025157,2165.000785827176
163,2020-07-03,2069,117.50583390110766,1106.4573307819167,True,164,2095.4322359295224,2165.000785827176
164,2020-07-04,2074,117.50583390110766,1106.4573307819167,True,165,2102.1382023866627,2165.000785827176
165,2020-07-05,2076,117.50583390110766,1106.4573307819167,True,166,2108.4804656953793,2165.000785827176
166,2020-07-06,2077,117.50583390110766,1106.4573307819167,True,167,2114.476620296321,2165.000785827176
167,2020-07-07,2081,117.50583390110766,1106.4573307819167,True,168,2120.143649597562,2165.000785827176
168,2020-07-08,2084,117.50583390110766,1106.4573307819167,True,169,2125.4979185831144,2165.000785827176
