,Report_Date,Mauritania_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
29,2020-02-20,0,66.08064867236399,3.7481601474659185,True,30,0.013931368585005495,7.428083142726608
30,2020-02-21,0,66.08064867236399,3.7481601474659185,True,31,0.01657697625131541,7.428083142726608
31,2020-02-22,0,66.08064867236399,3.7481601474659185,True,32,0.019723668200902128,7.428083142726608
32,2020-02-23,0,66.08064867236399,3.7481601474659185,True,33,0.02346580084441579,7.428083142726608
33,2020-02-24,0,66.08064867236399,3.7481601474659185,True,34,0.02791527005863232,7.428083142726608
34,2020-02-25,0,66.08064867236399,3.7481601474659185,True,35,0.033204676828035636,7.428083142726608
35,2020-02-26,0,66.08064867236399,3.7481601474659185,True,36,0.039491024852233735,7.428083142726608
36,2020-02-27,0,66.08064867236399,3.7481601474659185,True,37,0.04696002290591294,7.428083142726608
37,2020-02-28,0,66.08064867236399,3.7481601474659185,True,38,0.05583106736114044,7.428083142726608
38,2020-02-29,0,66.08064867236399,3.7481601474659185,True,39,0.06636297914423009,7.428083142726608
39,2020-03-01,0,66.08064867236399,3.7481601474659185,True,40,0.07886056228547195,7.428083142726608
40,2020-03-02,0,66.08064867236399,3.7481601474659185,True,41,0.09368203504368094,7.428083142726608
41,2020-03-03,0,66.08064867236399,3.7481601474659185,True,42,0.11124735514805623,7.428083142726608
42,2020-03-04,0,66.08064867236399,3.7481601474659185,True,43,0.13204741242159818,7.428083142726608
43,2020-03-05,0,66.08064867236399,3.7481601474659185,True,44,0.1566539877480485,7.428083142726608
44,2020-03-06,0,66.08064867236399,3.7481601474659185,True,45,0.1857302680959232,7.428083142726608
45,2020-03-07,0,66.08064867236399,3.7481601474659185,True,46,0.22004155258368122,7.428083142726608
46,2020-03-08,0,66.08064867236399,3.7481601474659185,True,47,0.26046557281967603,7.428083142726608
47,2020-03-09,0,66.08064867236399,3.7481601474659185,True,48,0.30800157087924773,7.428083142726608
48,2020-03-10,0,66.08064867236399,3.7481601474659185,True,49,0.36377692239732917,7.428083142726608
49,2020-03-11,0,66.08064867236399,3.7481601474659185,True,50,0.42904966036993064,7.428083142726608
50,2020-03-12,0,66.08064867236399,3.7481601474659185,True,51,0.5052047625184468,7.428083142726608
51,2020-03-13,0,66.08064867236399,3.7481601474659185,True,52,0.5937415518717141,7.428083142726608
52,2020-03-14,1,66.08064867236399,3.7481601474659185,True,53,0.696249104756462,7.428083142726608
53,2020-03-15,1,66.08064867236399,3.7481601474659185,True,54,0.8143662915565644,7.428083142726608
54,2020-03-16,1,66.08064867236399,3.7481601474659185,True,55,0.949723181425746,7.428083142726608
55,2020-03-17,1,66.08064867236399,3.7481601474659185,True,56,1.1038612650660766,7.428083142726608
56,2020-03-18,1,66.08064867236399,3.7481601474659185,True,57,1.2781315564056324,7.428083142726608
57,2020-03-19,2,66.08064867236399,3.7481601474659185,True,58,1.4735723462729173,7.428083142726608
58,2020-03-20,2,66.08064867236399,3.7481601474659185,True,59,1.6907722601906627,7.428083142726608
59,2020-03-21,2,66.08064867236399,3.7481601474659185,True,60,1.9297290680381434,7.428083142726608
60,2020-03-22,2,66.08064867236399,3.7481601474659185,True,61,2.189719702170851,7.428083142726608
61,2020-03-23,2,66.08064867236399,3.7481601474659185,True,62,2.469200956860315,7.428083142726608
62,2020-03-24,2,66.08064867236399,3.7481601474659185,True,63,2.765761805904456,7.428083142726608
63,2020-03-25,2,66.08064867236399,3.7481601474659185,True,64,3.0761456898517325,7.428083142726608
64,2020-03-26,3,66.08064867236399,3.7481601474659185,True,65,3.396353693209931,7.428083142726608
65,2020-03-27,3,66.08064867236399,3.7481601474659185,True,66,3.72182779765888,7.428083142726608
66,2020-03-28,5,66.08064867236399,3.7481601474659185,True,67,4.047699521803768,7.428083142726608
67,2020-03-29,5,66.08064867236399,3.7481601474659185,True,68,4.369076637786395,7.428083142726608
68,2020-03-30,5,66.08064867236399,3.7481601474659185,True,69,4.681332850626694,7.428083142726608
69,2020-03-31,6,66.08064867236399,3.7481601474659185,True,70,4.980364705935398,7.428083142726608
70,2020-04-01,6,66.08064867236399,3.7481601474659185,True,71,5.262786748575157,7.428083142726608
71,2020-04-02,6,66.08064867236399,3.7481601474659185,True,72,5.52604802401711,7.428083142726608
72,2020-04-03,6,66.08064867236399,3.7481601474659185,True,73,5.768466936982893,7.428083142726608
73,2020-04-04,6,66.08064867236399,3.7481601474659185,True,74,5.989193748849145,7.428083142726608
74,2020-04-05,6,66.08064867236399,3.7481601474659185,True,75,6.188118199088816,7.428083142726608
75,2020-04-06,6,66.08064867236399,3.7481601474659185,True,76,6.365743077438853,7.428083142726608
76,2020-04-07,6,66.08064867236399,3.7481601474659185,True,77,6.523043671306726,7.428083142726608
77,2020-04-08,6,66.08064867236399,3.7481601474659185,True,78,6.661329298010344,7.428083142726608
78,2020-04-09,7,66.08064867236399,3.7481601474659185,True,79,6.7821181887864395,7.428083142726608
79,2020-04-10,7,66.08064867236399,3.7481601474659185,True,80,6.887032100576696,7.428083142726608
80,2020-04-11,7,66.08064867236399,3.7481601474659185,True,81,6.977712977415281,7.428083142726608
81,2020-04-12,7,66.08064867236399,3.7481601474659185,True,82,7.055761080691758,7.428083142726608
82,2020-04-13,7,66.08064867236399,3.7481601474659185,True,83,7.122692234948456,7.428083142726608
