,Report_Date,USA_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
33,2020-02-24,51,79.21244714673949,459547.7675137178,True,34,1284.9328411817676,854674.784734067
34,2020-02-25,51,79.21244714673949,459547.7675137178,True,35,1485.6169677955006,854674.784734067
35,2020-02-26,57,79.21244714673949,459547.7675137178,True,36,1717.5858033202448,854674.784734067
36,2020-02-27,58,79.21244714673949,459547.7675137178,True,37,1985.6965910666188,854674.784734067
37,2020-02-28,60,79.21244714673949,459547.7675137178,True,38,2295.5540680380504,854674.784734067
38,2020-02-29,68,79.21244714673949,459547.7675137178,True,39,2653.6232659259113,854674.784734067
39,2020-03-01,74,79.21244714673949,459547.7675137178,True,40,3067.358581749572,854674.784734067
40,2020-03-02,98,79.21244714673949,459547.7675137178,True,41,3545.351208698225,854674.784734067
41,2020-03-03,118,79.21244714673949,459547.7675137178,True,42,4097.49719666432,854674.784734067
42,2020-03-04,149,79.21244714673949,459547.7675137178,True,43,4735.188571734315,854674.784734067
43,2020-03-05,217,79.21244714673949,459547.7675137178,True,44,5471.530067112518,854674.784734067
44,2020-03-06,262,79.21244714673949,459547.7675137178,True,45,6321.584080388267,854674.784734067
45,2020-03-07,402,79.21244714673949,459547.7675137178,True,46,7302.6464406657005,854674.784734067
46,2020-03-08,518,79.21244714673949,459547.7675137178,True,47,8434.555399484614,854674.784734067
47,2020-03-09,583,79.21244714673949,459547.7675137178,True,48,9740.0358930227,854674.784734067
48,2020-03-10,959,79.21244714673949,459547.7675137178,True,49,11245.080483483544,854674.784734067
49,2020-03-11,1281,79.21244714673949,459547.7675137178,True,50,12979.367377222425,854674.784734067
50,2020-03-12,1663,79.21244714673949,459547.7675137178,True,51,14976.714413447633,854674.784734067
51,2020-03-13,2179,79.21244714673949,459547.7675137178,True,52,17275.56576959897,854674.784734067
52,2020-03-14,2727,79.21244714673949,459547.7675137178,True,53,19919.50515745476,854674.784734067
53,2020-03-15,3499,79.21244714673949,459547.7675137178,True,54,22957.785279168398,854674.784734067
54,2020-03-16,4632,79.21244714673949,459547.7675137178,True,55,26445.85804482154,854674.784734067
