,Report_Date,New Zealand_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
37,2020-02-28,1,73.10453442509635,828.6789916150938,True,38,6.557113142478211,1619.7641685480623
38,2020-02-29,1,73.10453442509635,828.6789916150938,True,39,7.670345357970456,1619.7641685480623
39,2020-03-01,1,73.10453442509635,828.6789916150938,True,40,8.971549144974484,1619.7641685480623
40,2020-03-02,1,73.10453442509635,828.6789916150938,True,41,10.492086329222959,1619.7641685480623
41,2020-03-03,1,73.10453442509635,828.6789916150938,True,42,12.268412738653605,1619.7641685480623
42,2020-03-04,3,73.10453442509635,828.6789916150938,True,43,14.342854796726238,1619.7641685480623
43,2020-03-05,3,73.10453442509635,828.6789916150938,True,44,16.764485732415096,1619.7641685480623
44,2020-03-06,4,73.10453442509635,828.6789916150938,True,45,19.59010701053906,1619.7641685480623
45,2020-03-07,5,73.10453442509635,828.6789916150938,True,46,22.885337772862282,1619.7641685480623
46,2020-03-08,5,73.10453442509635,828.6789916150938,True,47,26.725810645625018,1619.7641685480623
47,2020-03-09,5,73.10453442509635,828.6789916150938,True,48,31.19846565325086,1619.7641685480623
48,2020-03-10,5,73.10453442509635,828.6789916150938,True,49,36.4029244943468,1619.7641685480623
49,2020-03-11,5,73.10453442509635,828.6789916150938,True,50,42.45291427326467,1619.7641685480623
50,2020-03-12,5,73.10453442509635,828.6789916150938,True,51,49.47769202772589,1619.7641685480623
51,2020-03-13,5,73.10453442509635,828.6789916150938,True,52,57.62339810639662,1619.7641685480623
52,2020-03-14,6,73.10453442509635,828.6789916150938,True,53,67.05423678198343,1619.7641685480623
53,2020-03-15,8,73.10453442509635,828.6789916150938,True,54,77.9533459060671,1619.7641685480623
54,2020-03-16,8,73.10453442509635,828.6789916150938,True,55,90.52317406078957,1619.7641685480623
55,2020-03-17,12,73.10453442509635,828.6789916150938,True,56,104.9851348576869,1619.7641685480623
56,2020-03-18,20,73.10453442509635,828.6789916150938,True,57,121.57825695874142,1619.7641685480623
57,2020-03-19,28,73.10453442509635,828.6789916150938,True,58,140.55650093542562,1619.7641685480623
58,2020-03-20,39,73.10453442509635,828.6789916150938,True,59,162.18437971053666,1619.7641685480623
59,2020-03-21,52,73.10453442509635,828.6789916150938,True,60,186.73051179481465,1619.7641685480623
60,2020-03-22,102,73.10453442509635,828.6789916150938,True,61,214.45877394280038,1619.7641685480623
61,2020-03-23,102,73.10453442509635,828.6789916150938,True,62,245.61682352060325,1619.7641685480623
62,2020-03-24,155,73.10453442509635,828.6789916150938,True,63,280.4219521665033,1619.7641685480623
63,2020-03-25,205,73.10453442509635,828.6789916150938,True,64,319.04452682724263,1619.7641685480623
64,2020-03-26,283,73.10453442509635,828.6789916150938,True,65,361.5896731384034,1619.7641685480623
65,2020-03-27,368,73.10453442509635,828.6789916150938,True,66,408.07833567195013,1619.7641685480623
66,2020-03-28,451,73.10453442509635,828.6789916150938,True,67,458.4293517809042,1619.7641685480623
67,2020-03-29,514,73.10453442509635,828.6789916150938,True,68,512.444604812038,1619.7641685480623
68,2020-03-30,589,73.10453442509635,828.6789916150938,True,69,569.7995531052619,1619.7641685480623
69,2020-03-31,647,73.10453442509635,828.6789916150938,True,70,630.0413336073641,1619.7641685480623
70,2020-04-01,708,73.10453442509635,828.6789916150938,True,71,692.5961189987415,1619.7641685480623
71,2020-04-02,797,73.10453442509635,828.6789916150938,True,72,756.7864530001469,1619.7641685480623
