,Report_Date,Seychelles_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
32,2020-02-23,0,60.23072227095856,5.516566992049925,True,33,0.06022647649986739,11.023362846767972
33,2020-02-24,0,60.23072227095856,5.516566992049925,True,34,0.07282869064082544,11.023362846767972
34,2020-02-25,0,60.23072227095856,5.516566992049925,True,35,0.08804672212319024,11.023362846767972
35,2020-02-26,0,60.23072227095856,5.516566992049925,True,36,0.1064137870941413,11.023362846767972
36,2020-02-27,0,60.23072227095856,5.516566992049925,True,37,0.1285673232739541,11.023362846767972
37,2020-02-28,0,60.23072227095856,5.516566992049925,True,38,0.15526731220774756,11.023362846767972
38,2020-02-29,0,60.23072227095856,5.516566992049925,True,39,0.1874168738267782,11.023362846767972
39,2020-03-01,0,60.23072227095856,5.516566992049925,True,40,0.22608494944414148,11.023362846767972
40,2020-03-02,0,60.23072227095856,5.516566992049925,True,41,0.2725305972325613,11.023362846767972
41,2020-03-03,0,60.23072227095856,5.516566992049925,True,42,0.32822799096410843,11.023362846767972
42,2020-03-04,0,60.23072227095856,5.516566992049925,True,43,0.39489059652743247,11.023362846767972
43,2020-03-05,0,60.23072227095856,5.516566992049925,True,44,0.4744921599475083,11.023362846767972
44,2020-03-06,0,60.23072227095856,5.516566992049925,True,45,0.5692810452532411,11.023362846767972
45,2020-03-07,0,60.23072227095856,5.516566992049925,True,46,0.6817831121419435,11.023362846767972
46,2020-03-08,0,60.23072227095856,5.516566992049925,True,47,0.8147867875053381,11.023362846767972
47,2020-03-09,0,60.23072227095856,5.516566992049925,True,48,0.9713024370461021,11.023362846767972
48,2020-03-10,0,60.23072227095856,5.516566992049925,True,49,1.15448692529037,11.023362846767972
49,2020-03-11,0,60.23072227095856,5.516566992049925,True,50,1.3675239249349456,11.023362846767972
50,2020-03-12,0,60.23072227095856,5.516566992049925,True,51,1.613451895867699,11.023362846767972
51,2020-03-13,0,60.23072227095856,5.516566992049925,True,52,1.894935659185858,11.023362846767972
