,Report_Date,Sierra Leone_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
25,2020-02-16,0,97.90293829003846,23.333856515062198,False,26,0.11817315541440467,0.2169292709796776
26,2020-02-17,0,97.90293829003846,23.333856515062198,False,27,0.12838650260897438,0.2169292709796776
27,2020-02-18,0,97.90293829003846,23.333856515062198,False,28,0.1394799134797784,0.2169292709796776
28,2020-02-19,0,97.90293829003846,23.333856515062198,False,29,0.15152874470529643,0.2169292709796776
29,2020-02-20,0,97.90293829003846,23.333856515062198,False,30,0.16461471963320595,0.2169292709796776
30,2020-02-21,0,97.90293829003846,23.333856515062198,False,31,0.17882645070667078,0.2169292709796776
31,2020-02-22,0,97.90293829003846,23.333856515062198,False,32,0.19426000195607726,0.2169292709796776
32,2020-02-23,0,97.90293829003846,23.333856515062198,False,33,0.21101949411294282,0.2169292709796776
33,2020-02-24,0,97.90293829003846,23.333856515062198,False,34,0.2292177549661814,0.2169292709796776
34,2020-02-25,0,97.90293829003846,23.333856515062198,False,35,0.248977017623333,0.2169292709796776
35,2020-02-26,0,97.90293829003846,23.333856515062198,False,36,0.2704296693546994,0.2169292709796776
36,2020-02-27,0,97.90293829003846,23.333856515062198,False,37,0.2937190536793671,0.2169292709796776
37,2020-02-28,0,97.90293829003846,23.333856515062198,False,38,0.31900032829035024,0.2169292709796776
38,2020-02-29,0,97.90293829003846,23.333856515062198,False,39,0.3464413813015391,0.2169292709796776
39,2020-03-01,0,97.90293829003846,23.333856515062198,False,40,0.3762238081201075,0.2169292709796776
40,2020-03-02,0,97.90293829003846,23.333856515062198,False,41,0.40854395099089097,0.2169292709796776
41,2020-03-03,0,97.90293829003846,23.333856515062198,False,42,0.44361400290824654,0.2169292709796776
42,2020-03-04,0,97.90293829003846,23.333856515062198,False,43,0.48166317712789086,0.2169292709796776
43,2020-03-05,0,97.90293829003846,23.333856515062198,False,44,0.5229389429154216,0.2169292709796776
44,2020-03-06,0,97.90293829003846,23.333856515062198,False,45,0.5677083274160422,0.2169292709796776
45,2020-03-07,0,97.90293829003846,23.333856515062198,False,46,0.6162592825947403,0.2169292709796776
46,2020-03-08,0,97.90293829003846,23.333856515062198,False,47,0.6689021150479432,0.2169292709796776
47,2020-03-09,0,97.90293829003846,23.333856515062198,False,48,0.725970975093242,0.2169292709796776
48,2020-03-10,0,97.90293829003846,23.333856515062198,False,49,0.7878253998666617,0.2169292709796776
49,2020-03-11,0,97.90293829003846,23.333856515062198,False,50,0.8548519031574163,0.2169292709796776
50,2020-03-12,0,97.90293829003846,23.333856515062198,False,51,0.9274656023456421,0.2169292709796776
51,2020-03-13,0,97.90293829003846,23.333856515062198,False,52,1.0061118700344673,0.2169292709796776
52,2020-03-14,0,97.90293829003846,23.333856515062198,False,53,1.0912679947378259,0.2169292709796776
53,2020-03-15,0,97.90293829003846,23.333856515062198,False,54,1.183444831253672,0.2169292709796776
54,2020-03-16,0,97.90293829003846,23.333856515062198,False,55,1.283188417074343,0.2169292709796776
55,2020-03-17,0,97.90293829003846,23.333856515062198,False,56,1.3910815263221499,0.2169292709796776
56,2020-03-18,0,97.90293829003846,23.333856515062198,False,57,1.5077451272164553,0.2169292709796776
57,2020-03-19,0,97.90293829003846,23.333856515062198,False,58,1.633839702958535,0.2169292709796776
58,2020-03-20,0,97.90293829003846,23.333856515062198,False,59,1.7700663891590014,0.2169292709796776
59,2020-03-21,0,97.90293829003846,23.333856515062198,False,60,1.917167873550205,0.2169292709796776
60,2020-03-22,0,97.90293829003846,23.333856515062198,False,61,2.075928995774286,0.2169292709796776
61,2020-03-23,0,97.90293829003846,23.333856515062198,False,62,2.2471769766088356,0.2169292709796776
62,2020-03-24,0,97.90293829003846,23.333856515062198,False,63,2.431781197228972,0.2169292709796776
63,2020-03-25,0,97.90293829003846,23.333856515062198,False,64,2.630652440212538,0.2169292709796776
64,2020-03-26,0,97.90293829003846,23.333856515062198,False,65,2.8447414952535115,0.2169292709796776
65,2020-03-27,0,97.90293829003846,23.333856515062198,False,66,3.0750370243250598,0.2169292709796776
66,2020-03-28,0,97.90293829003846,23.333856515062198,False,67,3.3225625737941558,0.2169292709796776
67,2020-03-29,0,97.90293829003846,23.333856515062198,False,68,3.5883726153108255,0.2169292709796776
68,2020-03-30,0,97.90293829003846,23.333856515062198,False,69,3.8735474938700927,0.2169292709796776
69,2020-03-31,1,97.90293829003846,23.333856515062198,False,70,4.179187161084679,0.2169292709796776
70,2020-04-01,2,97.90293829003846,23.333856515062198,False,71,4.506403575335774,0.2169292709796776
71,2020-04-02,2,97.90293829003846,23.333856515062198,False,72,4.856311659105408,0.2169292709796776
72,2020-04-03,2,97.90293829003846,23.333856515062198,False,73,5.230018718520157,0.2169292709796776
73,2020-04-04,4,97.90293829003846,23.333856515062198,False,74,5.628612252048329,0.2169292709796776
74,2020-04-05,6,97.90293829003846,23.333856515062198,False,75,6.05314610543581,0.2169292709796776
75,2020-04-06,6,97.90293829003846,23.333856515062198,False,76,6.504624969236862,0.2169292709796776
76,2020-04-07,6,97.90293829003846,23.333856515062198,False,77,6.983987264336686,0.2169292709796776
77,2020-04-08,7,97.90293829003846,23.333856515062198,False,78,7.4920865199184306,0.2169292709796776
78,2020-04-09,7,97.90293829003846,23.333856515062198,False,79,8.029671417104494,0.2169292709796776
79,2020-04-10,8,97.90293829003846,23.333856515062198,False,80,8.597364749005493,0.2169292709796776
80,2020-04-11,8,97.90293829003846,23.333856515062198,False,81,9.195641632302378,0.2169292709796776
81,2020-04-12,10,97.90293829003846,23.333856515062198,False,82,9.824807393961578,0.2169292709796776
82,2020-04-13,10,97.90293829003846,23.333856515062198,False,83,10.484975645401793,0.2169292709796776
83,2020-04-14,11,97.90293829003846,23.333856515062198,False,84,11.176047140526393,0.2169292709796776
84,2020-04-15,13,97.90293829003846,23.333856515062198,False,85,11.897690087725303,0.2169292709796776
85,2020-04-16,15,97.90293829003846,23.333856515062198,False,86,12.649322642770978,0.2169292709796776
86,2020-04-17,26,97.90293829003846,23.333856515062198,False,87,13.430098342711883,0.2169292709796776
