,Report_Date,Finland_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
23,2020-02-14,1,75.55766563746354,2125.338518454657,True,24,5.667318492100656,3995.912605239065
24,2020-02-15,1,75.55766563746354,2125.338518454657,True,25,6.442455647260054,3995.912605239065
25,2020-02-16,1,75.55766563746354,2125.338518454657,True,26,7.3234278730975735,3995.912605239065
26,2020-02-17,1,75.55766563746354,2125.338518454657,True,27,8.324632172022081,3995.912605239065
27,2020-02-18,1,75.55766563746354,2125.338518454657,True,28,9.462408408968502,3995.912605239065
28,2020-02-19,1,75.55766563746354,2125.338518454657,True,29,10.755296944952704,3995.912605239065
29,2020-02-20,1,75.55766563746354,2125.338518454657,True,30,12.224329101424017,3995.912605239065
30,2020-02-21,1,75.55766563746354,2125.338518454657,True,31,13.893354245761403,3995.912605239065
31,2020-02-22,1,75.55766563746354,2125.338518454657,True,32,15.789407606717896,3995.912605239065
32,2020-02-23,1,75.55766563746354,2125.338518454657,True,33,17.943123234783464,3995.912605239065
33,2020-02-24,1,75.55766563746354,2125.338518454657,True,34,20.389196799562907,3995.912605239065
34,2020-02-25,1,75.55766563746354,2125.338518454657,True,35,23.166903141496995,3995.912605239065
35,2020-02-26,2,75.55766563746354,2125.338518454657,True,36,26.320673637933606,3995.912605239065
36,2020-02-27,2,75.55766563746354,2125.338518454657,True,37,29.900738463170384,3995.912605239065
37,2020-02-28,2,75.55766563746354,2125.338518454657,True,38,33.96383866580758,3995.912605239065
38,2020-02-29,3,75.55766563746354,2125.338518454657,True,39,38.5740125865281,3995.912605239065
39,2020-03-01,6,75.55766563746354,2125.338518454657,True,40,43.80346040867967,3995.912605239065
40,2020-03-02,6,75.55766563746354,2125.338518454657,True,41,49.733489463980554,3995.912605239065
41,2020-03-03,6,75.55766563746354,2125.338518454657,True,42,56.45554117138332,3995.912605239065
42,2020-03-04,6,75.55766563746354,2125.338518454657,True,43,64.0722980037444,3995.912605239065
43,2020-03-05,12,75.55766563746354,2125.338518454657,True,44,72.69886545633962,3995.912605239065
44,2020-03-06,15,75.55766563746354,2125.338518454657,True,45,82.46401940011587,3995.912605239065
45,2020-03-07,15,75.55766563746354,2125.338518454657,True,46,93.51150317282763,3995.912605239065
