,Report_Date,Netherlands_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
67,2020-03-29,10866,73.68438744423806,16450.186706193443,True,68,9879.442566762677,31753.538761266416
68,2020-03-30,11750,73.68438744423806,16450.186706193443,True,69,10937.704177477222,31753.538761266416
69,2020-03-31,12595,73.68438744423806,16450.186706193443,True,70,12049.9882914059,31753.538761266416
70,2020-04-01,13614,73.68438744423806,16450.186706193443,True,71,13207.363573579105,31753.538761266416
71,2020-04-02,14697,73.68438744423806,16450.186706193443,True,72,14399.133567697638,31753.538761266416
72,2020-04-03,15723,73.68438744423806,16450.186706193443,True,73,15613.182701922235,31753.538761266416
73,2020-04-04,16627,73.68438744423806,16450.186706193443,True,74,16836.44262181156,31753.538761266416
74,2020-04-05,17851,73.68438744423806,16450.186706193443,True,75,18055.443364617415,31753.538761266416
75,2020-04-06,18803,73.68438744423806,16450.186706193443,True,76,19256.9012360046,31753.538761266416
76,2020-04-07,19580,73.68438744423806,16450.186706193443,True,77,20428.289595593014,31753.538761266416
77,2020-04-08,20549,73.68438744423806,16450.186706193443,True,78,21558.341404031074,31753.538761266416
78,2020-04-09,21762,73.68438744423806,16450.186706193443,True,79,22637.44271846371,31753.538761266416
79,2020-04-10,23097,73.68438744423806,16450.186706193443,True,80,23657.89201304902,31753.538761266416
80,2020-04-11,24413,73.68438744423806,16450.186706193443,True,81,24614.017920819035,31753.538761266416
81,2020-04-12,25587,73.68438744423806,16450.186706193443,True,82,25502.16438335716,31753.538761266416
82,2020-04-13,26551,73.68438744423806,16450.186706193443,True,83,26320.56470050414,31753.538761266416
83,2020-04-14,27419,73.68438744423806,16450.186706193443,True,84,27069.133302979943,31753.538761266416
84,2020-04-15,28153,73.68438744423806,16450.186706193443,True,85,27749.206215937393,31753.538761266416
85,2020-04-16,29214,73.68438744423806,16450.186706193443,True,86,28363.2590881645,31753.538761266416
