,Report_Date,Estonia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
47,2020-03-09,10,69.48111533104952,754.2388676099778,True,48,54.55117861815301,1468.1339070902104
48,2020-03-10,12,69.48111533104952,754.2388676099778,True,49,63.18154417576765,1468.1339070902104
49,2020-03-11,16,69.48111533104952,754.2388676099778,True,50,73.10863564926603,1468.1339070902104
50,2020-03-12,16,69.48111533104952,754.2388676099778,True,51,84.50427690541524,1468.1339070902104
51,2020-03-13,79,69.48111533104952,754.2388676099778,True,52,97.55546275947943,1468.1339070902104
52,2020-03-14,115,69.48111533104952,754.2388676099778,True,53,112.46313204865531,1468.1339070902104
53,2020-03-15,171,69.48111533104952,754.2388676099778,True,54,129.439882180886,1468.1339070902104
54,2020-03-16,205,69.48111533104952,754.2388676099778,True,55,148.70635439372296,1468.1339070902104
55,2020-03-17,225,69.48111533104952,754.2388676099778,True,56,170.4860169780961,1468.1339070902104
56,2020-03-18,258,69.48111533104952,754.2388676099778,True,57,194.998104682681,1468.1339070902104
57,2020-03-19,267,69.48111533104952,754.2388676099778,True,58,222.44855097353283,1468.1339070902104
58,2020-03-20,283,69.48111533104952,754.2388676099778,True,59,253.01889013701674,1468.1339070902104
59,2020-03-21,306,69.48111533104952,754.2388676099778,True,60,286.8533186928576,1468.1339070902104
60,2020-03-22,326,69.48111533104952,754.2388676099778,True,61,324.04439089899245,1468.1339070902104
61,2020-03-23,352,69.48111533104952,754.2388676099778,True,62,364.61816560807256,1468.1339070902104
62,2020-03-24,369,69.48111533104952,754.2388676099778,True,63,408.5199832762039,1468.1339070902104
63,2020-03-25,404,69.48111533104952,754.2388676099778,True,64,455.6023694572994,1468.1339070902104
64,2020-03-26,538,69.48111533104952,754.2388676099778,True,65,505.61675121903454,1468.1339070902104
65,2020-03-27,575,69.48111533104952,754.2388676099778,True,66,558.2106464943862,1468.1339070902104
66,2020-03-28,645,69.48111533104952,754.2388676099778,True,67,612.9316734074373,1468.1339070902104
67,2020-03-29,679,69.48111533104952,754.2388676099778,True,68,669.2391059422694,1468.1339070902104
68,2020-03-30,715,69.48111533104952,754.2388676099778,True,69,726.5228262913323,1468.1339070902104
69,2020-03-31,745,69.48111533104952,754.2388676099778,True,70,784.1285251511375,1468.1339070902104
70,2020-04-01,779,69.48111533104952,754.2388676099778,True,71,841.3870705877936,1468.1339070902104
71,2020-04-02,858,69.48111533104952,754.2388676099778,True,72,897.6453070613209,1468.1339070902104
72,2020-04-03,961,69.48111533104952,754.2388676099778,True,73,952.2953136363618,1468.1339070902104
73,2020-04-04,1039,69.48111533104952,754.2388676099778,True,74,1004.7994008281693,1468.1339070902104
74,2020-04-05,1097,69.48111533104952,754.2388676099778,True,75,1054.7087981247537,1468.1339070902104
75,2020-04-06,1108,69.48111533104952,754.2388676099778,True,76,1101.6749212563564,1468.1339070902104
76,2020-04-07,1149,69.48111533104952,754.2388676099778,True,77,1145.4531059303258,1468.1339070902104
77,2020-04-08,1185,69.48111533104952,754.2388676099778,True,78,1185.8995630657225,1468.1339070902104
78,2020-04-09,1207,69.48111533104952,754.2388676099778,True,79,1222.962920049025,1468.1339070902104
79,2020-04-10,1258,69.48111533104952,754.2388676099778,True,80,1256.672013902847,1468.1339070902104
80,2020-04-11,1304,69.48111533104952,754.2388676099778,True,81,1287.121619020584,1468.1339070902104
81,2020-04-12,1309,69.48111533104952,754.2388676099778,True,82,1314.4575955557918,1468.1339070902104
82,2020-04-13,1332,69.48111533104952,754.2388676099778,True,83,1338.8626239407242,1468.1339070902104
