,Report_Date,Kenya_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
35,2020-02-26,0,203.30216068121297,38865.79271370541,False,36,15.003315029036717,77731.58542741078
36,2020-02-27,0,203.30216068121297,38865.79271370541,False,37,15.79007299929518,77731.58542741078
37,2020-02-28,0,203.30216068121297,38865.79271370541,False,38,16.618078903413725,77731.58542741078
38,2020-02-29,0,203.30216068121297,38865.79271370541,False,39,17.489494327446184,77731.58542741078
39,2020-03-01,0,203.30216068121297,38865.79271370541,False,40,18.40659403255629,77731.58542741078
40,2020-03-02,0,203.30216068121297,38865.79271370541,False,41,19.37177186957864,77731.58542741078
41,2020-03-03,0,203.30216068121297,38865.79271370541,False,42,20.3875470014921,77731.58542741078
42,2020-03-04,0,203.30216068121297,38865.79271370541,False,43,21.45657044970781,77731.58542741078
43,2020-03-05,0,203.30216068121297,38865.79271370541,False,44,22.581631980881852,77731.58542741078
44,2020-03-06,0,203.30216068121297,38865.79271370541,False,45,23.765667351809125,77731.58542741078
45,2020-03-07,0,203.30216068121297,38865.79271370541,False,46,25.01176593084381,77731.58542741078
46,2020-03-08,0,203.30216068121297,38865.79271370541,False,47,26.323178715222586,77731.58542741078
47,2020-03-09,0,203.30216068121297,38865.79271370541,False,48,27.703326764643673,77731.58542741078
48,2020-03-10,0,203.30216068121297,38865.79271370541,False,49,29.155810072477678,77731.58542741078
49,2020-03-11,0,203.30216068121297,38865.79271370541,False,50,30.68441689705866,77731.58542741078
50,2020-03-12,0,203.30216068121297,38865.79271370541,False,51,32.29313357662701,77731.58542741078
51,2020-03-13,1,203.30216068121297,38865.79271370541,False,52,33.98615485267201,77731.58542741078
52,2020-03-14,1,203.30216068121297,38865.79271370541,False,53,35.76789472765384,77731.58542741078
53,2020-03-15,3,203.30216068121297,38865.79271370541,False,54,37.64299788437361,77731.58542741078
54,2020-03-16,3,203.30216068121297,38865.79271370541,False,55,39.61635169560913,77731.58542741078
55,2020-03-17,3,203.30216068121297,38865.79271370541,False,56,41.693098854045154,77731.58542741078
56,2020-03-18,3,203.30216068121297,38865.79271370541,False,57,43.87865065400189,77731.58542741078
57,2020-03-19,7,203.30216068121297,38865.79271370541,False,58,46.17870095800803,77731.58542741078
58,2020-03-20,7,203.30216068121297,38865.79271370541,False,59,48.59924088287584,77731.58542741078
59,2020-03-21,7,203.30216068121297,38865.79271370541,False,60,51.14657424161788,77731.58542741078
60,2020-03-22,15,203.30216068121297,38865.79271370541,False,61,53.827333779302705,77731.58542741078
61,2020-03-23,16,203.30216068121297,38865.79271370541,False,62,56.64849824277869,77731.58542741078
62,2020-03-24,25,203.30216068121297,38865.79271370541,False,63,59.617410326107034,77731.58542741078
63,2020-03-25,28,203.30216068121297,38865.79271370541,False,64,62.741795535536816,77731.58542741078
64,2020-03-26,31,203.30216068121297,38865.79271370541,False,65,66.02978201993065,77731.58542741078
65,2020-03-27,31,203.30216068121297,38865.79271370541,False,66,69.48992141470877,77731.58542741078
66,2020-03-28,38,203.30216068121297,38865.79271370541,False,67,73.13121074962748,77731.58542741078
67,2020-03-29,42,203.30216068121297,38865.79271370541,False,68,76.96311547304303,77731.58542741078
68,2020-03-30,50,203.30216068121297,38865.79271370541,False,69,80.99559364773894,77731.58542741078
69,2020-03-31,59,203.30216068121297,38865.79271370541,False,70,85.23912137591257,77731.58542741078
70,2020-04-01,81,203.30216068121297,38865.79271370541,False,71,89.70471951352745,77731.58542741078
71,2020-04-02,110,203.30216068121297,38865.79271370541,False,72,94.40398173694312,77731.58542741078
72,2020-04-03,122,203.30216068121297,38865.79271370541,False,73,99.34910402753151,77731.58542741078
73,2020-04-04,126,203.30216068121297,38865.79271370541,False,74,104.55291564288241,77731.58542741078
74,2020-04-05,142,203.30216068121297,38865.79271370541,False,75,110.02891164618575,77731.58542741078
75,2020-04-06,158,203.30216068121297,38865.79271370541,False,76,115.79128706845533,77731.58542741078
76,2020-04-07,172,203.30216068121297,38865.79271370541,False,77,121.854972781428,77731.58542741078
77,2020-04-08,179,203.30216068121297,38865.79271370541,False,78,128.2356731622265,77731.58542741078
78,2020-04-09,184,203.30216068121297,38865.79271370541,False,79,134.94990563421408,77731.58542741078
79,2020-04-10,189,203.30216068121297,38865.79271370541,False,80,142.01504217188815,77731.58542741078
80,2020-04-11,191,203.30216068121297,38865.79271370541,False,81,149.44935286115148,77731.58542741078
81,2020-04-12,197,203.30216068121297,38865.79271370541,False,82,157.27205160986136,77731.58542741078
82,2020-04-13,208,203.30216068121297,38865.79271370541,False,83,165.50334410717056,77731.58542741078
83,2020-04-14,216,203.30216068121297,38865.79271370541,False,84,174.16447813384482,77731.58542741078
84,2020-04-15,225,203.30216068121297,38865.79271370541,False,85,183.27779632943734,77731.58542741078
85,2020-04-16,234,203.30216068121297,38865.79271370541,False,86,192.86679152593192,77731.58542741078
86,2020-04-17,246,203.30216068121297,38865.79271370541,False,87,202.95616476118806,77731.58542741078
87,2020-04-18,262,203.30216068121297,38865.79271370541,False,88,213.5718860892488,77731.58542741078
88,2020-04-19,270,203.30216068121297,38865.79271370541,False,89,224.7412583082427,77731.58542741078
89,2020-04-20,281,203.30216068121297,38865.79271370541,False,90,236.49298373024664,77731.58542741078
90,2020-04-21,296,203.30216068121297,38865.79271370541,False,91,248.85723412100202,77731.58542741078
91,2020-04-22,303,203.30216068121297,38865.79271370541,False,92,261.8657239407958,77731.58542741078
92,2020-04-23,320,203.30216068121297,38865.79271370541,False,93,275.55178702108066,77731.58542741078
93,2020-04-24,336,203.30216068121297,38865.79271370541,False,94,289.9504568144576,77731.58542741078
94,2020-04-25,343,203.30216068121297,38865.79271370541,False,95,305.0985503584764,77731.58542741078
95,2020-04-26,355,203.30216068121297,38865.79271370541,False,96,321.03475609621046,77731.58542741078
96,2020-04-27,363,203.30216068121297,38865.79271370541,False,97,337.799725698743,77731.58542741078
97,2020-04-28,374,203.30216068121297,38865.79271370541,False,98,355.4361700364278,77731.58542741078
98,2020-04-29,384,203.30216068121297,38865.79271370541,False,99,373.9889594470495,77731.58542741078
99,2020-04-30,396,203.30216068121297,38865.79271370541,False,100,393.50522844966304,77731.58542741078
100,2020-05-01,411,203.30216068121297,38865.79271370541,False,101,414.0344850529128,77731.58542741078
101,2020-05-02,435,203.30216068121297,38865.79271370541,False,102,435.6287248058485,77731.58542741078
102,2020-05-03,465,203.30216068121297,38865.79271370541,False,103,458.34254973762836,77731.58542741078
103,2020-05-04,490,203.30216068121297,38865.79271370541,False,104,482.2332923298367,77731.58542741078
104,2020-05-05,535,203.30216068121297,38865.79271370541,False,105,507.3611446613661,77731.58542741078
105,2020-05-06,582,203.30216068121297,38865.79271370541,False,106,533.7892928607396,77731.58542741078
106,2020-05-07,607,203.30216068121297,38865.79271370541,False,107,561.5840569942073,77731.58542741078
107,2020-05-08,621,203.30216068121297,38865.79271370541,False,108,590.8150365098097,77731.58542741078
108,2020-05-09,649,203.30216068121297,38865.79271370541,False,109,621.5552613475785,77731.58542741078
109,2020-05-10,672,203.30216068121297,38865.79271370541,False,110,653.8813488140363,77731.58542741078
110,2020-05-11,700,203.30216068121297,38865.79271370541,False,111,687.8736663047981,77731.58542741078
111,2020-05-12,715,203.30216068121297,38865.79271370541,False,112,723.6164999422485,77731.58542741078
112,2020-05-13,737,203.30216068121297,38865.79271370541,False,113,761.1982291755594,77731.58542741078
113,2020-05-14,758,203.30216068121297,38865.79271370541,False,114,800.7115073675486,77731.58542741078
114,2020-05-15,781,203.30216068121297,38865.79271370541,False,115,842.2534483666169,77731.58542741078
115,2020-05-16,830,203.30216068121297,38865.79271370541,False,116,885.9258190320043,77731.58542741078
116,2020-05-17,887,203.30216068121297,38865.79271370541,False,117,931.8352376463938,77731.58542741078
117,2020-05-18,912,203.30216068121297,38865.79271370541,False,118,980.0933781111524,77731.58542741078
118,2020-05-19,963,203.30216068121297,38865.79271370541,False,119,1030.8171797757586,77731.58542741078
119,2020-05-20,1029,203.30216068121297,38865.79271370541,False,120,1084.1290627037433,77731.58542741078
120,2020-05-21,1109,203.30216068121297,38865.79271370541,False,121,1140.1571481223975,77731.58542741078
121,2020-05-22,1161,203.30216068121297,38865.79271370541,False,122,1199.0354837418877,77731.58542741078
122,2020-05-23,1192,203.30216068121297,38865.79271370541,False,123,1260.904273560969,77731.58542741078
123,2020-05-24,1214,203.30216068121297,38865.79271370541,False,124,1325.910111700374,77731.58542741078
124,2020-05-25,1286,203.30216068121297,38865.79271370541,False,125,1394.2062197209145,77731.58542741078
125,2020-05-26,1348,203.30216068121297,38865.79271370541,False,126,1465.9526867904506,77731.58542741078
126,2020-05-27,1471,203.30216068121297,38865.79271370541,False,127,1541.3167119618906,77731.58542741078
127,2020-05-28,1618,203.30216068121297,38865.79271370541,False,128,1620.4728477123551,77731.58542741078
128,2020-05-29,1745,203.30216068121297,38865.79271370541,False,129,1703.60324377129,77731.58542741078
129,2020-05-30,1888,203.30216068121297,38865.79271370541,False,130,1790.89789013176,77731.58542741078
130,2020-05-31,1962,203.30216068121297,38865.79271370541,False,131,1882.5548579940726,77731.58542741078
131,2020-06-01,2021,203.30216068121297,38865.79271370541,False,132,1978.7805372336309,77731.58542741078
132,2020-06-02,2093,203.30216068121297,38865.79271370541,False,133,2079.7898688149476,77731.58542741078
133,2020-06-03,2216,203.30216068121297,38865.79271370541,False,134,2185.8065703909283,77731.58542741078
134,2020-06-04,2340,203.30216068121297,38865.79271370541,False,135,2297.063353130154,77731.58542741078
135,2020-06-05,2474,203.30216068121297,38865.79271370541,False,136,2413.8021276051877,77731.58542741078
136,2020-06-06,2600,203.30216068121297,38865.79271370541,False,137,2536.2741963514463,77731.58542741078
137,2020-06-07,2767,203.30216068121297,38865.79271370541,False,138,2664.7404304694323,77731.58542741078
138,2020-06-08,2872,203.30216068121297,38865.79271370541,False,139,2799.471427393023,77731.58542741078
139,2020-06-09,2989,203.30216068121297,38865.79271370541,False,140,2940.747646684161,77731.58542741078
140,2020-06-10,3094,203.30216068121297,38865.79271370541,False,141,3088.859520439971,77731.58542741078
141,2020-06-11,3215,203.30216068121297,38865.79271370541,False,142,3244.107534613936,77731.58542741078
142,2020-06-12,3215,203.30216068121297,38865.79271370541,False,143,3406.802277259221,77731.58542741078
