,Report_Date,Argentina_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
21,2020-02-12,0,74.80040865542897,1426.3208167740756,True,22,0.842750648955523,2521.9550754916622
22,2020-02-13,0,74.80040865542897,1426.3208167740756,True,23,0.9829293477198087,2521.9550754916622
23,2020-02-14,0,74.80040865542897,1426.3208167740756,True,24,1.1464152588117285,2521.9550754916622
24,2020-02-15,0,74.80040865542897,1426.3208167740756,True,25,1.3370802455733843,2521.9550754916622
25,2020-02-16,0,74.80040865542897,1426.3208167740756,True,26,1.5594381602990592,2521.9550754916622
26,2020-02-17,0,74.80040865542897,1426.3208167740756,True,27,1.8187508534371337,2521.9550754916622
27,2020-02-18,0,74.80040865542897,1426.3208167740756,True,28,2.121151529767933,2521.9550754916622
28,2020-02-19,0,74.80040865542897,1426.3208167740756,True,29,2.4737882331427015,2521.9550754916622
29,2020-02-20,0,74.80040865542897,1426.3208167740756,True,30,2.8849906667037044,2521.9550754916622
30,2020-02-21,0,74.80040865542897,1426.3208167740756,True,31,3.364464038260991,2521.9550754916622
31,2020-02-22,0,74.80040865542897,1426.3208167740756,True,32,3.9235141655156025,2521.9550754916622
32,2020-02-23,0,74.80040865542897,1426.3208167740756,True,33,4.575308687091177,2521.9550754916622
33,2020-02-24,0,74.80040865542897,1426.3208167740756,True,34,5.335179905326468,2521.9550754916622
34,2020-02-25,0,74.80040865542897,1426.3208167740756,True,35,6.220975535412862,2521.9550754916622
35,2020-02-26,0,74.80040865542897,1426.3208167740756,True,36,7.25346444871446,2521.9550754916622
36,2020-02-27,0,74.80040865542897,1426.3208167740756,True,37,8.456805366076518,2521.9550754916622
37,2020-02-28,0,74.80040865542897,1426.3208167740756,True,38,9.85908736115461,2521.9550754916622
38,2020-02-29,0,74.80040865542897,1426.3208167740756,True,39,11.492951943675994,2521.9550754916622
39,2020-03-01,0,74.80040865542897,1426.3208167740756,True,40,13.396307360512807,2521.9550754916622
40,2020-03-02,0,74.80040865542897,1426.3208167740756,True,41,15.61314650764223,2521.9550754916622
41,2020-03-03,1,74.80040865542897,1426.3208167740756,True,42,18.194480386081164,2521.9550754916622
42,2020-03-04,1,74.80040865542897,1426.3208167740756,True,43,21.199399215202437,2521.9550754916622
43,2020-03-05,1,74.80040865542897,1426.3208167740756,True,44,24.696272937612957,2521.9550754916622
44,2020-03-06,2,74.80040865542897,1426.3208167740756,True,45,28.764101639601158,2521.9550754916622
45,2020-03-07,8,74.80040865542897,1426.3208167740756,True,46,33.49402400790575,2521.9550754916622
46,2020-03-08,12,74.80040865542897,1426.3208167740756,True,47,38.99098787266732,2521.9550754916622
47,2020-03-09,12,74.80040865542897,1426.3208167740756,True,48,45.37558053815249,2521.9550754916622
48,2020-03-10,17,74.80040865542897,1426.3208167740756,True,49,52.78600721127456,2521.9550754916622
49,2020-03-11,19,74.80040865542897,1426.3208167740756,True,50,61.38019246707289,2521.9550754916622
50,2020-03-12,19,74.80040865542897,1426.3208167740756,True,51,71.33796123597568,2521.9550754916622
51,2020-03-13,31,74.80040865542897,1426.3208167740756,True,52,82.86323101893231,2521.9550754916622
52,2020-03-14,34,74.80040865542897,1426.3208167740756,True,53,96.1861146369976,2521.9550754916622
53,2020-03-15,45,74.80040865542897,1426.3208167740756,True,54,111.56479160925679,2521.9550754916622
54,2020-03-16,56,74.80040865542897,1426.3208167740756,True,55,129.28695541271958,2521.9550754916622
55,2020-03-17,68,74.80040865542897,1426.3208167740756,True,56,149.67058340527993,2521.9550754916622
56,2020-03-18,79,74.80040865542897,1426.3208167740756,True,57,173.06370752425795,2521.9550754916622
57,2020-03-19,97,74.80040865542897,1426.3208167740756,True,58,199.84279074222516,2521.9550754916622
58,2020-03-20,128,74.80040865542897,1426.3208167740756,True,59,230.4092437646242,2521.9550754916622
59,2020-03-21,158,74.80040865542897,1426.3208167740756,True,60,265.18356021440366,2521.9550754916622
60,2020-03-22,266,74.80040865542897,1426.3208167740756,True,61,304.5965237374789,2521.9550754916622
61,2020-03-23,301,74.80040865542897,1426.3208167740756,True,62,349.07697020076006,2521.9550754916622
62,2020-03-24,387,74.80040865542897,1426.3208167740756,True,63,399.0357005982699,2521.9550754916622
63,2020-03-25,387,74.80040865542897,1426.3208167740756,True,64,454.8453654589978,2521.9550754916622
64,2020-03-26,502,74.80040865542897,1426.3208167740756,True,65,516.8165050164681,2521.9550754916622
65,2020-03-27,589,74.80040865542897,1426.3208167740756,True,66,585.1704421889423,2521.9550754916622
66,2020-03-28,690,74.80040865542897,1426.3208167740756,True,67,660.0103709238242,2521.9550754916622
67,2020-03-29,745,74.80040865542897,1426.3208167740756,True,68,741.2927028217014,2521.9550754916622
68,2020-03-30,820,74.80040865542897,1426.3208167740756,True,69,828.8014220802364,2521.9550754916622
69,2020-03-31,1054,74.80040865542897,1426.3208167740756,True,70,922.128697192203,2521.9550754916622
70,2020-04-01,1054,74.80040865542897,1426.3208167740756,True,71,1020.6651263544522,2521.9550754916622
71,2020-04-02,1133,74.80040865542897,1426.3208167740756,True,72,1123.6025889787222,2521.9550754916622
72,2020-04-03,1265,74.80040865542897,1426.3208167740756,True,73,1229.9516520543489,2521.9550754916622
73,2020-04-04,1451,74.80040865542897,1426.3208167740756,True,74,1338.5738860529286,2521.9550754916622
74,2020-04-05,1451,74.80040865542897,1426.3208167740756,True,75,1448.2274934548905,2521.9550754916622
75,2020-04-06,1554,74.80040865542897,1426.3208167740756,True,76,1557.6226989435681,2521.9550754916622
76,2020-04-07,1628,74.80040865542897,1426.3208167740756,True,77,1665.4818107967792,2521.9550754916622
77,2020-04-08,1715,74.80040865542897,1426.3208167740756,True,78,1770.5980975690363,2521.9550754916622
