,Report_Date,Burkina Faso_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
40,2020-03-02,0,70.87312940226337,265.85081929280074,True,41,4.1189178502037755,500.70563182242904
41,2020-03-03,0,70.87312940226337,265.85081929280074,True,42,4.8388117212585735,500.70563182242904
42,2020-03-04,0,70.87312940226337,265.85081929280074,True,43,5.683171434087498,500.70563182242904
43,2020-03-05,0,70.87312940226337,265.85081929280074,True,44,6.6730035379087225,500.70563182242904
44,2020-03-06,0,70.87312940226337,265.85081929280074,True,45,7.832666588556325,500.70563182242904
45,2020-03-07,0,70.87312940226337,265.85081929280074,True,46,9.190333145177986,500.70563182242904
46,2020-03-08,0,70.87312940226337,265.85081929280074,True,47,10.77848747064757,500.70563182242904
47,2020-03-09,0,70.87312940226337,265.85081929280074,True,48,12.634449925559258,500.70563182242904
48,2020-03-10,1,70.87312940226337,265.85081929280074,True,49,14.800912886738471,500.70563182242904
49,2020-03-11,2,70.87312940226337,265.85081929280074,True,50,17.32646474211771,500.70563182242904
50,2020-03-12,2,70.87312940226337,265.85081929280074,True,51,20.26606771336508,500.70563182242904
51,2020-03-13,2,70.87312940226337,265.85081929280074,True,52,23.681441619814205,500.70563182242904
52,2020-03-14,2,70.87312940226337,265.85081929280074,True,53,27.64128912173108,500.70563182242904
53,2020-03-15,3,70.87312940226337,265.85081929280074,True,54,32.221278782985785,500.70563182242904
54,2020-03-16,15,70.87312940226337,265.85081929280074,True,55,37.503681485414084,500.70563182242904
55,2020-03-17,15,70.87312940226337,265.85081929280074,True,56,43.57653538194558,500.70563182242904
56,2020-03-18,20,70.87312940226337,265.85081929280074,True,57,50.532198234351085,500.70563182242904
57,2020-03-19,33,70.87312940226337,265.85081929280074,True,58,58.46513902129045,500.70563182242904
58,2020-03-20,40,70.87312940226337,265.85081929280074,True,59,67.4688304866515,500.70563182242904
59,2020-03-21,64,70.87312940226337,265.85081929280074,True,60,77.63163983622078,500.70563182242904
60,2020-03-22,75,70.87312940226337,265.85081929280074,True,61,89.03168554510275,500.70563182242904
61,2020-03-23,99,70.87312940226337,265.85081929280074,True,62,101.73074172350974,500.70563182242904
62,2020-03-24,114,70.87312940226337,265.85081929280074,True,63,115.76742950831871,500.70563182242904
63,2020-03-25,146,70.87312940226337,265.85081929280074,True,64,131.15012884161712,500.70563182242904
64,2020-03-26,152,70.87312940226337,265.85081929280074,True,65,147.85025013984247,500.70563182242904
65,2020-03-27,180,70.87312940226337,265.85081929280074,True,66,165.79668318007978,500.70563182242904
66,2020-03-28,207,70.87312940226337,265.85081929280074,True,67,184.8723359688584,500.70563182242904
67,2020-03-29,222,70.87312940226337,265.85081929280074,True,68,204.91363300212305,500.70563182242904
68,2020-03-30,246,70.87312940226337,265.85081929280074,True,69,225.7136199648659,500.70563182242904
69,2020-03-31,261,70.87312940226337,265.85081929280074,True,70,247.02891784377437,500.70563182242904
70,2020-04-01,282,70.87312940226337,265.85081929280074,True,71,268.59023350930136,500.70563182242904
71,2020-04-02,288,70.87312940226337,265.85081929280074,True,72,290.11556736828317,500.70563182242904
72,2020-04-03,302,70.87312940226337,265.85081929280074,True,73,311.324791732728,500.70563182242904
73,2020-04-04,318,70.87312940226337,265.85081929280074,True,74,331.95402530572824,500.70563182242904
74,2020-04-05,345,70.87312940226337,265.85081929280074,True,75,351.76826655082345,500.70563182242904
75,2020-04-06,364,70.87312940226337,265.85081929280074,True,76,370.57106147542754,500.70563182242904
76,2020-04-07,384,70.87312940226337,265.85081929280074,True,77,388.21048604628885,500.70563182242904
77,2020-04-08,414,70.87312940226337,265.85081929280074,True,78,404.5812939272229,500.70563182242904
