,Report_Date,Nigeria_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
60,2020-03-22,30,77.30489349925831,269.8461253489916,True,61,43.73792284133037,448.4901992483109
61,2020-03-23,40,77.30489349925831,269.8461253489916,True,62,50.10965354490582,448.4901992483109
62,2020-03-24,44,77.30489349925831,269.8461253489916,True,63,57.30236894054807,448.4901992483109
63,2020-03-25,51,77.30489349925831,269.8461253489916,True,64,65.38962862228418,448.4901992483109
64,2020-03-26,65,77.30489349925831,269.8461253489916,True,65,74.44213106582947,448.4901992483109
65,2020-03-27,70,77.30489349925831,269.8461253489916,True,66,84.52452231847651,448.4901992483109
66,2020-03-28,89,77.30489349925831,269.8461253489916,True,67,95.69160202824655,448.4901992483109
67,2020-03-29,111,77.30489349925831,269.8461253489916,True,68,107.98402334921124,448.4901992483109
68,2020-03-30,131,77.30489349925831,269.8461253489916,True,69,121.4236754934736,448.4901992483109
69,2020-03-31,135,77.30489349925831,269.8461253489916,True,70,136.0090419918578,448.4901992483109
70,2020-04-01,174,77.30489349925831,269.8461253489916,True,71,151.71093033312272,448.4901992483109
71,2020-04-02,184,77.30489349925831,269.8461253489916,True,72,168.46904932089845,448.4901992483109
72,2020-04-03,210,77.30489349925831,269.8461253489916,True,73,186.18994474417715,448.4901992483109
73,2020-04-04,214,77.30489349925831,269.8461253489916,True,74,204.74676812625822,448.4901992483109
74,2020-04-05,232,77.30489349925831,269.8461253489916,True,75,223.98123181737523,448.4901992483109
75,2020-04-06,238,77.30489349925831,269.8461253489916,True,76,243.70789682135154,448.4901992483109
76,2020-04-07,254,77.30489349925831,269.8461253489916,True,77,263.7206689749995,448.4901992483109
77,2020-04-08,276,77.30489349925831,269.8461253489916,True,78,283.8010867843923,448.4901992483109
