,Report_Date,China_guangdong_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
47,2020-03-09,1352,13.178183311527457,698.9172454911105,True,48,1397.6187777325558,1397.8344819532033
48,2020-03-10,1353,13.178183311527457,698.9172454911105,True,49,1397.6668291649346,1397.8344819532033
49,2020-03-11,1356,13.178183311527457,698.9172454911105,True,50,1397.704177847839,1397.8344819532033
50,2020-03-12,1356,13.178183311527457,698.9172454911105,True,51,1397.7332072660931,1397.8344819532033
51,2020-03-13,1356,13.178183311527457,698.9172454911105,True,52,1397.7557702627878,1397.8344819532033
52,2020-03-14,1356,13.178183311527457,698.9172454911105,True,53,1397.7733071155506,1397.8344819532033
53,2020-03-15,1360,13.178183311527457,698.9172454911105,True,54,1397.786937363495,1397.8344819532033
54,2020-03-16,1361,13.178183311527457,698.9172454911105,True,55,1397.7975312105605,1397.8344819532033
55,2020-03-17,1364,13.178183311527457,698.9172454911105,True,56,1397.8057650418748,1397.8344819532033
56,2020-03-18,1370,13.178183311527457,698.9172454911105,True,57,1397.8121645843885,1397.8344819532033
57,2020-03-19,1378,13.178183311527457,698.9172454911105,True,58,1397.8171384595266,1397.8344819532033
58,2020-03-20,1395,13.178183311527457,698.9172454911105,True,59,1397.8210042654018,1397.8344819532033
59,2020-03-21,1400,13.178183311527457,698.9172454911105,True,60,1397.8240088510809,1397.8344819532033
60,2020-03-22,1413,13.178183311527457,698.9172454911105,True,61,1397.826344075743,1397.8344819532033
61,2020-03-23,1415,13.178183311527457,698.9172454911105,True,62,1397.828159057961,1397.8344819532033
62,2020-03-24,1428,13.178183311527457,698.9172454911105,True,63,1397.8295696966582,1397.8344819532033
63,2020-03-25,1433,13.178183311527457,698.9172454911105,True,64,1397.8306660713163,1397.8344819532033
64,2020-03-26,1448,13.178183311527457,698.9172454911105,True,65,1397.8315181937728,1397.8344819532033
65,2020-03-27,1456,13.178183311527457,698.9172454911105,True,66,1397.8321804787408,1397.8344819532033
66,2020-03-28,1467,13.178183311527457,698.9172454911105,True,67,1397.8326952184586,1397.8344819532033
67,2020-03-29,1475,13.178183311527457,698.9172454911105,True,68,1397.833095283295,1397.8344819532033
68,2020-03-30,1484,13.178183311527457,698.9172454911105,True,69,1397.8334062207346,1397.8344819532033
69,2020-03-31,1494,13.178183311527457,698.9172454911105,True,70,1397.833647886764,1397.8344819532033
70,2020-04-01,1501,13.178183311527457,698.9172454911105,True,71,1397.8338357138223,1397.8344819532033
71,2020-04-02,1507,13.178183311527457,698.9172454911105,True,72,1397.8339816962819,1397.8344819532033
72,2020-04-03,1514,13.178183311527457,698.9172454911105,True,73,1397.8340951563848,1397.8344819532033
73,2020-04-04,1516,13.178183311527457,698.9172454911105,True,74,1397.834183339544,1397.8344819532033
74,2020-04-05,1524,13.178183311527457,698.9172454911105,True,75,1397.8342518770219,1397.8344819532033
75,2020-04-06,1532,13.178183311527457,698.9172454911105,True,76,1397.834305145535,1397.8344819532033
76,2020-04-07,1533,13.178183311527457,698.9172454911105,True,77,1397.8343465467433,1397.8344819532033
77,2020-04-08,1536,13.178183311527457,698.9172454911105,True,78,1397.8343787244773,1397.8344819532033
