,Report_Date,Malawi_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
38,2020-02-29,0,88.5459895844877,5.701952229347833,False,39,0.2538704184527739,0.043680903892662146
39,2020-03-01,0,88.5459895844877,5.701952229347833,False,40,0.27352695455546017,0.043680903892662146
40,2020-03-02,0,88.5459895844877,5.701952229347833,False,41,0.29466522473195694,0.043680903892662146
41,2020-03-03,0,88.5459895844877,5.701952229347833,False,42,0.3173904862091402,0.043680903892662146
42,2020-03-04,0,88.5459895844877,5.701952229347833,False,43,0.3418144466439663,0.043680903892662146
43,2020-03-05,0,88.5459895844877,5.701952229347833,False,44,0.3680554935383483,0.043680903892662146
44,2020-03-06,0,88.5459895844877,5.701952229347833,False,45,0.3962389026853179,0.043680903892662146
45,2020-03-07,0,88.5459895844877,5.701952229347833,False,46,0.4264970192277745,0.043680903892662146
46,2020-03-08,0,88.5459895844877,5.701952229347833,False,47,0.4589694039917811,0.043680903892662146
47,2020-03-09,0,88.5459895844877,5.701952229347833,False,48,0.4938029367722662,0.043680903892662146
48,2020-03-10,0,88.5459895844877,5.701952229347833,False,49,0.5311518672095952,0.043680903892662146
49,2020-03-11,0,88.5459895844877,5.701952229347833,False,50,0.5711778028150968,0.043680903892662146
50,2020-03-12,0,88.5459895844877,5.701952229347833,False,51,0.6140496226023598,0.043680903892662146
51,2020-03-13,0,88.5459895844877,5.701952229347833,False,52,0.6599433036859632,0.043680903892662146
52,2020-03-14,0,88.5459895844877,5.701952229347833,False,53,0.7090416471552835,0.043680903892662146
53,2020-03-15,0,88.5459895844877,5.701952229347833,False,54,0.7615338885622749,0.043680903892662146
54,2020-03-16,0,88.5459895844877,5.701952229347833,False,55,0.8176151775328865,0.043680903892662146
55,2020-03-17,0,88.5459895844877,5.701952229347833,False,56,0.8774859103872652,0.043680903892662146
