,Report_Date,"Moldova, Republic of_cases",fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
31,2020-02-22,0,87.57809684205515,2441.5722645099468,False,32,3.356424973287476,4883.144529019894
32,2020-02-23,0,87.57809684205515,2441.5722645099468,False,33,3.8259342363614692,4883.144529019894
33,2020-02-24,0,87.57809684205515,2441.5722645099468,False,34,4.361061513783537,4883.144529019894
34,2020-02-25,0,87.57809684205515,2441.5722645099468,False,35,4.970959930971179,4883.144529019894
35,2020-02-26,0,87.57809684205515,2441.5722645099468,False,36,5.666054137687126,4883.144529019894
36,2020-02-27,0,87.57809684205515,2441.5722645099468,False,37,6.458215372221235,4883.144529019894
37,2020-02-28,0,87.57809684205515,2441.5722645099468,False,38,7.360960157623901,4883.144529019894
38,2020-02-29,0,87.57809684205515,2441.5722645099468,False,39,8.389675678471297,4883.144529019894
39,2020-03-01,0,87.57809684205515,2441.5722645099468,False,40,9.561875236768374,4883.144529019894
40,2020-03-02,0,87.57809684205515,2441.5722645099468,False,41,10.897487562351177,4883.144529019894
41,2020-03-03,0,87.57809684205515,2441.5722645099468,False,42,12.419184153831539,4883.144529019894
42,2020-03-04,0,87.57809684205515,2441.5722645099468,False,43,14.1527492458534,4883.144529019894
43,2020-03-05,0,87.57809684205515,2441.5722645099468,False,44,16.12749742936156,4883.144529019894
44,2020-03-06,0,87.57809684205515,2441.5722645099468,False,45,18.37674438191504,4883.144529019894
45,2020-03-07,0,87.57809684205515,2441.5722645099468,False,46,20.938336577751823,4883.144529019894
46,2020-03-08,1,87.57809684205515,2441.5722645099468,False,47,23.855246218399753,4883.144529019894
47,2020-03-09,1,87.57809684205515,2441.5722645099468,False,48,27.176237921292312,4883.144529019894
48,2020-03-10,3,87.57809684205515,2441.5722645099468,False,49,30.956613881835626,4883.144529019894
49,2020-03-11,3,87.57809684205515,2441.5722645099468,False,50,35.25904422494658,4883.144529019894
50,2020-03-12,3,87.57809684205515,2441.5722645099468,False,51,40.154489008348186,4883.144529019894
51,2020-03-13,6,87.57809684205515,2441.5722645099468,False,52,45.72321773248342,4883.144529019894
52,2020-03-14,12,87.57809684205515,2441.5722645099468,False,53,52.05593112397356,4883.144529019894
53,2020-03-15,23,87.57809684205515,2441.5722645099468,False,54,59.254988231363576,4883.144529019894
54,2020-03-16,23,87.57809684205515,2441.5722645099468,False,55,67.43573930507888,4883.144529019894
55,2020-03-17,30,87.57809684205515,2441.5722645099468,False,56,76.72796128550787,4883.144529019894
56,2020-03-18,30,87.57809684205515,2441.5722645099468,False,57,87.27738770271996,4883.144529019894
57,2020-03-19,49,87.57809684205515,2441.5722645099468,False,58,99.24731805653691,4883.144529019894
58,2020-03-20,66,87.57809684205515,2441.5722645099468,False,59,112.82028290585066,4883.144529019894
59,2020-03-21,80,87.57809684205515,2441.5722645099468,False,60,128.19972952117257,4883.144529019894
60,2020-03-22,94,87.57809684205515,2441.5722645099468,False,61,145.6116785951794,4883.144529019894
61,2020-03-23,109,87.57809684205515,2441.5722645099468,False,62,165.30628473048887,4883.144529019894
62,2020-03-24,125,87.57809684205515,2441.5722645099468,False,63,187.5592118763298,4883.144529019894
63,2020-03-25,149,87.57809684205515,2441.5722645099468,False,64,212.67270937610132,4883.144529019894
64,2020-03-26,177,87.57809684205515,2441.5722645099468,False,65,240.9762449194628,4883.144529019894
65,2020-03-27,199,87.57809684205515,2441.5722645099468,False,66,272.82651803597645,4883.144529019894
66,2020-03-28,231,87.57809684205515,2441.5722645099468,False,67,308.6066430827895,4883.144529019894
67,2020-03-29,263,87.57809684205515,2441.5722645099468,False,68,348.72425618495004,4883.144529019894
68,2020-03-30,298,87.57809684205515,2441.5722645099468,False,69,393.60826975644704,4883.144529019894
69,2020-03-31,353,87.57809684205515,2441.5722645099468,False,70,443.70397607428225,4883.144529019894
70,2020-04-01,423,87.57809684205515,2441.5722645099468,False,71,499.4661946490324,4883.144529019894
71,2020-04-02,505,87.57809684205515,2441.5722645099468,False,72,561.3501753395531,4883.144529019894
72,2020-04-03,591,87.57809684205515,2441.5722645099468,False,73,629.8000202301505,4883.144529019894
73,2020-04-04,752,87.57809684205515,2441.5722645099468,False,74,705.2344827436059,4883.144529019894
74,2020-04-05,864,87.57809684205515,2441.5722645099468,False,75,788.030151866062,4883.144529019894
75,2020-04-06,965,87.57809684205515,2441.5722645099468,False,76,878.5022389707542,4883.144529019894
76,2020-04-07,1056,87.57809684205515,2441.5722645099468,False,77,976.8834543879683,4883.144529019894
77,2020-04-08,1174,87.57809684205515,2441.5722645099468,False,78,1083.3017804320784,4883.144529019894
